n1,n2,Z,"WL,  ̊A","E, keV",A,G,K,QD,,Transition,,,No
2,1,13,7.2316,1.71E+00,1.74E+00,1.74E+01,9.09E-02,4.75E+00,C,133,S,111,7
2,1,13,7.2327,1.71E+00,2.56E-05,3.12E+01,7.42E-07,1.16E-04,F,155,P,333,8
2,1,13,7.2354,1.71E+00,2.42E-02,3.12E+01,7.01E-04,1.09E-01,F,155,P,335,9
2,1,13,7.2509,1.71E+00,1.69E+00,1.34E+00,5.59E-01,3.74E+00,C,335,S,313,10
2,1,13,7.2544,1.71E+00,1.69E+00,1.35E+00,5.55E-01,2.25E+00,C,333,S,313,11
2,1,13,7.256,1.71E+00,1.69E+00,1.34E+00,5.58E-01,7.47E-01,C,331,S,313,12
2,1,13,7.258,1.71E+00,8.56E-01,2.97E-01,2.32E-01,3.44E-01,F,335,P,333,13
2,1,13,7.2603,1.71E+00,1.13E+00,0.00E+00,3.34E-01,0.00E+00,F,333,P,331,14
2,1,13,7.2607,1.71E+00,2.52E+00,2.97E-01,6.83E-01,1.01E+00,F,335,P,335,15
2,1,13,7.261,1.71E+00,8.46E-01,0.00E+00,2.49E-01,0.00E+00,F,333,P,333,16
2,1,13,7.2621,1.71E+00,0.00E+00,2.32E-02,0.00E+00,0.00E+00,F,331,P,331,17
2,1,13,7.2628,1.71E+00,3.38E+00,2.32E-02,9.92E-01,2.30E-02,F,331,P,333,18
2,1,13,7.2637,1.71E+00,1.41E+00,0.00E+00,4.16E-01,0.00E+00,F,333,P,335,19
2,1,13,7.2759,1.70E+00,3.38E+00,3.12E+01,9.77E-02,1.52E+01,F,155,P,133,20
2,1,13,7.3015,1.70E+00,1.73E-02,2.97E-01,4.68E-03,6.93E-03,F,335,P,133,21
2,1,13,7.3045,1.70E+00,2.19E-03,0.00E+00,6.45E-04,0.00E+00,F,333,P,133,22
2,1,13,7.3064,1.70E+00,3.93E-03,2.32E-02,1.15E-03,2.68E-05,F,331,P,133,23
2,1,13,7.3142,1.70E+00,1.54E-03,1.35E+00,5.07E-04,2.06E-03,C,333,S,111,24
2,1,13,7.3158,1.69E+00,0.00E+00,1.34E+00,0.00E+00,0.00E+00,C,331,S,111,25
2,1,13,7.3253,1.69E+00,0.00E+00,3.08E+01,0.00E+00,0.00E+00,E,111,P,331,26
2,1,13,7.3259,1.69E+00,1.14E-02,3.08E+01,3.62E-04,1.12E-02,E,111,P,333,27
2,1,13,7.3703,1.68E+00,6.88E-01,3.08E+01,2.18E-02,6.73E-01,E,111,P,133,28
2,1,14,6.1635,2.01E+00,0.00E+00,1.37E+00,0.00E+00,0.00E+00,F,111,P,331,1
2,1,14,6.1642,2.01E+00,3.17E-04,1.37E+00,6.37E-05,8.75E-05,F,111,P,333,2
2,1,14,6.1804,2.01E+00,2.43E+00,0.00E+00,1.00E+00,0.00E+00,R,234,Y,212,3
2,1,14,6.1823,2.01E+00,3.31E-03,1.76E+01,1.66E-04,8.75E-03,C,133,S,313,4
