Wavelength Å,Energy keV,Probability  of radiative decay s−1,Probability of autoionization s−1,Branching ratio ,Satellite intensity factor s−1,Source, Source g,Target, Target g, name
Carbon
1.3537E+01,9.1590E-01,1.12E+12,1.15E+13,7.39E+11,1.70E+12,1s 2p2,2,1s2 2p,2,n
1.3540E+01,9.1570E-01,2.54E+12,1.15E+13,1.68E+12,3.86E+12,1s 2p2,2,1s2 2p,4,m
1.3566E+01,9.1400E-01,7.08E+11,7.96E+13,8.82E+10,2.81E+12,1s 2s 2p,4,1s2 2s,2,s
1.3566E+01,9.1390E-01,8.84E+11,7.80E+13,1.12E+11,1.75E+12,1s 2s 2p,2,1s2 2s,2,t
1.3654E+01,9.0810E-01,7.59E+12,5.64E+12,5.74E+12,1.30E+13,1s 2s 2p,4,1s2 2s,2,q
1.3656E+01,9.0800E-01,7.42E+12,7.24E+12,5.06E+12,7.33E+12,1s 2s 2p,2,1s2 2s,2,r
1.3673E+01,9.0680E-01,1.78E+12,3.38E+11,1.40E+12,1.89E+11,1s 2p2,4,1s2 2p,2,b
1.3676E+01,9.0660E-01,1.06E+13,3.38E+11,8.33E+12,1.13E+12,1s 2p2,4,1s2 2p,4,a
1.3676E+01,9.0660E-01,8.34E+12,1.38E+09,6.74E+12,1.87E+09,1s 2p2,2,1s2 2p,2,d
1.3679E+01,9.0640E-01,4.03E+12,1.38E+09,3.25E+12,9.00E+08,1s 2p2,2,1s2 2p,4,c
1.3708E+01,9.0450E-01,3.74E+12,1.14E+14,3.17E+11,1.44E+13,1s 2p2,4,1s2 2p,2,k
1.3711E+01,9.0430E-01,4.30E+11,1.14E+14,3.64E+10,1.66E+12,1s 2p2,4,1s2 2p,4,l
1.3713E+01,9.0420E-01,4.14E+12,1.14E+14,3.50E+11,2.40E+13,1s 2p2,6,1s2 2p,4,j
1.3818E+01,8.9720E-01,2.15E+07,2.61E+09,5.69E+10,5.94E+07,1s 2p2,4,1s2 2p,2,g
1.3820E+01,8.9710E-01,1.66E+09,4.68E+10,3.42E+11,9.60E+09,1s 2p2,6,1s2 2p,4,e
1.3820E+01,8.9710E-01,7.10E+08,2.16E+07,9.47E+12,4.09E+07,1s 2p2,2,1s2 2p,2,i
1.3822E+01,8.9700E-01,1.15E+09,2.61E+09,3.04E+12,3.18E+09,1s 2p2,4,1s2 2p,4,f
1.3823E+01,8.9690E-01,1.79E+07,2.16E+07,2.38E+11,1.03E+06,1s 2p2,2,1s2 2p,4,h
1.3837E+01,8.9610E-01,1.03E+09,8.91E+08,5.36E+12,1.91E+09,1s 2s 2p,4,1s2 2s,2,u
1.3837E+01,8.9600E-01,3.95E+08,5.29E+07,8.82E+12,9.32E+07,1s 2s 2p,2,1s2 2s,2,v
1.4161E+01,8.7550E-01,1.31E+11,1.19E+14,1.09E+10,2.60E+11,1s 2s2,2,1s2 2p,2,p
