n1,n2,Z,"WL,  ̊A","E, keV",A,G,K,QD,,Transition,,,No
2,1,9,17.796,6.97E-01,8.13E-03,1.15E+01,7.03E-04,1.62E-02,E,212,P,232,24
2,1,9,17.799,6.97E-01,1.59E-02,1.15E+01,1.37E-03,3.17E-02,E,212,P,234,25
2,1,10,13.449,9.22E-01,8.96E-01,0.00E+00,1.00E+00,0.00E+00,R,133,Y,111,1
2,1,10,13.537,9.16E-01,1.12E-01,1.15E+00,7.39E-02,1.70E-01,F,212,P,232,2
2,1,10,13.54,9.16E-01,2.54E-01,1.15E+00,1.68E-01,3.86E-01,F,212,P,234,3
2,1,10,13.553,9.15E-01,5.24E-04,0.00E+00,1.00E+00,0.00E+00,R,333,Y,111,4
2,1,10,13.566,9.14E-01,7.08E-02,7.96E+00,8.82E-03,2.81E-01,C,234,S,212,5
2,1,10,13.566,9.14E-01,8.84E-02,7.80E+00,1.12E-02,1.75E-01,C,232,S,212,6
2,1,10,13.654,9.08E-01,7.59E-01,5.64E-01,5.74E-01,1.29E+00,K,234,S,212,7
2,1,10,13.656,9.08E-01,7.42E-01,7.24E-01,5.06E-01,7.33E-01,K,232,S,212,8
2,1,10,13.673,9.07E-01,1.78E-01,3.38E-02,1.40E-01,1.89E-02,M,234,P,232,9
2,1,10,13.676,9.07E-01,8.34E-01,1.38E-04,6.74E-01,1.86E-04,M,232,P,232,10
2,1,10,13.676,9.07E-01,1.06E+00,3.38E-02,8.33E-01,1.13E-01,M,234,P,234,11
2,1,10,13.679,9.06E-01,4.03E-01,1.38E-04,3.25E-01,9.00E-05,M,232,P,234,12
2,1,10,13.699,9.05E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,T,313,Y,111,13
2,1,10,13.708,9.04E-01,3.74E-01,1.14E+01,3.17E-02,1.44E+00,F,254,P,232,14
2,1,10,13.711,9.04E-01,4.30E-02,1.14E+01,3.64E-03,1.66E-01,F,254,P,234,15
2,1,10,13.713,9.04E-01,4.14E-01,1.14E+01,3.50E-02,2.40E+00,F,256,P,234,16
2,1,10,13.818,8.97E-01,2.15E-06,2.61E-04,5.69E-03,5.94E-06,M,434,P,232,17
2,1,10,13.82,8.97E-01,7.10E-05,2.16E-06,9.47E-01,4.09E-06,M,432,P,232,18
2,1,10,13.82,8.97E-01,1.66E-04,4.68E-03,3.42E-02,9.60E-04,M,436,P,234,19
2,1,10,13.822,8.97E-01,1.15E-04,2.61E-04,3.04E-01,3.18E-04,M,434,P,234,20
2,1,10,13.823,8.97E-01,1.79E-06,2.16E-06,2.38E-02,1.03E-07,M,432,P,234,21
2,1,10,13.837,8.96E-01,1.03E-04,8.91E-05,5.36E-01,1.91E-04,K,434,S,212,22
2,1,10,13.837,8.96E-01,3.95E-05,5.29E-06,8.82E-01,9.32E-06,K,432,S,212,23
2,1,10,14.161,8.76E-01,1.31E-02,1.19E+01,1.09E-03,2.60E-02,E,212,P,232,24
2,1,10,14.164,8.75E-01,2.52E-02,1.19E+01,2.11E-03,5.03E-02,E,212,P,234,25
2,1,11,11.004,1.13E+00,1.35E+00,0.00E+00,1.00E+00,0.00E+00,R,133,Y,111,1
2,1,11,11.069,1.12E+00,1.66E-01,1.28E+00,9.03E-02,2.30E-01,F,212,P,232,2
2,1,11,11.072,1.12E+00,3.94E-01,1.28E+00,2.15E-01,5.48E-01,F,212,P,234,3
2,1,11,11.083,1.12E+00,1.37E-03,0.00E+00,1.00E+00,0.00E+00,R,333,Y,111,4
2,1,11,11.091,1.12E+00,1.03E-01,8.30E+00,1.22E-02,4.06E-01,C,234,S,212,5
2,1,11,11.091,1.12E+00,1.39E-01,8.08E+00,1.70E-02,2.74E-01,C,232,S,212,6
2,1,11,11.155,1.11E+00,1.16E+00,5.23E-01,6.89E-01,1.44E+00,K,234,S,212,7
2,1,11,11.157,1.11E+00,1.13E+00,7.45E-01,6.02E-01,8.96E-01,K,232,S,212,8
2,1,11,11.169,1.11E+00,2.57E-01,6.19E-02,1.32E-01,3.28E-02,M,234,P,232,9
2,1,11,11.173,1.11E+00,1.28E+00,3.02E-04,6.77E-01,4.09E-04,M,232,P,232,10
2,1,11,11.173,1.11E+00,1.62E+00,6.19E-02,8.36E-01,2.07E-01,M,234,P,234,11
2,1,11,11.176,1.11E+00,6.08E-01,3.02E-04,3.23E-01,1.95E-04,M,232,P,234,12
2,1,11,11.192,1.11E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,T,313,Y,111,13
2,1,11,11.196,1.11E+00,5.83E-01,1.19E+01,4.64E-02,2.22E+00,F,254,P,232,14
2,1,11,11.2,1.11E+00,5.46E-02,1.19E+01,4.34E-03,2.07E-01,F,254,P,234,15
2,1,11,11.201,1.11E+00,6.30E-01,1.20E+01,4.99E-02,3.59E+00,F,256,P,234,16
2,1,11,11.281,1.10E+00,4.12E-06,5.34E-04,4.91E-03,1.05E-05,M,434,P,232,17
2,1,11,11.283,1.10E+00,1.96E-04,6.19E-06,9.43E-01,1.17E-05,M,432,P,232,18
2,1,11,11.283,1.10E+00,4.51E-04,8.77E-03,4.89E-02,2.57E-03,M,436,P,234,19
2,1,11,11.284,1.10E+00,3.02E-04,5.34E-04,3.59E-01,7.67E-04,M,434,P,234,20
2,1,11,11.286,1.10E+00,5.60E-06,6.19E-06,2.69E-02,3.33E-07,M,432,P,234,21
2,1,11,11.294,1.10E+00,2.78E-04,1.87E-04,5.98E-01,4.47E-04,K,434,S,212,22
2,1,11,11.295,1.10E+00,1.06E-04,1.58E-05,8.71E-01,2.75E-05,K,432,S,212,23
