"=""3d4.(3P2).4p""","=""4D*""",8,"="" 26.683962""",
"=""3d4.(3F2).4p""","=""4G*""",10,"="" 26.704365""",
"=""3d4.(3H).4p""","=""4I*""",12,"="" 26.756895""",
"=""3d4.(3P2).4p""","=""4P*""",2,"="" 26.763291""",
"=""3d4.(3F2).4p""","=""4G*""",12,"="" 26.780924""",
"=""3d4.(3H).4p""","=""2G*""",8,"="" 26.794435""",
"=""3d4.(3H).4p""","=""4I*""",14,"="" 26.826188""",
"=""3d4.(3H).4p""","=""2G*""",10,"="" 26.833707""",
"=""3d4.(3H).4p""","=""4I*""",16,"="" 26.889424""",
"=""3d4.(3P2).4p""","=""4P*""",4,"="" 26.908525""",
"=""3d4.(3F2).4p""","=""4F*""",4,"="" 26.962371""",
"=""3d4.(3P2).4p""","=""*""",2,"="" 26.979917""",
"=""3d4.(3H).4p""","=""4G*""",6,"="" 27.009374""",
"=""3d4.(3P2).4p""","=""4P*""",6,"="" 27.031507""",
"=""3d4.(3H).4p""","=""4G*""",8,"="" 27.048364""",
"=""3d4.(3F2).4p""","=""*""",6,"="" 27.052814""",
"=""3d4.(3H).4p""","=""4G*""",10,"="" 27.058127""",
"=""3d4.(3H).4p""","=""4G*""",12,"="" 27.075064""",
"=""3d4.(3F2).4p""","=""4F*""",8,"="" 27.087864""",
"=""3d4.(3F2).4p""","=""4F*""",10,"="" 27.103073""",
"=""3d4.(3P2).4p""","=""*""",4,"="" 27.104667""",
"=""3d4.(3F2).4p""","=""2D*""",6,"="" 27.136572""",
"=""3d4.(3F2).4p""","=""*""",4,"="" 27.163905""",
"=""3d4.(3P2).4p""","=""2P*""",2,"="" 27.193938""",
"=""3d4.(3H).4p""","=""2I*""",12,"="" 27.222524""",
"=""3d4.(3F2).4p""","=""4D*""",6,"="" 27.225794""",
"=""3d4.(3H).4p""","=""2I*""",14,"="" 27.231984""",
"=""3d4.(3F2).4p""","=""4D*""",8,"="" 27.239394""",
"=""3d4.(3F2).4p""","=""4D*""",4,"="" 27.255026""",
"=""3d4.(3F2).4p""","=""4D*""",2,"="" 27.283880""",
"=""3d4.(3G).4p""","=""2F*""",6,"="" 27.300980""",
"=""3d4.(3P2).4p""","=""2P*""",4,"="" 27.321213""",
"=""3d4.(3H).4p""","=""2H*""",10,"="" 27.333721""",
"=""3d4.(3G).4p""","=""2F*""",8,"="" 27.357017""",
"=""3d4.(3G).4p""","=""4H*""",8,"="" 27.358110""",
"=""3d4.(3G).4p""","=""4H*""",10,"="" 27.413423""",
"=""3d4.(3H).4p""","=""2H*""",12,"="" 27.420472""",
"=""3d4.(3G).4p""","=""4F*""",4,"="" 27.427696""",
"=""3d4.(3G).4p""","=""4F*""",10,"="" 27.430166""",
"=""3d4.(3G).4p""","=""4F*""",6,"="" 27.440250""",
"=""3d4.(3G).4p""","=""4F*""",8,"="" 27.443414""",
"=""3d4.(3G).4p""","=""4H*""",12,"="" 27.480786""",
"=""3d4.(3P2).4p""","=""2D*""",4,"="" 27.526983""",
"=""3d4.(3G).4p""","=""4H*""",14,"="" 27.543708""",
"=""3d4.(1D1).4s""","=""2D""",6,"="" 27.628711""",
"=""3d4.(1D1).4s""","=""2D""",4,"="" 27.630087""",
"=""3d4.(3P2).4p""","=""2D*""",6,"="" 27.633627""",
"=""3d4.(3F2).4p""","=""2G*""",8,"="" 27.697899""",
"=""3d4.(3F2).4p""","=""2F*""",6,"="" 27.707860""",
"=""3d4.(3G).4p""","=""2H*""",12,"="" 27.716685""",
"=""3d4.(3G).4p""","=""*""",10,"="" 27.726535""",
"=""3d4.(3G).4p""","=""2H*""",10,"="" 27.740946""",
"=""3d4.(3G).4p""","=""4G*""",6,"="" 27.778159""",
"=""3d4.(3F2).4p""","=""2F*""",8,"="" 27.778166""",
"=""3d4.(3G).4p""","=""4G*""",8,"="" 27.801051""",
"=""3d4.(3G).4p""","=""4G*""",10,"="" 27.843929""",
"=""3d4.(3G).4p""","=""4G*""",12,"="" 27.880432""",
"=""3d4.(3D).4p""","=""4D*""",2,"="" 28.126055""",
"=""3d4.(3D).4p""","=""4D*""",4,"="" 28.131035""",
"=""3d4.(3D).4p""","=""4D*""",6,"="" 28.142377""",
"=""3d4.(3D).4p""","=""4D*""",8,"="" 28.176500""",
"=""3d4.(3G).4p""","=""2G*""",8,"="" 28.219390""",
"=""3d4.(3G).4p""","=""2G*""",10,"="" 28.226274""",
"=""3d4.(3D).4p""","=""4P*""",6,"="" 28.258361""",
"=""3d4.(1G2).4p""","=""2F*""",8,"="" 28.292409""",
"=""3d4.(1I).4p""","=""2I*""",14,"="" 28.293731""",
"=""3d4.(1I).4p""","=""2I*""",12,"="" 28.307456""",
"=""3d4.(3D).4p""","=""4P*""",4,"="" 28.341507""",
"=""3d4.(1G2).4p""","=""2H*""",10,"="" 28.366823""",
"=""3d4.(3D).4p""","=""4F*""",4,"="" 28.375347""",
