 <pre>
 ===============================================
  iCONF                 E(RYD)      TE(RYD)   gi
 ===============================================
  3d3(3)          -7.17051E+00  0.00000E+00 28.0
  3d2(1GE) 5g     -1.19418E+00  5.97633E+00 22.0
  3d2(3FE) 6d     -1.19330E+00  5.97721E+00 18.0
  3d2(1GE) 5f     -1.19286E+00  5.97765E+00 22.0
  3d2(1GE) 5g     -1.19162E+00  5.97889E+00 18.0
  3d2(3FE) 6d     -1.18888E+00  5.98163E+00 22.0
  3d2(3FE) 6d     -1.18841E+00  5.98210E+00 28.0
  3d2(1GE) 5g     -1.18767E+00  5.98284E+00 14.0
  3d2(1GE) 6p     -1.18557E+00  5.98494E+00 18.0
  3d2(1GE) 5g     -1.18310E+00  5.98741E+00 10.0
  3d2(1GE) 5g     -1.17888E+00  5.99163E+00  6.0
  3d2(3FE) 6d     -1.17845E+00  5.99206E+00 10.0
  3d2(1GE) 5g     -1.17638E+00  5.99413E+00  2.0
  3d2(1GE) 5f     -1.17283E+00  5.99768E+00 14.0
  3d 4s(1DE) 4p   -1.17277E+00  5.99774E+00  6.0
  3d2(1GE) 6p     -1.16701E+00  6.00350E+00 22.0
  3d2(1GE) 6p     -1.16517E+00  6.00534E+00 14.0
  3d2(1GE) 5f     -1.15784E+00  6.01267E+00  6.0
  3d2(1GE) 5f     -1.10316E+00  6.06735E+00 10.0
  3d2(3FE) 7s     -1.07599E+00  6.09452E+00 28.0
  3d2(3FE) 7s     -1.07313E+00  6.09738E+00 14.0
  3d2(1DE) 6d     -1.06868E+00  6.10183E+00  2.0
  3d2(1DE) 6d     -1.06096E+00  6.10955E+00 14.0
  3d2(1DE) 6d     -1.05903E+00  6.11148E+00 18.0
  3d2(1DE) 6d     -1.05681E+00  6.11370E+00  6.0
  3d2(1DE) 6d     -1.05086E+00  6.11965E+00 10.0
  3d2(3FE) 6f     -1.05070E+00  6.11981E+00 14.0
  3d2(3FE) 6f     -1.03680E+00  6.13371E+00 18.0
  3d2(3PE) 6d     -1.03314E+00  6.13737E+00 28.0
  3d2(3PE) 6d     -1.03202E+00  6.13849E+00 20.0
  3d2(3FE) 6f     -1.02660E+00  6.14391E+00  6.0
  3d2(3PE) 6d     -1.02547E+00  6.14504E+00  6.0
  3d2(3PE) 6d     -1.02385E+00  6.14666E+00 12.0
  3d2(3PE) 6d     -1.01988E+00  6.15063E+00 14.0
  3d2(3FE) 6f     -1.01429E+00  6.15622E+00 20.0
  3d2(3PE) 6d     -1.00867E+00  6.16184E+00 10.0
  3d2(3FE) 6f     -1.00817E+00  6.16234E+00 10.0
  3d2(3FE) 6f     -1.00663E+00  6.16388E+00 22.0
  3d2(3FE) 6f     -1.00515E+00  6.16536E+00  4.0
  3d2(3FE) 6f     -1.00354E+00  6.16697E+00 12.0
  3d2(3FE) 6f     -1.00296E+00  6.16755E+00  2.0
  3d2(3FE) 6g     -1.00244E+00  6.16807E+00 22.0
  3d2(3FE) 6g     -1.00147E+00  6.16904E+00 18.0
  3d2(3FE) 6h     -1.00078E+00  6.16973E+00 22.0
  3d2(3FE) 6h     -1.00062E+00  6.16989E+00 10.0
  3d2(3FE) 6h     -1.00060E+00  6.16991E+00 20.0
  3d2(3FE) 6g     -1.00030E+00  6.17021E+00  6.0
  3d2(3FE) 6g     -1.00020E+00  6.17031E+00 28.0
  3d2(3FE) 6g     -1.00015E+00  6.17036E+00 12.0
  3p5 3d4(3G4):   -9.99841E-01  6.17067E+00 18.0
  3d2(3FE) 6g     -9.99793E-01  6.17072E+00 20.0
  3d2(3FE) 6g     -9.99765E-01  6.17074E+00 14.0
  3d2(3FE) 6g     -9.99262E-01  6.17125E+00 10.0
  3d2(3FE) 6h     -9.98782E-01  6.17173E+00 14.0
  3d2(3FE) 6h     -9.98333E-01  6.17218E+00 18.0
  3d2(3FE) 7p     -9.91020E-01  6.17949E+00 14.0
  3d2(3FE) 7p     -9.87142E-01  6.18337E+00 20.0
  3d2(3FE) 7p     -9.84287E-01  6.18622E+00 10.0
  3d 4s(3DE) 4p   -9.73185E-01  6.19732E+00 14.0
  3d2(1SE) 6s     -9.72510E-01  6.19800E+00  2.0
  3p5 3d4(3P2)    -9.71150E-01  6.19936E+00  6.0
  3d2(3FE) 7p     -9.58810E-01  6.21170E+00 18.0
  3d2(1GE) 6d     -9.58787E-01  6.21172E+00 18.0
  3d2(1GE) 6d     -9.53726E-01  6.21678E+00 22.0
  3d2(1GE) 6d     -9.44970E-01  6.22554E+00 14.0
  3d2(1GE) 6d     -9.34565E-01  6.23594E+00 10.0
  3d2(1DE) 7s     -9.25850E-01  6.24466E+00 10.0
  3d2(3PE) 7s     -8.98474E-01  6.27204E+00 12.0
  3d2(3PE) 7s     -8.95157E-01  6.27535E+00  6.0
  3d 4s(3DE) 4p   -8.93429E-01  6.27708E+00 10.0
  3d2(1DE) 6f:    -8.79867E-01  6.29064E+00 10.0
  3d2(1SE) 5f     -8.79110E-01  6.29140E+00 14.0
  3d2(1DE) 6f     -8.79028E-01  6.29148E+00 18.0
  3d2(1DE) 6f     -8.76779E-01  6.29373E+00 22.0
  3d2(3FE) 7d     -8.64693E-01  6.30582E+00 20.0
  3d2(3FE) 7d     -8.63402E-01  6.30711E+00 14.0
  3d2(1DE) 6f     -8.62385E-01  6.30813E+00 14.0
  3d2(1DE) 6f     -8.61803E-01  6.30871E+00  6.0
  3d2(3FE) 7d     -8.56030E-01  6.31448E+00  6.0
  3d2(1DE) 6g     -8.54744E-01  6.31577E+00 18.0
  3d2(1DE) 6g     -8.54627E-01  6.31588E+00 10.0
  3d2(1DE) 6g     -8.54373E-01  6.31614E+00 14.0
  3d2(1DE) 6h     -8.53675E-01  6.31683E+00 18.0
  3d2(1DE) 6g     -8.53611E-01  6.31690E+00 22.0
  3d2(1DE) 6h     -8.53245E-01  6.31726E+00 14.0
  3d2(3FE) 7d     -8.52503E-01  6.31801E+00 12.0
  3d2(1DE) 6h     -8.52233E-01  6.31828E+00 22.0
  3d2(3FE) 7d     -8.51406E-01  6.31910E+00 18.0
  3d2(3FE) 7d     -8.49947E-01  6.32056E+00 28.0
  3d2(3FE) 7d     -8.48316E-01  6.32219E+00 22.0
  3d2(3PE) 6f     -8.48067E-01  6.32244E+00 10.0
  3d 4s(1DE) 4p   -8.46341E-01  6.32417E+00 14.0
  3d2(3FE) 7d     -8.45956E-01  6.32455E+00 10.0
  3d2(1DE) 7p     -8.44062E-01  6.32645E+00  6.0
