 <pre>
 ===============================================
  iCONF                 E(RYD)      TE(RYD)   gi
 ===============================================
  3d4(4)          -5.18345E+00  2.56380E-01  9.0
  3d4(4)          -5.07432E+00  3.65510E-01  9.0
  3d4(4)          -5.00937E+00  4.30460E-01  1.0
  3d4(4)          -4.98812E+00  4.51710E-01  5.0
  3d4(4)          -4.91507E+00  5.24760E-01  7.0
  3d4(2)          -4.81350E+00  6.26330E-01  9.0
  3d4(2)          -4.74082E+00  6.99010E-01  9.0
  3d4(2)          -4.49353E+00  9.46300E-01  5.0
  3d4(0)          -4.21480E+00  1.22503E+00  1.0
  3d3(2P3) 5f     -7.77877E-01  4.66195E+00  7.0
  3d3(2H3) 5f     -7.73112E-01  4.66672E+00 11.0
  3d3(2D3) 5f     -7.72270E-01  4.66756E+00  5.0
  3d3(2H3) 5f     -7.63830E-01  4.67600E+00  9.0
  3d3(2D3) 5f     -7.61620E-01  4.67821E+00  7.0
  3d3(2D3) 5f     -7.60492E-01  4.67934E+00 11.0
  3d3(2D3) 5f     -7.58202E-01  4.68163E+00  3.0
  3d3(2H3) 5f     -7.56565E-01  4.68326E+00  5.0
  3d3(2H3) 5f     -7.54177E-01  4.68565E+00  7.0
  3d3(2D3) 5f     -7.53602E-01  4.68623E+00  9.0
  3d3(2F3) 6s     -7.52078E-01  4.68775E+00  7.0
  3d2 4s(2PE) 4p  -7.27728E-01  4.71210E+00  5.0
  3d2 4s2         -7.03300E-01  4.73653E+00  1.0
  3d3(4F3) 6f     -7.01387E-01  4.73844E+00  3.0
  3d2 4s(2DE) 4p  -6.94450E-01  4.74538E+00  3.0
  3d3(2G3) 6d     -6.85787E-01  4.75404E+00  7.0
  3d3(2G3) 6d     -6.82935E-01  4.75690E+00 11.0
  3d3(4P3) 6d     -6.75600E-01  4.76423E+00  9.0
  3d3(2G3) 6d     -6.73895E-01  4.76593E+00  5.0
  3d3(2D1) 5d     -6.59780E-01  4.78005E+00  7.0
  3d3(2G3) 6d     -6.59688E-01  4.78014E+00  9.0
  3d3(2D1) 5d     -6.48527E-01  4.79130E+00  3.0
  3d3(2D1) 5d     -6.43687E-01  4.79614E+00  3.0
  3d3(2P3) 6d     -6.36237E-01  4.80359E+00  9.0
  3d3(2P3) 6d     -6.32515E-01  4.80731E+00  3.0
  3d3(2F3) 6p     -6.32512E-01  4.80732E+00  9.0
  3d3(2P3) 6d     -6.29647E-01  4.81018E+00  7.0
  3d3(2F3) 6p     -6.29615E-01  4.81021E+00  5.0
  3d3(2D1) 5d     -6.29615E-01  4.81021E+00  9.0
  3d3(2F3) 6p     -6.29522E-01  4.81031E+00  7.0
  3d3(2D1) 5d     -6.22350E-01  4.81748E+00  9.0
  3d3(4P3) 7s     -6.17992E-01  4.82184E+00  9.0
  3d3(2H3) 6d     -6.17808E-01  4.82202E+00 11.0
  3d3(2P3) 6d     -6.17217E-01  4.82261E+00  5.0
  3d3(2D3) 6d     -6.15997E-01  4.82383E+00  3.0
  3d3(2D3) 6d     -6.13410E-01  4.82642E+00  3.0
  3d3(2F3) 5f     -6.08722E-01  4.83111E+00  1.0
  3d3(4F3) 7d     -6.08205E-01  4.83162E+00  9.0
  3d3(2H3) 6d     -6.07430E-01  4.83240E+00  7.0
  3d3(2D3) 6d     -6.05102E-01  4.83473E+00  9.0
  3d3(2F3) 5f     -6.04715E-01  4.83511E+00  9.0
  3d3(2G3) 7s     -6.01602E-01  4.83823E+00  9.0
  3d3(2F3) 5f     -6.00445E-01  4.83939E+00  3.0
  3d3(2F3) 5f     -5.99780E-01  4.84005E+00 11.0
  3d3(2D3) 6d     -5.99625E-01  4.84020E+00  5.0
  3d3(2F3) 5f     -5.99297E-01  4.84053E+00  7.0
  3d3(2F3) 5f     -5.97132E-01  4.84270E+00  5.0
  3d3(2F3) 5f     -5.95872E-01  4.84396E+00  3.0
  3d3(2D1) 5d     -5.95742E-01  4.84409E+00  5.0
  3d3(2D3) 6d     -5.84843E-01  4.85499E+00  9.0
  3d3(2H3) 6d     -5.81530E-01  4.85830E+00  9.0
  3d3(2D3) 6d     -5.78068E-01  4.86176E+00  7.0
  3d3(2D3) 6d     -5.70487E-01  4.86934E+00  1.0
  3d3(2P3) 7s     -5.57787E-01  4.88204E+00  9.0
  3d3(2P3) 7s     -5.55172E-01  4.88466E+00  3.0
  3d3(4P3) 7p     -5.44625E-01  4.89521E+00  3.0
  3d3(2D1) 5d     -5.42055E-01  4.89777E+00  1.0
  3d3(2G3) 7p     -5.38023E-01  4.90181E+00  9.0
  3d3(2G3) 7p     -5.36542E-01  4.90329E+00 11.0
  3d3(2G3) 7p     -5.36265E-01  4.90356E+00  7.0
  3d3(2H3) 7s     -5.33707E-01  4.90612E+00 11.0
  3d3(2D3) 7s     -5.32760E-01  4.90707E+00  5.0
  3d3(2G3) 6f     -5.27212E-01  4.91262E+00  7.0
  3d3(2G3) 6f     -5.26862E-01  4.91297E+00  5.0
  3d3(2G3) 6f     -5.24832E-01  4.91500E+00  3.0
  3d3(2G3) 6f     -5.22107E-01  4.91772E+00  9.0
  3d3(2G3) 6f     -5.21852E-01  4.91798E+00 11.0
  3d3(2D1) 6s     -5.19328E-01  4.92050E+00  5.0
  3d3(4F3) 7f     -5.17000E-01  4.92283E+00  3.0
  3d3(2P3) 7p     -4.94870E-01  4.94496E+00  1.0
  3d2 4s(2DE) 4p  -4.93522E-01  4.94631E+00  7.0
  3d3(2P3) 7p     -4.91305E-01  4.94852E+00  3.0
  3d3(2P3) 7p     -4.89822E-01  4.95001E+00  5.0
  3d3(2P3) 7p     -4.89102E-01  4.95073E+00  3.0
  3d3(2P3) 6f     -4.81947E-01  4.95788E+00  5.0
  3d3(2P3) 6f     -4.78575E-01  4.96126E+00  9.0
  3d2 4s(2PE) 4p  -4.76922E-01  4.96291E+00  3.0
  3d2 4s(2PE) 4p  -4.74423E-01  4.96541E+00  3.0
  3d3(2H3) 7p     -4.69657E-01  4.97017E+00 11.0
  3d3(2D3) 6f     -4.69040E-01  4.97079E+00  5.0
  3d3(2D3) 7p     -4.66792E-01  4.97304E+00  7.0
  3d3(2H3) 7p     -4.65112E-01  4.97472E+00  9.0
  3d3(2D3) 7p     -4.63430E-01  4.97640E+00  5.0
  3d3(2D3) 7p     -4.63117E-01  4.97671E+00  3.0
  3d3(2P3) 6f     -4.60985E-01  4.97884E+00  7.0
  3d3(2H3) 6f     -4.59180E-01  4.98065E+00 11.0
  3d3(2H3) 6f     -4.57550E-01  4.98228E+00  9.0
  3d3(4F3) 8d     -4.52835E-01  4.98699E+00  9.0
  3d3(2D3) 6f     -4.51947E-01  4.98788E+00 11.0
  3d3(2H3) 6f     -4.49125E-01  4.99071E+00  7.0
  3d3(2H3) 6f     -4.48932E-01  4.99090E+00  5.0
  3d3(2D3) 6f     -4.47960E-01  4.99187E+00  9.0
  3d3(2D3) 6f     -4.47948E-01  4.99188E+00  3.0
  3d3(2F3) 6d     -4.47862E-01  4.99197E+00 11.0
  3d3(2F3) 6d     -4.47045E-01  4.99278E+00  3.0
  3d3(4P3) 7d     -4.46997E-01  4.99283E+00  9.0
  3d3(2D3) 6f     -4.44745E-01  4.99508E+00  7.0
  3d3(2F3) 6d     -4.43072E-01  4.99676E+00  7.0
  3d3(2H3) 6h     -4.42708E-01  4.99712E+00  5.0
  3d3(2F3) 6d     -4.34128E-01  5.00570E+00  9.0
  3d3(2G3) 7d     -4.32837E-01  5.00699E+00  7.0
  3d3(2G3) 7d     -4.32097E-01  5.00773E+00 11.0
  3d3(2G3) 7d     -4.23715E-01  5.01611E+00  5.0
  3d3(2F3) 6d     -4.19435E-01  5.02039E+00  5.0
  3d3(2F3) 6d     -4.18285E-01  5.02154E+00  9.0
  3d3(2G3) 7d     -4.11702E-01  5.02813E+00  9.0
  3d3(2D1) 6p     -4.09380E-01  5.03045E+00  5.0
  3d2 4s(2GE) 4p  -4.03037E-01  5.03679E+00  9.0
  3d3(4P3) 8s     -4.00055E-01  5.03977E+00  9.0
  3d3(2D1) 6p     -3.99457E-01  5.04037E+00  7.0
  3d3(4F3) 8f     -3.92507E-01  5.04732E+00  3.0
  3d3(2D1) 6p     -3.88287E-01  5.05154E+00  3.0
  3d3(2G3) 8s     -3.84860E-01  5.05497E+00  9.0
  3d3(2P3) 7d     -3.84682E-01  5.05515E+00  3.0
  3d3(2D1) 5f     -3.83045E-01  5.05678E+00  9.0
  3d3(2P3) 7d     -3.81690E-01  5.05814E+00  7.0
  3d2 4s(2GE) 4p  -3.81490E-01  5.05834E+00 11.0
  3d3(2P3) 7d     -3.77707E-01  5.06212E+00  9.0
  3d3(2F3) 7s     -3.72422E-01  5.06741E+00  7.0
  3d3(2D1) 5f     -3.71615E-01  5.06821E+00  5.0
  3d3(2D1) 5f     -3.69727E-01  5.07010E+00  7.0
  3d3(2P3) 7d     -3.68730E-01  5.07110E+00  5.0
  3d3(2H3) 7d     -3.64912E-01  5.07492E+00 11.0
  3d3(2D3) 7d     -3.64585E-01  5.07524E+00  3.0
  3d3(2D3) 7d     -3.63202E-01  5.07663E+00  3.0
  3d3(2H3) 7d     -3.59182E-01  5.08065E+00  7.0
  3d3(2D3) 7d     -3.57805E-01  5.08202E+00  9.0
