ritz_wl_vac(A),Aki(s^-1),fik,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""3091.10210""","=""2.38e+06""","=""3.41e-03""",D+,"=""2.75857762""","=""6.76958063""","=""3d7.(2G).4s""","=""a 3G""","=""3""","=""3d6.(3G).4s.4p.(3P*)""","=""t 3G*""","=""3""",7,7,,"=""T5720""","=""L11631""",
"=""3092.47394""","=""5.53e+07""","=""2.64e-02""",C,"=""1.01105568""","=""5.02027939""","=""3d7.(4F).4s""","=""a 5F""","=""1""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""0""",3,1,,"=""T5720""","=""L11631""",
"=""3093.67892""","=""8.40e+04""","=""8.60e-05""",C+,"=""0.95815732""","=""4.96581946""","=""3d7.(4F).4s""","=""a 5F""","=""3""","=""3d5.(6S).4s2.4p""","=""y 7P*""","=""2""",7,5,,"=""T5720""","=""L11631""",
"=""3094.70295""","=""1.28e+06""","=""1.84e-03""",B,"=""1.60789577""","=""5.61423177""","=""3d7.(4F).4s""","=""a 3F""","=""2""","=""3d6.(3P2).4s.4p.(3P*)""","=""x 3D*""","=""2""",5,5,,"=""T5720""","=""L11631""",
"=""3096.16503""","=""1.93e+06""","=""2.77e-03""",C+,"=""2.69240763""","=""6.69685175""","=""3d7.(2G).4s""","=""a 3G""","=""5""","=""3d6.(3D).4s.4p.(3P*)""","=""5F*""","=""5""",11,11,,"=""T5720""","=""L11631""",
"=""3099.0877""","=""7.52e+06""","=""1.08e-02""",B,"=""2.69240763""","=""6.6930753""","=""3d7.(2G).4s""","=""a 3G""","=""5""","=""3d6.(3G).4s.4p.(3P*)""","=""t 3G*""","=""5""",11,11,,"=""T5720""","=""L11631""",
"=""3100.79404""","=""1.93e+07""","=""2.78e-02""",C+,"=""1.01105568""","=""5.00952178""","=""3d7.(4F).4s""","=""a 5F""","=""1""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""1""",3,3,,"=""T5720""","=""L11631""",
"=""3100.86750""","=""8.23e+06""","=""1.19e-02""",C+,"=""0.91460217""","=""4.91297355""","=""3d7.(4F).4s""","=""a 5F""","=""4""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""4""",9,9,,"=""T5720""","=""L11631""",
"=""3101.20302""","=""1.87e+07""","=""2.69e-02""",C+,"=""0.99011115""","=""4.98804995""","=""3d7.(4F).4s""","=""a 5F""","=""2""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""2""",5,5,,"=""T5720""","=""L11631""",
"=""3101.56448""","=""1.35e+07""","=""1.95e-02""",C,"=""0.95815732""","=""4.95563019""","=""3d7.(4F).4s""","=""a 5F""","=""3""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""3""",7,7,,"=""T5720""","=""L11631""",
"=""3101.73601""","=""2.73e+06""","=""3.33e-03""",B,"=""2.40407444""","=""6.40132623""","=""3d6.4s2""","=""a 3H""","=""6""","=""3d6.(3H).4s.4p.(3P*)""","=""1H*""","=""5""",13,11,,"=""T5720""","=""L11631""",
"=""3101.90198""","=""5.53e+06""","=""7.97e-03""",C+,"=""2.72754450""","=""6.72458242""","=""3d7.(2G).4s""","=""a 3G""","=""4""","=""3d6.(3G).4s.4p.(3P*)""","=""t 3G*""","=""4""",9,9,,"=""T5720""","=""L11631""",
"=""3103.53652""","=""3.00e+04""","=""6.06e-05""",D+,"=""0.99011115""","=""4.98504395""","=""3d7.(4F).4s""","=""a 5F""","=""2""","=""3d5.(6S).4s2.4p""","=""y 7P*""","=""3""",5,7,,"=""T5720""","=""L11631""",
"=""3112.98010""","=""5.24e+06""","=""7.61e-03""",C+,"=""2.94879294""","=""6.93160665""","=""3d6.4s2""","=""b 3G""","=""5""","=""3d7.(2H).4p""","=""1H*""","=""5""",11,11,,"=""T5720""","=""L11631""",
"=""3117.53526""","=""3.04e+06""","=""7.38e-03""",C,"=""1.01105568""","=""4.98804995""","=""3d7.(4F).4s""","=""a 5F""","=""1""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""2""",3,5,,"=""T5720""","=""L11631""",
"=""3118.54364""","=""4.30e+04""","=""6.27e-05""",C+,"=""0.99011115""","=""4.96581946""","=""3d7.(4F).4s""","=""a 5F""","=""2""","=""3d5.(6S).4s2.4p""","=""y 7P*""","=""2""",5,5,,"=""T5720""","=""L11631""",
"=""3120.39936""","=""8.28e+06""","=""9.88e-03""",B,"=""2.43269470""","=""6.40603863""","=""3d6.4s2""","=""a 3H""","=""5""","=""3d7.(2H).4p""","=""u 3G*""","=""4""",11,9,,"=""T5720""","=""L11631""",
"=""3121.34003""","=""7.26e+06""","=""8.24e-03""",B,"=""2.45343044""","=""6.42557692""","=""3d6.4s2""","=""a 3H""","=""4""","=""3d7.(2H).4p""","=""u 3G*""","=""3""",9,7,,"=""T5720""","=""L11631""",
"=""3126.55663""","=""2.12e+06""","=""4.35e-03""",C,"=""0.99011115""","=""4.95563019""","=""3d7.(4F).4s""","=""a 5F""","=""2""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""3""",5,7,,"=""T5720""","=""L11631""",
"=""3126.58850""","=""8.46e+06""","=""1.05e-02""",B,"=""2.40407444""","=""6.36955305""","=""3d6.4s2""","=""a 3H""","=""6""","=""3d7.(2H).4p""","=""u 3G*""","=""5""",13,11,,"=""T5720""","=""L11631""",
"=""3130.24032""","=""9.05e+05""","=""1.03e-03""",D+,"=""1.48486439""","=""5.44571679""","=""3d7.(4F).4s""","=""a 3F""","=""4""","=""3d6.(3P2).4s.4p.(3P*)""","=""w 5D*""","=""3""",9,7,,"=""T5720""","=""L11631""",
"=""3133.42568""","=""3.39e+07""","=""3.88e-02""",C+,"=""3.21118938""","=""7.16801526""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5D*""","=""4""","=""3d6.(5D).4s (4D).4d""","=""i 5D""","=""3""",9,7,,"=""T5720""","=""L11631""",
"=""3135.01795""","=""7.86e+05""","=""1.49e-03""",C,"=""0.95815732""","=""4.91297355""","=""3d7.(4F).4s""","=""a 5F""","=""3""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""4""",7,9,,"=""T5720""","=""L11631""",
