ritz_wl_vac(A),Aki(s^-1),fik,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""995.49749""","=""2.0e+07""","=""3.7e-03""",D,"=""0.30129858""","=""12.7557949""","=""3d7""","=""a 4F""","=""7/2""","=""3d6.(5D<4>).4f""","=""2[4]*""","=""9/2""",8,10,,"=""T6892c83""","=""L18349c140""",
"=""997.38409""","=""2.9e+07""","=""5.e-03""",E,"=""0.98633380""","=""13.4172719""","=""3d6.(5D).4s""","=""a 4D""","=""7/2""","=""3d5.(2F1).4s.4p.(3P*)""","=""4F*""","=""9/2""",8,10,,"=""T6892c83""","=""L18349c140""",
"=""1055.26176""","=""4.6e+07""","=""6.1e-03""",D+,"=""0.00000000""","=""11.7491416""","=""3d6.(5D).4s""","=""a 6D""","=""9/2""","=""3d5.(4D).4s.4p.(3P*)""","=""6P*""","=""7/2""",10,8,,"=""T6892c83""","=""L18349c140""",
"=""1059.56413""","=""3.2e+07""","=""5.5e-03""",D+,"=""0.04770753""","=""11.7491416""","=""3d6.(5D).4s""","=""a 6D""","=""7/2""","=""3d5.(4D).4s.4p.(3P*)""","=""6P*""","=""7/2""",8,8,,"=""T6892c83""","=""L18349c140""",
"=""1060.44206""","=""1.2e+08""","=""1.5e-02""",D+,"=""0.04770753""","=""11.7394541""","=""3d6.(5D).4s""","=""a 6D""","=""7/2""","=""3d5.(4D).4s.4p.(3P*)""","=""6P*""","=""5/2""",8,6,,"=""T6892c83""","=""L18349c140""",
"=""1062.15305""","=""1.7e+07""","=""2.9e-03""",D,"=""0.00000000""","=""11.6729127""","=""3d6.(5D).4s""","=""a 6D""","=""9/2""","=""3d5.(4G).4s.4p.(3P*)""","=""w 4G*""","=""9/2""",10,10,,"=""T6892c83""","=""L18349c140""",
"=""1062.74968""","=""3.1e+07""","=""7.0e-03""",D+,"=""0.08278213""","=""11.7491416""","=""3d6.(5D).4s""","=""a 6D""","=""5/2""","=""3d5.(4D).4s.4p.(3P*)""","=""6P*""","=""7/2""",6,8,,"=""T6892c83""","=""L18349c140""",
"=""1063.02174""","=""1.2e+08""","=""1.4e-02""",D+,"=""0.08278213""","=""11.7461558""","=""3d6.(5D).4s""","=""a 6D""","=""5/2""","=""3d5.(4P).4s.4p.(3P*)""","=""4P*""","=""3/2""",6,4,,"=""T6892c83""","=""L18349c140""",
"=""1063.17687""","=""3.2e+08""","=""5.5e-02""",D+,"=""0.00000000""","=""11.6616719""","=""3d6.(5D).4s""","=""a 6D""","=""9/2""","=""3d5.(4D).4s.4p.(3P*)""","=""6D*""","=""9/2""",10,10,,"=""T6892c83""","=""L18349c144""",
"=""1063.62642""","=""1.4e+08""","=""1.2e-02""",D+,"=""0.10695023""","=""11.7636933""","=""3d6.(5D).4s""","=""a 6D""","=""3/2""","=""3d5.(4P).4s.4p.(3P*)""","=""4P*""","=""1/2""",4,2,,"=""T6892c83""","=""L18349c140""",
"=""1063.63290""","=""1.6e+07""","=""2.8e-03""",D,"=""0.08278213""","=""11.7394541""","=""3d6.(5D).4s""","=""a 6D""","=""5/2""","=""3d5.(4D).4s.4p.(3P*)""","=""6P*""","=""5/2""",6,6,,"=""T6892c83""","=""L18349c140""",
"=""1063.97179""","=""3.5e+07""","=""4.7e-03""",D+,"=""0.00000000""","=""11.6529591""","=""3d6.(5D).4s""","=""a 6D""","=""9/2""","=""3d5.(4D).4s.4p.(3P*)""","=""6D*""","=""7/2""",10,8,,"=""T6892c83""","=""L18349c140""",
"=""1064.92263""","=""4.1e+07""","=""7.e-03""",D,"=""0.12113874""","=""11.7636933""","=""3d6.(5D).4s""","=""a 6D""","=""1/2""","=""3d5.(4P).4s.4p.(3P*)""","=""4P*""","=""1/2""",2,2,,"=""T6892c83""","=""L18349c140""",
"=""1065.84274""","=""6.7e+07""","=""1.7e-02""",D+,"=""0.10695023""","=""11.7394541""","=""3d6.(5D).4s""","=""a 6D""","=""3/2""","=""3d5.(4D).4s.4p.(3P*)""","=""6P*""","=""5/2""",4,6,,"=""T6892c83""","=""L18349c140""",
"=""1066.52917""","=""6.2e+07""","=""2.1e-02""",D+,"=""0.12113874""","=""11.7461558""","=""3d6.(5D).4s""","=""a 6D""","=""1/2""","=""3d5.(4P).4s.4p.(3P*)""","=""4P*""","=""3/2""",2,4,,"=""T6892c83""","=""L18349c140""",
"=""1066.65325""","=""1.1e+07""","=""1.4e-03""",D,"=""0.98633380""","=""12.6099986""","=""3d6.(5D).4s""","=""a 4D""","=""7/2""","=""3d5.(4D).4s.4p.(3P*)""","=""4P*""","=""5/2""",8,6,,"=""T6892c83""","=""L18349c144""",
"=""1067.54416""","=""8.e+07""","=""1.8e-02""",D+,"=""0.04770753""","=""11.6616719""","=""3d6.(5D).4s""","=""a 6D""","=""7/2""","=""3d5.(4D).4s.4p.(3P*)""","=""6D*""","=""9/2""",8,10,,"=""T6892c83""","=""L18349c140""",
"=""1068.34563""","=""1.6e+08""","=""2.7e-02""",D+,"=""0.04770753""","=""11.6529591""","=""3d6.(5D).4s""","=""a 6D""","=""7/2""","=""3d5.(4D).4s.4p.(3P*)""","=""6D*""","=""7/2""",8,8,,"=""T6892c83""","=""L18349c144""",
"=""1069.01908""","=""1.5e+07""","=""2.5e-03""",D,"=""0.08278213""","=""11.6807228""","=""3d6.(5D).4s""","=""a 6D""","=""5/2""","=""3d5.(4P).4s.4p.(3P*)""","=""4P*""","=""5/2""",6,6,,"=""T6892c83""","=""L18349c140""",
"=""1070.13477""","=""2.7e+07""","=""3.5e-03""",D,"=""0.04770753""","=""11.6335565""","=""3d6.(5D).4s""","=""a 6D""","=""7/2""","=""3d5.(4D).4s.4p.(3P*)""","=""6D*""","=""5/2""",8,6,,"=""T6892c83""","=""L18349c140""",
"=""1071.25138""","=""2.3e+07""","=""6.e-03""",D,"=""0.10695023""","=""11.6807228""","=""3d6.(5D).4s""","=""a 6D""","=""3/2""","=""3d5.(4P).4s.4p.(3P*)""","=""4P*""","=""5/2""",4,6,,"=""T6892c83""","=""L18349c140""",
"=""1071.58428""","=""1.1e+08""","=""2.6e-02""",D+,"=""0.08278213""","=""11.6529591""","=""3d6.(5D).4s""","=""a 6D""","=""5/2""","=""3d5.(4D).4s.4p.(3P*)""","=""6D*""","=""7/2""",6,8,,"=""T6892c83""","=""L18349c140""",
"=""1073.27550""","=""4.1e+07""","=""5.e-03""",D,"=""0.08278213""","=""11.6347274""","=""3d6.(5D).4s""","=""a 6D""","=""5/2""","=""3d5.(4D).4s.4p.(3P*)""","=""6D*""","=""3/2""",6,4,,"=""T6892c83""","=""L18349c140""",
"=""1073.32116""","=""1.7e+08""","=""1.4e-02""",D+,"=""0.10695023""","=""11.6584040""","=""3d6.(5D).4s""","=""a 6D""","=""3/2""","=""3d5.(4D).4s.4p.(3P*)""","=""6D*""","=""1/2""",4,2,,"=""T6892c83""","=""L18349c140""",
"=""1073.38430""","=""5.8e+07""","=""1.0e-02""",D+,"=""0.08278213""","=""11.6335565""","=""3d6.(5D).4s""","=""a 6D""","=""5/2""","=""3d5.(4D).4s.4p.(3P*)""","=""6D*""","=""5/2""",6,6,,"=""T6892c83""","=""L18349c140""",
"=""1074.64113""","=""5.e+07""","=""9.e-03""",D,"=""0.12113874""","=""11.6584040""","=""3d6.(5D).4s""","=""a 6D""","=""1/2""","=""3d5.(4D).4s.4p.(3P*)""","=""6D*""","=""1/2""",2,2,,"=""T6892c83""","=""L18349c140""",
"=""1075.52563""","=""2.2e+07""","=""3.8e-03""",D,"=""0.10695023""","=""11.6347274""","=""3d6.(5D).4s""","=""a 6D""","=""3/2""","=""3d5.(4D).4s.4p.(3P*)""","=""6D*""","=""3/2""",4,4,,"=""T6892c83""","=""L18349c140""",
"=""1075.63489""","=""9.e+07""","=""2.4e-02""",D+,"=""0.10695023""","=""11.6335565""","=""3d6.(5D).4s""","=""a 6D""","=""3/2""","=""3d5.(4D).4s.4p.(3P*)""","=""6D*""","=""5/2""",4,6,,"=""T6892c83""","=""L18349c140""",
"=""1076.85103""","=""1.1e+08""","=""3.9e-02""",D+,"=""0.12113874""","=""11.6347274""","=""3d6.(5D).4s""","=""a 6D""","=""1/2""","=""3d5.(4D).4s.4p.(3P*)""","=""6D*""","=""3/2""",2,4,,"=""T6892c83""","=""L18349c140""",
"=""1081.87526""","=""6.0e+07""","=""1.3e-02""",D+,"=""0.00000000""","=""11.4601196""","=""3d6.(5D).4s""","=""a 6D""","=""9/2""","=""3d5.(4D).4s.4p.(3P*)""","=""6F*""","=""11/2""",10,12,,"=""T6892c83""","=""L18349c140""",
"=""1083.42046""","=""1.6e+07""","=""2.8e-03""",D,"=""0.00000000""","=""11.4437749""","=""3d6.(5D).4s""","=""a 6D""","=""9/2""","=""3d5.(4D).4s.4p.(3P*)""","=""6F*""","=""9/2""",10,10,,"=""T6892c83""","=""L18349c140""",
"=""1087.95600""","=""4.8e+07""","=""1.1e-02""",D+,"=""0.04770753""","=""11.4437749""","=""3d6.(5D).4s""","=""a 6D""","=""7/2""","=""3d5.(4D).4s.4p.(3P*)""","=""6F*""","=""9/2""",8,10,,"=""T6892c83""","=""L18349c140""",
"=""1089.68824""","=""3.1e+07""","=""5.6e-03""",D+,"=""0.04770753""","=""11.4256589""","=""3d6.(5D).4s""","=""a 6D""","=""7/2""","=""3d5.(4D).4s.4p.(3P*)""","=""6F*""","=""7/2""",8,8,,"=""T6892c83""","=""L18349c140""",
"=""1091.52368""","=""1.7e+07""","=""2.5e-03""",D,"=""0.23217279""","=""11.5909917""","=""3d7""","=""a 4F""","=""9/2""","=""3d6.(3F1).4p""","=""u 4F*""","=""7/2""",10,8,,"=""T6892c83""","=""L18349c140""",
"=""1091.56003""","=""3.2e+07""","=""5.6e-03""",D+,"=""0.23217279""","=""11.5906134""","=""3d7""","=""a 4F""","=""9/2""","=""3d6.(3F1).4p""","=""u 4F*""","=""9/2""",10,10,,"=""T6892c83""","=""L18349c140""",
"=""1093.05779""","=""3.9e+07""","=""9.e-03""",D+,"=""0.08278213""","=""11.4256589""","=""3d6.(5D).4s""","=""a 6D""","=""5/2""","=""3d5.(4D).4s.4p.(3P*)""","=""6F*""","=""7/2""",6,8,,"=""T6892c83""","=""L18349c140""",
"=""1094.67824""","=""4.8e+07""","=""9.e-03""",D+,"=""0.08278213""","=""11.4088681""","=""3d6.(5D).4s""","=""a 6D""","=""5/2""","=""3d5.(4D).4s.4p.(3P*)""","=""6F*""","=""5/2""",6,6,,"=""T6892c83""","=""L18349c140""",
"=""1095.80300""","=""1.6e+07""","=""2.3e-03""",D,"=""0.23217279""","=""11.5466334""","=""3d7""","=""a 4F""","=""9/2""","=""3d6.(3F1).4p""","=""4D*""","=""7/2""",10,8,,"=""T6892c83""","=""L18349c140""",
"=""1096.60712""","=""1.5e+08""","=""2.0e-02""",D+,"=""0.04770753""","=""11.3538714""","=""3d6.(5D).4s""","=""a 6D""","=""7/2""","=""3d6.(5D).5p""","=""w 6P*""","=""5/2""",8,6,,"=""T6892c83""","=""L18349c140""",
"=""1096.78223""","=""8.e+07""","=""1.0e-02""",D+,"=""0.08278213""","=""11.3871409""","=""3d6.(5D).4s""","=""a 6D""","=""5/2""","=""3d6.(5D).5p""","=""w 6P*""","=""3/2""",6,4,,"=""T6892c83""","=""L18349c140""",
"=""1096.87687""","=""2.3e+08""","=""3.3e-02""",D+,"=""0.00000000""","=""11.3033835""","=""3d6.(5D).4s""","=""a 6D""","=""9/2""","=""3d6.(5D).5p""","=""w 6P*""","=""7/2""",10,8,,"=""T6892c83""","=""L18349c144""",
"=""1097.01911""","=""3.0e+07""","=""8.e-03""",D,"=""0.10695023""","=""11.4088681""","=""3d6.(5D).4s""","=""a 6D""","=""3/2""","=""3d5.(4D).4s.4p.(3P*)""","=""6F*""","=""5/2""",4,6,,"=""T6892c83""","=""L18349c140""",
"=""1098.20698""","=""1.4e+07""","=""2.5e-03""",D,"=""0.30129858""","=""11.5909917""","=""3d7""","=""a 4F""","=""7/2""","=""3d6.(3F1).4p""","=""u 4F*""","=""7/2""",8,8,,"=""T6892c83""","=""L18349c140""",
"=""1098.26196""","=""7.0e+07""","=""1.3e-02""",D+,"=""0.10695023""","=""11.3960783""","=""3d6.(5D).4s""","=""a 6D""","=""3/2""","=""3d5.(4D).4s.4p.(3P*)""","=""6F*""","=""3/2""",4,4,,"=""T6892c83""","=""L18349c140""",
"=""1099.13212""","=""7.3e+07""","=""1.3e-02""",D+,"=""0.10695023""","=""11.3871409""","=""3d6.(5D).4s""","=""a 6D""","=""3/2""","=""3d6.(5D).5p""","=""w 6P*""","=""3/2""",4,4,,"=""T6892c83""","=""L18349c140""",
"=""1099.3207""","=""1.2e+07""","=""1.7e-03""",D,"=""0.30129858""","=""11.579555""","=""3d7""","=""a 4F""","=""7/2""","=""3d6.(3F1).4p""","=""u 4F*""","=""5/2""",8,6,,"=""T6892c83""","=""L18349c140""",
"=""1099.64402""","=""1.5e+07""","=""5.e-03""",D,"=""0.12113874""","=""11.3960783""","=""3d6.(5D).4s""","=""a 6D""","=""1/2""","=""3d5.(4D).4s.4p.(3P*)""","=""6F*""","=""3/2""",2,4,,"=""T6892c83""","=""L18349c140""",
"=""1100.01966""","=""7.4e+07""","=""1.3e-02""",D+,"=""0.08278213""","=""11.3538714""","=""3d6.(5D).4s""","=""a 6D""","=""5/2""","=""3d6.(5D).5p""","=""w 6P*""","=""5/2""",6,6,,"=""T6892c83""","=""L18349c140""",
"=""1100.43040""","=""7.e+07""","=""1.3e-02""",D,"=""0.12113874""","=""11.3880210""","=""3d6.(5D).4s""","=""a 6D""","=""1/2""","=""3d5.(4D).4s.4p.(3P*)""","=""6F*""","=""1/2""",2,2,,"=""T6892c83""","=""L18349c140""",
"=""1100.51638""","=""6.4e+07""","=""2.3e-02""",D+,"=""0.12113874""","=""11.3871409""","=""3d6.(5D).4s""","=""a 6D""","=""1/2""","=""3d6.(5D).5p""","=""w 6P*""","=""3/2""",2,4,,"=""T6892c83""","=""L18349c140""",
"=""1101.52601""","=""4.5e+07""","=""8.e-03""",D+,"=""0.04770753""","=""11.3033835""","=""3d6.(5D).4s""","=""a 6D""","=""7/2""","=""3d6.(5D).5p""","=""w 6P*""","=""7/2""",8,8,,"=""T6892c83""","=""L18349c140""",
"=""1102.38345""","=""2.3e+07""","=""6.e-03""",D,"=""0.10695023""","=""11.3538714""","=""3d6.(5D).4s""","=""a 6D""","=""3/2""","=""3d6.(5D).5p""","=""w 6P*""","=""5/2""",4,6,,"=""T6892c83""","=""L18349c140""",
"=""1102.53897""","=""1.3e+07""","=""2.4e-03""",D,"=""0.30129858""","=""11.5466334""","=""3d7""","=""a 4F""","=""7/2""","=""3d6.(3F1).4p""","=""4D*""","=""7/2""",8,8,,"=""T6892c83""","=""L18349c140""",
"=""1103.98803""","=""1.9e+07""","=""3.4e-03""",D,"=""0.98633380""","=""12.2169083""","=""3d6.(5D).4s""","=""a 4D""","=""7/2""","=""3d5.(4D).4s.4p.(3P*)""","=""4F*""","=""7/2""",8,8,,"=""T6892c83""","=""L18349c140""",
"=""1104.2717""","=""1.5e+07""","=""2.8e-03""",D,"=""0.35186476""","=""11.579555""","=""3d7""","=""a 4F""","=""5/2""","=""3d6.(3F1).4p""","=""u 4F*""","=""5/2""",6,6,,"=""T6892c83""","=""L18349c140""",
"=""1104.30897""","=""6.e+06""","=""1.1e-03""",D,"=""0.23217279""","=""11.4594834""","=""3d7""","=""a 4F""","=""9/2""","=""3d5.(4G).4s.4p.(3P*)""","=""v 4F*""","=""9/2""",10,10,,"=""T6892c83""","=""L18349c140""",
"=""1104.96929""","=""7.e+06""","=""1.8e-03""",D,"=""0.08278213""","=""11.3033835""","=""3d6.(5D).4s""","=""a 6D""","=""5/2""","=""3d6.(5D).5p""","=""w 6P*""","=""7/2""",6,8,,"=""T6892c83""","=""L18349c140""",
"=""1105.34894""","=""1.5e+07""","=""2.1e-03""",D,"=""0.30129858""","=""11.5180460""","=""3d7""","=""a 4F""","=""7/2""","=""3d6.(3F1).4p""","=""4D*""","=""5/2""",8,6,,"=""T6892c83""","=""L18349c140""",
"=""1105.75433""","=""5.5e+07""","=""1.0e-02""",D+,"=""0.98633380""","=""12.1989689""","=""3d6.(5D).4s""","=""a 4D""","=""7/2""","=""3d5.(4D).4s.4p.(3P*)""","=""4D*""","=""7/2""",8,8,,"=""T6892c83""","=""L18349c140""",
"=""1106.52255""","=""5.0e+07""","=""1.4e-02""",D+,"=""1.69526130""","=""12.9001119""","=""3d7""","=""a 4P""","=""3/2""","=""3d6.(5D<0>).4f""","=""2[3]*""","=""5/2""",4,6,,"=""T6892c83""","=""L18349c140""",
"=""1107.06808""","=""5.e+07""","=""9.e-03""",E,"=""2.52186911""","=""13.7211983""","=""3d7""","=""a 2H""","=""11/2""","=""3d6.(3H).5p""","=""2H*""","=""11/2""",12,12,,"=""T6892c83""","=""L18349c140""",
"=""1107.43087""","=""1.3e+07""","=""2.4e-03""",D,"=""0.23217279""","=""11.4278331""","=""3d7""","=""a 4F""","=""9/2""","=""3d6.(3F1).4p""","=""u 2G*""","=""9/2""",10,10,,"=""T6892c83""","=""L18349c140""",
"=""1108.19087""","=""3.2e+07""","=""8.e-03""",D+,"=""1.67061856""","=""12.8586008""","=""3d7""","=""a 4P""","=""5/2""","=""3d6.(5D<2>).4f""","=""2[4]*""","=""7/2""",6,8,,"=""T6892c83""","=""L18349c140""",
"=""1108.51146""","=""1.9e+07""","=""3.5e-03""",D,"=""0.38651921""","=""11.5712658""","=""3d7""","=""a 4F""","=""3/2""","=""3d6.(3F1).4p""","=""u 4F*""","=""3/2""",4,4,,"=""T6892c83""","=""L18349c140""",
"=""1109.71698""","=""6.0e+07""","=""1.1e-02""",D+,"=""1.04046986""","=""12.2130662""","=""3d6.(5D).4s""","=""a 4D""","=""5/2""","=""3d5.(4D).4s.4p.(3P*)""","=""4D*""","=""5/2""",6,6,,"=""T6892c83""","=""L18349c140""",
"=""1110.00327""","=""3.6e+07""","=""7.e-03""",D,"=""1.07624119""","=""12.2459559""","=""3d6.(5D).4s""","=""a 4D""","=""3/2""","=""3d5.(4D).4s.4p.(3P*)""","=""4D*""","=""3/2""",4,4,,"=""T6892c83""","=""L18349c140""",
"=""1111.08956""","=""5.e+06""","=""1.3e-03""",D,"=""0.04770753""","=""11.2065018""","=""3d6.(5D).4s""","=""a 6D""","=""7/2""","=""3d6.(5D).5p""","=""6F*""","=""9/2""",8,10,,"=""T6892c83""","=""L18349c140""",
"=""1111.11896""","=""1.1e+07""","=""2.7e-03""",D,"=""1.04046986""","=""12.1989689""","=""3d6.(5D).4s""","=""a 4D""","=""5/2""","=""3d5.(4D).4s.4p.(3P*)""","=""4D*""","=""7/2""",6,8,,"=""T6892c83""","=""L18349c140""",
"=""1111.55344""","=""4.0e+07""","=""1.5e-02""",D,"=""1.72398297""","=""12.8781204""","=""3d7""","=""a 4P""","=""1/2""","=""3d6.(5D<1>).4f""","=""2[2]*""","=""3/2""",2,4,,"=""T6892c83""","=""L18349c140""",
