Configuration,Term,J,g,Prefix,Level (eV),Suffix
"=""3d5.(2G1).4s""","=""1G""","=""4""",9,"=""""","=""34.61651""","=""""",
"=""3d5.(4G).4p""","=""5G*""","=""2""",5,"=""""","=""35.23822""","=""""",
"=""3d5.(4G).4p""","=""5G*""","=""3""",7,"=""""","=""35.24261""","=""""",
"=""3d5.(4G).4p""","=""5G*""","=""4""",9,"=""""","=""35.24962""","=""""",
"=""3d5.(4G).4p""","=""5G*""","=""5""",11,"=""""","=""35.26135""","=""""",
"=""3d5.(4G).4p""","=""5G*""","=""6""",13,"=""""","=""35.28337""","=""""",
"=""3d5.(4G).4p""","=""5H*""","=""3""",7,"=""""","=""35.49597""","=""""",
"=""3d5.(4G).4p""","=""5H*""","=""4""",9,"=""""","=""35.54709""","=""""",
"=""3d5.(4G).4p""","=""5H*""","=""5""",11,"=""""","=""35.59926""","=""""",
"=""3d5.(4G).4p""","=""5H*""","=""6""",13,"=""""","=""35.66343""","=""""",
"=""3d5.(4P).4p""","=""5D*""","=""1""",3,"=""""","=""35.67714""","=""""",
"=""3d5.(4P).4p""","=""5D*""","=""2""",5,"=""""","=""35.68032""","=""""",
"=""3d5.(4G).4p""","=""5F*""","=""5""",11,"=""""","=""35.69597""","=""""",
"=""3d5.(4G).4p""","=""5F*""","=""3""",7,"=""""","=""35.70239""","=""""",
"=""3d5.(4G).4p""","=""5H*""","=""7""",15,"=""""","=""35.71004""","=""""",
"=""3d5.(4G).4p""","=""5F*""","=""4""",9,"=""""","=""35.72737""","=""""",
"=""3d5.(4P).4p""","=""5S*""","=""2""",5,"=""""","=""35.81625""","=""""",
"=""3d5.(4G).4p""","=""5F*""","=""1""",3,"=""""","=""35.85164""","=""""",
"=""3d5.(4G).4p""","=""5F*""","=""2""",5,"=""""","=""35.86201""","=""""",
"=""3d5.(4P).4p""","=""5D*""","=""3""",7,"=""""","=""35.86839""","=""""",
"=""3d5.(4P).4p""","=""5D*""","=""4""",9,"=""""","=""35.98780""","=""""",
"=""3d5.(4P).4p""","=""5P*""","=""3""",7,"=""""","=""36.04934""","=""""",
"=""3d5.(4G).4p""","=""3F*""","=""2""",5,"=""""","=""36.09153""","=""""",
"=""3d5.(4G).4p""","=""3F*""","=""3""",7,"=""""","=""36.12016""","=""""",
"=""3d5.(4P).4p""","=""5P*""","=""2""",5,"=""""","=""36.12777""","=""""",
"=""3d5.(4P).4p""","=""5P*""","=""1""",3,"=""""","=""36.14656""","=""""",
"=""3d5.(4G).4p""","=""3F*""","=""4""",9,"=""""","=""36.14826""","=""""",
"=""3d5.(4G).4p""","=""3H*""","=""6""",13,"=""""","=""36.18988""","=""""",
"=""3d5.(4G).4p""","=""3H*""","=""5""",11,"=""""","=""36.24728""","=""""",
"=""3d5.(4G).4p""","=""3H*""","=""4""",9,"=""""","=""36.28167""","=""""",
"=""3d5.(4P).4p""","=""3P*""","=""2""",5,"=""""","=""36.32519""","=""""",
"=""3d5.(4P).4p""","=""3P*""","=""1""",3,"=""""","=""36.37949""","=""""",
"=""3d5.(4D).4p""","=""5F*""","=""1""",3,"=""""","=""36.43079""","=""""",
"=""3d5.(4P).4p""","=""3P*""","=""0""",1,"=""""","=""36.43484""","=""""",
"=""3d5.(4D).4p""","=""5F*""","=""2""",5,"=""""","=""36.46205""","=""""",
"=""3d5.(4D).4p""","=""5F*""","=""3""",7,"=""""","=""36.50634""","=""""",
"=""3d5.(4D).4p""","=""5F*""","=""4""",9,"=""""","=""36.56785""","=""""",
"=""3d5.(4D).4p""","=""5F*""","=""5""",11,"=""""","=""36.63047""","=""""",
"=""3d5.(4D).4p""","=""5D*""","=""3""",7,"=""""","=""36.77053""","=""""",
"=""3d5.(4G).4p""","=""3G*""","=""3""",7,"=""""","=""36.80436""","=""""",
"=""3d5.(4G).4p""","=""3G*""","=""4""",9,"=""""","=""36.81050""","=""""",
"=""3d5.(4D).4p""","=""5D*""","=""4""",9,"=""""","=""36.81335""","=""""",
"=""3d5.(4G).4p""","=""3G*""","=""5""",11,"=""""","=""36.81494""","=""""",
"=""3d5.(4D).4p""","=""5D*""","=""2""",5,"=""""","=""36.82505""","=""""",
"=""3d5.(4D).4p""","=""5D*""","=""1""",3,"=""""","=""36.87513""","=""""",
"=""3d5.(4P).4p""","=""3D*""","=""3""",7,"=""""","=""36.87522""","=""""",
