Configuration,Term,J,g,Prefix,Level (eV),Suffix
"=""2s2.2p.(2P*<1/2>).5g""","=""2[7/2]*""","=""4""",9,"=""""","=""10.71555649""","=""""",
"=""2s2.2p.(2P*<1/2>).5g""","=""2[9/2]*""","=""5""",11,"=""""","=""10.71561401""","=""""",
"=""2s2.2p.(2P*<1/2>).5g""","=""2[9/2]*""","=""4""",9,"=""""","=""10.71561406""","=""""",
"=""2s2.2p.5d""","=""1F*""","=""3""",7,"=""""","=""10.718336""","=""""",
"=""2s2.2p.(2P*<3/2>).5f""","=""2[7/2]""","=""3""",7,"=""""","=""10.7208571""","=""""",
"=""2s2.2p.(2P*<3/2>).5f""","=""2[7/2]""","=""4""",9,"=""""","=""10.72087957""","=""""",
"=""2s2.2p.(2P*<3/2>).5f""","=""2[5/2]""","=""3""",7,"=""""","=""10.72248485""","=""""",
"=""2s2.2p.(2P*<3/2>).5f""","=""2[5/2]""","=""2""",5,"=""""","=""10.7224999""","=""""",
"=""2s2.2p.(2P*<3/2>).5g""","=""2[9/2]*""","=""4""",9,"=""""","=""10.72284670""","=""""",
"=""2s2.2p.(2P*<3/2>).5g""","=""2[9/2]*""","=""5""",11,"=""""","=""10.72284691""","=""""",
"=""2s2.2p.(2P*<3/2>).5f""","=""2[9/2]""","=""5""",11,"=""""","=""10.72314833""","=""""",
"=""2s2.2p.(2P*<3/2>).5f""","=""2[9/2]""","=""4""",9,"=""""","=""10.72318948""","=""""",
"=""2s2.2p.(2P*<3/2>).5g""","=""2[7/2]*""","=""3""",7,"=""""","=""10.72334742""","=""""",
"=""2s2.2p.(2P*<3/2>).5g""","=""2[7/2]*""","=""4""",9,"=""""","=""10.72334747""","=""""",
"=""2s2.2p.5d""","=""1P*""","=""1""",3,"=""""","=""10.7235720""","=""""",
"=""2s2.2p.(2P*<3/2>).5g""","=""2[11/2]*""","=""5""",11,"=""""","=""10.72399473""","=""""",
"=""2s2.2p.(2P*<3/2>).5g""","=""2[11/2]*""","=""6""",13,"=""""","=""10.72399516""","=""""",
"=""2s2.2p.(2P*<3/2>).5g""","=""2[5/2]*""","=""2""",5,"=""""","=""10.72443720""","=""""",
"=""2s2.2p.(2P*<3/2>).5g""","=""2[5/2]*""","=""3""",7,"=""""","=""10.72443729""","=""""",
"=""2s2.2p.(2P*<3/2>).5f""","=""2[3/2]""","=""1""",3,"=""""","=""10.7244500""","=""""",
"=""2s2.2p.(2P*<3/2>).5f""","=""2[3/2]""","=""2""",5,"=""""","=""10.7244786""","=""""",
"=""2s2.2p.5d""","=""3P*""","=""2""",5,"=""""","=""10.72546557""","=""""",
"=""2s2.2p.5d""","=""3P*""","=""1""",3,"=""""","=""10.7270516""","=""""",
