Configuration,Term,J,g,Prefix,Level (eV),Suffix
"=""3d4.(5D).4s.4p.(1P*)""","=""y 5D*""","=""4""",9,"=""""","=""5.18032406""","=""""",
"=""3d4.(3H).4s.4p.(3P*)""","=""z 5H*""","=""3""",7,"=""""","=""5.21049739""","=""""",
"=""3d4.(3H).4s.4p.(3P*)""","=""z 5H*""","=""4""",9,"=""""","=""5.21722114""","=""""",
"=""3d4.(3H).4s.4p.(3P*)""","=""z 5H*""","=""5""",11,"=""""","=""5.2263678""","=""""",
"=""3d4.(3P1).4s.4p.(3P*)""","=""x 5D*""","=""0""",1,"=""""","=""5.2344047""","=""""",
"=""3d5.(6S).5p""","=""x 7P*""","=""2""",5,"=""""","=""5.2368392""","=""""",
"=""3d4.(3H).4s.4p.(3P*)""","=""z 5H*""","=""6""",13,"=""""","=""5.2385978""","=""""",
"=""3d5.(6S).4d""","=""e 7D""","=""1""",3,"=""""","=""5.23873429""","=""""",
"=""3d5.(6S).5p""","=""x 7P*""","=""3""",7,"=""""","=""5.2388241""","=""""",
"=""3d5.(6S).4d""","=""e 7D""","=""2""",5,"=""""","=""5.23887703""","=""""",
"=""3d5.(6S).4d""","=""e 7D""","=""3""",7,"=""""","=""5.23908705""","=""""",
"=""3d5.(6S).4d""","=""e 7D""","=""4""",9,"=""""","=""5.23936898""","=""""",
"=""3d5.(6S).4d""","=""e 7D""","=""5""",11,"=""""","=""5.23972421""","=""""",
"=""3d5.(6S).5p""","=""x 7P*""","=""4""",9,"=""""","=""5.241456""","=""""",
"=""3d4.(3P1).4s.4p.(3P*)""","=""x 5D*""","=""1""",3,"=""""","=""5.24364408""","=""""",
"=""3d4.(3H).4s.4p.(3P*)""","=""z 5H*""","=""7""",15,"=""""","=""5.2553505""","=""""",
"=""3d4.(3P1).4s.4p.(3P*)""","=""x 5D*""","=""2""",5,"=""""","=""5.2617345""","=""""",
"=""3d5.(4G).4p""","=""z 5G*""","=""2""",5,"=""""","=""5.27122963""","=""""",
"=""3d5.(4G).4p""","=""z 5G*""","=""3""",7,"=""""","=""5.27413188""","=""""",
"=""3d5.(4G).4p""","=""z 5G*""","=""4""",9,"=""""","=""5.27735992""","=""""",
"=""3d5.(4G).4p""","=""z 5G*""","=""5""",11,"=""""","=""5.28038436""","=""""",
"=""3d5.(4G).4p""","=""z 5G*""","=""6""",13,"=""""","=""5.28243456""","=""""",
"=""3d4.(3P1).4s.4p.(3P*)""","=""x 5D*""","=""3""",7,"=""""","=""5.28771005""","=""""",
"=""3d4.(3P1).4s.4p.(3P*)""","=""x 5D*""","=""4""",9,"=""""","=""5.31995962""","=""""",
"=""3d5.(4P).4p""","=""z 5S*""","=""2""",5,"=""""","=""5.3467945""","=""""",
"=""3d5.(6S).4d""","=""e 5D""","=""4""",9,"=""""","=""5.46162527""","=""""",
"=""3d5.(6S).4d""","=""e 5D""","=""3""",7,"=""""","=""5.46384067""","=""""",
"=""3d5.(6S).4d""","=""e 5D""","=""2""",5,"=""""","=""5.46534712""","=""""",
"=""3d5.(6S).4d""","=""e 5D""","=""1""",3,"=""""","=""5.46633655""","=""""",
"=""3d5.(6S).4d""","=""e 5D""","=""0""",1,"=""""","=""5.46682328""","=""""",
"=""3d5.(6S).5p""","=""w 5P*""","=""1""",3,"=""""","=""5.47089133""","=""""",
"=""3d5.(6S).5p""","=""w 5P*""","=""2""",5,"=""""","=""5.47846032""","=""""",
"=""3d4.(3H).4s.4p.(3P*)""","=""z 5I*""","=""4""",9,"=""""","=""5.4858739""","=""""",
"=""3d5.(6S).5p""","=""w 5P*""","=""3""",7,"=""""","=""5.4874392""","=""""",
"=""3d4.(3F1).4s.4p.(3P*)""","=""y 5G*""","=""2""",5,"=""""","=""5.49248971""","=""""",
"=""3d4.(3H).4s.4p.(3P*)""","=""z 5I*""","=""5""",11,"=""""","=""5.493488""","=""""",
"=""3d4.(3F1).4s.4p.(3P*)""","=""y 5G*""","=""3""",7,"=""""","=""5.50158714""","=""""",
"=""3d4.(3H).4s.4p.(3P*)""","=""z 5I*""","=""6""",13,"=""""","=""5.504033""","=""""",
"=""3d4.(3H).4s.4p.(3P*)""","=""z 5I*""","=""7""",15,"=""""","=""5.519076""","=""""",
"=""3d4.(3F1).4s.4p.(3P*)""","=""y 5G*""","=""4""",9,"=""""","=""5.5215655""","=""""",
"=""3d4.(3F1).4s.4p.(3P*)""","=""y 5G*""","=""5""",11,"=""""","=""5.52862611""","=""""",
"=""3d4.(3H).4s.4p.(3P*)""","=""z 5I*""","=""8""",17,"=""""","=""5.5379442""","=""""",
"=""3d4.(3P1).4s.4p.(3P*)""","=""v 5P*""","=""1""",3,"=""""","=""5.5379638""","=""""",
"=""3d4.(3F1).4s.4p.(3P*)""","=""y 5G*""","=""6""",13,"=""""","=""5.5478291""","=""""",
"=""3d4.(3P1).4s.4p.(3P*)""","=""v 5P*""","=""2""",5,"=""""","=""5.56380704""","=""""",
"=""3d4.(3P1).4s.4p.(3P*)""","=""v 5P*""","=""3""",7,"=""""","=""5.59330998""","=""""",
"=""3d4.(3F1).4s.4p.(3P*)""","=""x 5F*""","=""1""",3,"=""""","=""5.60429253""","=""""",
"=""3d4.(3F1).4s.4p.(3P*)""","=""x 5F*""","=""2""",5,"=""""","=""5.60719388""","=""""",
"=""3d4.(3F1).4s.4p.(3P*)""","=""x 5F*""","=""3""",7,"=""""","=""5.61095253""","=""""",
"=""3d4.(3F1).4s.4p.(3P*)""","=""x 5F*""","=""4""",9,"=""""","=""5.61474406""","=""""",
"=""3d4.(3F1).4s.4p.(3P*)""","=""x 5F*""","=""5""",11,"=""""","=""5.61727046""","=""""",
"=""3d5.(4G).4p""","=""z 3H*""","=""6""",13,"=""""","=""5.62251964""","=""""",
"=""3d5.(4G).4p""","=""z 3H*""","=""5""",11,"=""""","=""5.62319793""","=""""",
"=""3d5.(4G).4p""","=""z 3H*""","=""4""",9,"=""""","=""5.62374764""","=""""",
"=""3d5.(4G).4p""","=""y 5H*""","=""3""",7,"=""""","=""5.64946442""","=""""",
"=""3d5.(4G).4p""","=""y 5H*""","=""4""",9,"=""""","=""5.65551992""","=""""",
"=""3d5.(6S).6s""","=""f 7S""","=""3""",7,"=""""","=""5.6590394""","=""""",
"=""3d5.(4G).4p""","=""y 5H*""","=""5""",11,"=""""","=""5.66152243""","=""""",
"=""3d5.(4G).4p""","=""y 5H*""","=""6""",13,"=""""","=""5.66698616""","=""""",
"=""3d5.(4P).4p""","=""y 3P*""","=""1""",3,"=""""","=""5.66846045""","=""""",
"=""3d5.(4P).4p""","=""y 3P*""","=""0""",1,"=""""","=""5.6688702""","=""""",
"=""3d5.(4P).4p""","=""y 3P*""","=""2""",5,"=""""","=""5.67032643""","=""""",
"=""3d5.(4G).4p""","=""y 5H*""","=""7""",15,"=""""","=""5.67121951""","=""""",
"=""3d5.(4G).4p""","=""y 3F*""","=""2""",5,"=""""","=""5.6991023""","=""""",
"=""3d5.(6S).6s""","=""f 5S""","=""2""",5,"=""""","=""5.69928154""","=""""",
"=""3d5.(4G).4p""","=""y 3F*""","=""3""",7,"=""""","=""5.70332536""","=""""",
"=""3d5.(4G).4p""","=""y 3F*""","=""4""",9,"=""""","=""5.71048876""","=""""",
"=""3d5.(4P).4p""","=""y 3D*""","=""1""",3,"=""""","=""5.71282481""","=""""",
"=""3d4.(3F1).4s.4p.(3P*)""","=""w 5D*""","=""0""",1,"=""""","=""5.71334746""","=""""",
"=""3d5.(4P).4p""","=""y 3D*""","=""2""",5,"=""""","=""5.71681492""","=""""",
"=""3d5.(4P).4p""","=""y 3D*""","=""3""",7,"=""""","=""5.72489453""","=""""",
"=""3d4.(3F1).4s.4p.(3P*)""","=""w 5D*""","=""1""",3,"=""""","=""5.74025070""","=""""",
"=""3d4.(3F1).4s.4p.(3P*)""","=""w 5D*""","=""2""",5,"=""""","=""5.74659540""","=""""",
"=""3d4.(3F1).4s.4p.(3P*)""","=""w 5D*""","=""3""",7,"=""""","=""5.74893273""","=""""",
"=""3d4.(3F1).4s.4p.(3P*)""","=""w 5D*""","=""4""",9,"=""""","=""5.75564682""","=""""",
"=""3d4.4s.5s""","=""f 7D""","=""1""",3,"=""""","=""5.75889602""","=""""",
"=""3d4.4s.5s""","=""f 7D""","=""2""",5,"=""""","=""5.76835475""","=""""",
"=""3d4.4s.5s""","=""f 7D""","=""3""",7,"=""""","=""5.78227967""","=""""",
"=""3d4.(3G).4s.4p.(3P*)""","=""w 5F*""","=""2""",5,"=""""","=""5.78723069""","=""""",
"=""3d4.(3G).4s.4p.(3P*)""","=""w 5F*""","=""1""",3,"=""""","=""5.7873809""","=""""",
"=""3d4.(3G).4s.4p.(3P*)""","=""w 5F*""","=""3""",7,"=""""","=""5.78860234""","=""""",
"=""3d4.(3G).4s.4p.(3P*)""","=""w 5F*""","=""5""",11,"=""""","=""5.79067042""","=""""",
"=""3d4.(3G).4s.4p.(3P*)""","=""w 5F*""","=""4""",9,"=""""","=""5.79260016""","=""""",
"=""3d4.4s.5s""","=""f 7D""","=""4""",9,"=""""","=""5.80035930""","=""""",
"=""3d4.(3H).4s.4p.(3P*)""","=""z 3G*""","=""3""",7,"=""""","=""5.80825650""","=""""",
"=""3d5.(4P).4p""","=""u 5P*""","=""3""",7,"=""""","=""5.8122004""","=""""",
"=""3d4.(3H).4s.4p.(3P*)""","=""z 3G*""","=""4""",9,"=""""","=""5.81548356""","=""""",
"=""3d4.4s.5s""","=""f 7D""","=""5""",11,"=""""","=""5.82217714""","=""""",
