 ====================================================================
      i NZ NE iSLP iLV iCONF                 E(RYD)      TE(RYD)   gi
 ====================================================================
    137 18 18  111  13 3s2 3p5 8d      -1.56745E-02  1.08902E+00  3.0
    138 18 18  320  11 3s2 3p5 8f      -1.56440E-02  1.08905E+00 15.0
    139 18 18  120  11 3s2 3p5 8f      -1.56400E-02  1.08905E+00  5.0
    140 18 18  340   7 3s2 3p5 8f      -1.56349E-02  1.08906E+00 27.0
    141 18 18  140   7 3s2 3p5 8f      -1.56339E-02  1.08906E+00  9.0
    142 18 18  331  10 3s2 3p5 8g      -1.56255E-02  1.08906E+00 21.0
    143 18 18  131  10 3s2 3p5 8g      -1.56254E-02  1.08906E+00  7.0
    144 18 18  151   4 3s2 3p5 8g      -1.56250E-02  1.08906E+00 11.0
    145 18 18  351   4 3s2 3p5 8g      -1.56250E-02  1.08906E+00 33.0
    146 18 18  350   3 3s2 3p5 8h      -1.56250E-02  1.08906E+00 33.0
    147 18 18  150   3 3s2 3p5 8h      -1.56250E-02  1.08906E+00 11.0
    148 18 18  340   8 3s2 3p5 8h      -1.56250E-02  1.08906E+00 27.0
    149 18 18  140   8 3s2 3p5 8h      -1.56250E-02  1.08906E+00  9.0
    150 18 18  341   4 3s2 3p5 8g      -1.56242E-02  1.08907E+00 27.0
    151 18 18  141   4 3s2 3p5 8g      -1.56242E-02  1.08907E+00  9.0
    152 18 18  130   5 3s2 3p5 8f      -1.56089E-02  1.08908E+00  7.0
    153 18 18  330   5 3s2 3p5 8f      -1.56089E-02  1.08908E+00 21.0
    154 18 18  300   7 3s2 3p510p      -1.45505E-02  1.09014E+00  3.0
    155 18 18  320  12 3s2 3p510p      -1.43321E-02  1.09036E+00 15.0
    156 18 18  120  12 3s2 3p510p      -1.42501E-02  1.09044E+00  5.0
    157 18 18  310   7 3s2 3p510p      -1.41893E-02  1.09050E+00  9.0
    158 18 18  110   7 3s2 3p510p      -1.41893E-02  1.09050E+00  3.0
