 ====================================================================
      i NZ NE iSLP iLV iCONF                 E(RYD)      TE(RYD)   gi
 ====================================================================
    104  7  6  331   6 2s2 2p 6g       -1.11097E-01  2.06665E+00 21.0
    105  7  6  131   6 2s2 2p 6g       -1.11069E-01  2.06668E+00  7.0
    106  7  6  120   8 2s2 2p 6f       -1.11040E-01  2.06671E+00  5.0
    107  7  6  111   9 2s2 2p 6d       -1.10987E-01  2.06676E+00  3.0
    108  7  6  311  10 2s2 2p 7s       -1.03063E-01  2.07469E+00  9.0
    109  7  6  111  10 2s2 2p 7s       -1.01331E-01  2.07642E+00  3.0
    110  7  6  501   2 2s2p2(4PE) 3p   -9.66745E-02  2.08108E+00  5.0
    111  7  6  110   5 2s2 2p 7p       -9.52304E-02  2.08252E+00  3.0
    112  7  6  321   6 2s2p2(4PE) 3p   -9.47991E-02  2.08295E+00 15.0
    113  7  6  320   8 2s2 2p 7p       -9.45611E-02  2.08319E+00 15.0
    114  7  6  300   5 2s2 2p 7p       -9.36422E-02  2.08411E+00  3.0
    115  7  6  310   8 2s2 2p 7p       -9.15698E-02  2.08618E+00  9.0
    116  7  6  120   9 2s2 2p 7p       -9.09111E-02  2.08684E+00  5.0
    117  7  6  100   6 2s2 2p 7p       -8.83801E-02  2.08937E+00  1.0
    118  7  6  331   7 2s2 2p 7d       -8.44917E-02  2.09326E+00 21.0
    119  7  6  121   6 2s2 2p 7d       -8.41343E-02  2.09362E+00  5.0
    120  7  6  311  11 2s2 2p 7d       -8.35062E-02  2.09424E+00  9.0
    121  7  6  321   7 2s2 2p 7d       -8.22520E-02  2.09550E+00 15.0
    122  7  6  130   4 2s2 2p 7f       -8.21784E-02  2.09557E+00  7.0
    123  7  6  330   4 2s2 2p 7f       -8.21528E-02  2.09560E+00 21.0
    124  7  6  131   7 2s2 2p 7d       -8.19852E-02  2.09576E+00  7.0
    125  7  6  340   5 2s2 2p 7f       -8.18005E-02  2.09595E+00 27.0
    126  7  6  140   5 2s2 2p 7f       -8.17070E-02  2.09604E+00  9.0
    127  7  6  141   3 2s2 2p 7g       -8.16974E-02  2.09605E+00  9.0
    128  7  6  341   3 2s2 2p 7g       -8.16971E-02  2.09605E+00 27.0
    129  7  6  120  10 2s2 2p 7f       -8.16584E-02  2.09609E+00  5.0
    130  7  6  320   9 2s2 2p 7f       -8.16463E-02  2.09610E+00 15.0
    131  7  6  150   2 2s2 2p 7h       -8.16367E-02  2.09611E+00 11.0
    132  7  6  350   2 2s2 2p 7h       -8.16367E-02  2.09611E+00 33.0
    133  7  6  360   2 2s2 2p 7h       -8.16342E-02  2.09612E+00 39.0
    134  7  6  160   2 2s2 2p 7h       -8.16341E-02  2.09612E+00 13.0
    135  7  6  161   1 2s2 2p 7i       -8.16327E-02  2.09612E+00 13.0
    136  7  6  361   1 2s2 2p 7i       -8.16327E-02  2.09612E+00 39.0
    137  7  6  351   3 2s2 2p 7i       -8.16323E-02  2.09612E+00 33.0
    138  7  6  351   4 2s2 2p 7g       -8.16323E-02  2.09612E+00 33.0
    139  7  6  151   3 2s2 2p 7i       -8.16322E-02  2.09612E+00 11.0
    140  7  6  151   4 2s2 2p 7g       -8.16322E-02  2.09612E+00 11.0
    141  7  6  340   6 2s2 2p 7h       -8.16299E-02  2.09612E+00 27.0
    142  7  6  140   6 2s2 2p 7h       -8.16248E-02  2.09613E+00  9.0
    143  7  6  331   8 2s2 2p 7g       -8.16214E-02  2.09613E+00 21.0
