ritz_wl_vac(A),Aki(s^-1),fik,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,
"=""850.605""","=""2.63e+08""","=""4.28e-02""",C,"=""0.00000""","=""14.57600""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s.3p4""","=""4P""","=""5/2""",4,6,,
"=""854.680""","=""""","=""""",,"=""23.41125""","=""37.917765""","=""3s2.3p2.(3P).3d""","=""4D""","=""7/2""","=""3s2.3p2.(1D).4p""","=""2D*""","=""5/2""",8,6,,
"=""868.322""","=""""","=""""",,"=""23.41125""","=""37.68984""","=""3s2.3p2.(3P).3d""","=""4D""","=""7/2""","=""3s2.3p2.(1D).4p""","=""2F*""","=""7/2""",8,8,,
"=""870.770""","=""""","=""""",,"=""23.41125""","=""37.64971""","=""3s2.3p2.(3P).3d""","=""4D""","=""7/2""","=""3s2.3p2.(1D).4p""","=""2F*""","=""5/2""",8,6,,
"=""900.361""","=""""","=""""",,"=""4.321420""","=""18.09192""","=""3s2.3p3""","=""2P*""","=""1/2""","=""3s.3p4""","=""2D""","=""3/2""",2,4,,
"=""901.169""","=""""","=""""",,"=""4.343464""","=""18.10162""","=""3s2.3p3""","=""2P*""","=""3/2""","=""3s.3p4""","=""2D""","=""5/2""",4,6,,
"=""901.804""","=""""","=""""",,"=""4.343464""","=""18.09192""","=""3s2.3p3""","=""2P*""","=""3/2""","=""3s.3p4""","=""2D""","=""3/2""",4,4,,
"=""938.800""","=""""","=""""",,"=""22.44508""","=""35.65176""","=""3s2.3p2.(3P).3d""","=""4F""","=""5/2""","=""3s2.3p2.(3P).4p""","=""4D*""","=""7/2""",6,8,,
"=""942.815""","=""""","=""""",,"=""22.40177""","=""35.552196""","=""3s2.3p2.(3P).3d""","=""4F""","=""3/2""","=""3s2.3p2.(3P).4p""","=""4D*""","=""5/2""",4,6,,
"=""943.241""","=""""","=""""",,"=""22.50726""","=""35.65176""","=""3s2.3p2.(3P).3d""","=""4F""","=""7/2""","=""3s2.3p2.(3P).4p""","=""4D*""","=""7/2""",8,8,,
"=""945.931""","=""""","=""""",,"=""22.44508""","=""35.552196""","=""3s2.3p2.(3P).3d""","=""4F""","=""5/2""","=""3s2.3p2.(3P).4p""","=""4D*""","=""5/2""",6,6,,
"=""947.490""","=""""","=""""",,"=""22.40177""","=""35.487315""","=""3s2.3p2.(3P).3d""","=""4F""","=""3/2""","=""3s2.3p2.(3P).4p""","=""4D*""","=""3/2""",4,4,,
"=""949.170""","=""""","=""""",,"=""22.58938""","=""35.65176""","=""3s2.3p2.(3P).3d""","=""4F""","=""9/2""","=""3s2.3p2.(3P).4p""","=""4D*""","=""7/2""",10,8,,
"=""949.905""","=""""","=""""",,"=""22.40177""","=""35.454050""","=""3s2.3p2.(3P).3d""","=""4F""","=""3/2""","=""3s2.3p2.(3P).4p""","=""4D*""","=""1/2""",4,2,,
"=""950.439""","=""""","=""""",,"=""22.50726""","=""35.552196""","=""3s2.3p2.(3P).3d""","=""4F""","=""7/2""","=""3s2.3p2.(3P).4p""","=""4D*""","=""5/2""",8,6,,
"=""950.636""","=""""","=""""",,"=""22.44508""","=""35.487315""","=""3s2.3p2.(3P).3d""","=""4F""","=""5/2""","=""3s2.3p2.(3P).4p""","=""4D*""","=""3/2""",6,4,,
"=""963.003""","=""""","=""""",,"=""23.28687""","=""36.16162""","=""3s2.3p2.(3P).3d""","=""4D""","=""5/2""","=""3s2.3p2.(3P).4p""","=""2D*""","=""5/2""",6,6,,
"=""972.398""","=""""","=""""",,"=""23.41125""","=""36.16162""","=""3s2.3p2.(3P).3d""","=""4D""","=""7/2""","=""3s2.3p2.(3P).4p""","=""2D*""","=""5/2""",8,6,,
"=""976.248""","=""""","=""""",,"=""23.23433""","=""35.934402""","=""3s2.3p2.(3P).3d""","=""4D""","=""3/2""","=""3s2.3p2.(3P).4p""","=""4P*""","=""5/2""",4,6,,
"=""976.275""","=""""","=""""",,"=""23.28687""","=""35.98660""","=""3s2.3p2.(3P).3d""","=""4D""","=""5/2""","=""3s2.3p2.(3P).4p""","=""2D*""","=""3/2""",6,4,,
"=""980.304""","=""""","=""""",,"=""23.28687""","=""35.934402""","=""3s2.3p2.(3P).3d""","=""4D""","=""5/2""","=""3s2.3p2.(3P).4p""","=""4P*""","=""5/2""",6,6,,
"=""980.936""","=""""","=""""",,"=""23.22105""","=""35.860433""","=""3s2.3p2.(3P).3d""","=""4D""","=""1/2""","=""3s2.3p2.(3P).4p""","=""4P*""","=""3/2""",2,4,,
"=""983.044""","=""""","=""""",,"=""23.23433""","=""35.84660""","=""3s2.3p2.(3P).3d""","=""4D""","=""3/2""","=""3s2.3p2.(3P).4p""","=""4P*""","=""1/2""",4,2,,
"=""990.040""","=""""","=""""",,"=""23.41125""","=""35.934402""","=""3s2.3p2.(3P).3d""","=""4D""","=""7/2""","=""3s2.3p2.(3P).4p""","=""4P*""","=""5/2""",8,6,,
"=""1002.712""","=""""","=""""",,"=""23.28687""","=""35.65176""","=""3s2.3p2.(3P).3d""","=""4D""","=""5/2""","=""3s2.3p2.(3P).4p""","=""4D*""","=""7/2""",6,8,,
"=""1006.539""","=""""","=""""",,"=""23.23433""","=""35.552196""","=""3s2.3p2.(3P).3d""","=""4D""","=""3/2""","=""3s2.3p2.(3P).4p""","=""4D*""","=""5/2""",4,6,,
"=""1010.774""","=""""","=""""",,"=""23.22105""","=""35.487315""","=""3s2.3p2.(3P).3d""","=""4D""","=""1/2""","=""3s2.3p2.(3P).4p""","=""4D*""","=""3/2""",2,4,,
"=""1010.851""","=""""","=""""",,"=""23.28687""","=""35.552196""","=""3s2.3p2.(3P).3d""","=""4D""","=""5/2""","=""3s2.3p2.(3P).4p""","=""4D*""","=""5/2""",6,6,,
"=""1011.869""","=""""","=""""",,"=""23.23433""","=""35.487315""","=""3s2.3p2.(3P).3d""","=""4D""","=""3/2""","=""3s2.3p2.(3P).4p""","=""4D*""","=""3/2""",4,4,,
"=""1012.901""","=""""","=""""",,"=""23.41125""","=""35.65176""","=""3s2.3p2.(3P).3d""","=""4D""","=""7/2""","=""3s2.3p2.(3P).4p""","=""4D*""","=""7/2""",8,8,,
"=""1013.522""","=""""","=""""",,"=""23.22105""","=""35.454050""","=""3s2.3p2.(3P).3d""","=""4D""","=""1/2""","=""3s2.3p2.(3P).4p""","=""4D*""","=""1/2""",2,2,,
"=""1014.624""","=""""","=""""",,"=""23.23433""","=""35.454050""","=""3s2.3p2.(3P).3d""","=""4D""","=""3/2""","=""3s2.3p2.(3P).4p""","=""4D*""","=""1/2""",4,2,,
"=""1016.227""","=""""","=""""",,"=""23.28687""","=""35.487315""","=""3s2.3p2.(3P).3d""","=""4D""","=""5/2""","=""3s2.3p2.(3P).4p""","=""4D*""","=""3/2""",6,4,,
"=""1020.903""","=""""","=""""",,"=""2.61490""","=""14.75946""","=""3s2.3p3""","=""2D*""","=""3/2""","=""3s.3p4""","=""4P""","=""1/2""",4,2,,
"=""1021.207""","=""""","=""""",,"=""23.41125""","=""35.552196""","=""3s2.3p2.(3P).3d""","=""4D""","=""7/2""","=""3s2.3p2.(3P).4p""","=""4D*""","=""5/2""",8,6,,
"=""1026.430""","=""""","=""""",,"=""2.61490""","=""14.69407""","=""3s2.3p3""","=""2D*""","=""3/2""","=""3s.3p4""","=""4P""","=""3/2""",4,4,,
"=""1027.793""","=""""","=""""",,"=""2.63092""","=""14.69407""","=""3s2.3p3""","=""2D*""","=""5/2""","=""3s.3p4""","=""4P""","=""3/2""",6,4,,
"=""1037.952""","=""""","=""""",,"=""2.63092""","=""14.57600""","=""3s2.3p3""","=""2D*""","=""5/2""","=""3s.3p4""","=""4P""","=""5/2""",6,6,,
"=""1039.194""","=""""","=""""",,"=""25.75904""","=""37.68984""","=""3s2.3p2.(1D).3d""","=""2G""","=""7/2""","=""3s2.3p2.(1D).4p""","=""2F*""","=""7/2""",8,8,,
"=""1040.260""","=""""","=""""",,"=""25.77127""","=""37.68984""","=""3s2.3p2.(1D).3d""","=""2G""","=""9/2""","=""3s2.3p2.(1D).4p""","=""2F*""","=""7/2""",10,8,,
"=""1042.702""","=""""","=""""",,"=""25.75904""","=""37.64971""","=""3s2.3p2.(1D).3d""","=""2G""","=""7/2""","=""3s2.3p2.(1D).4p""","=""2F*""","=""5/2""",8,6,,
"=""1187.811""","=""""","=""""",,"=""4.321420""","=""14.75946""","=""3s2.3p3""","=""2P*""","=""1/2""","=""3s.3p4""","=""4P""","=""1/2""",2,2,,
"=""1190.325""","=""""","=""""",,"=""4.343464""","=""14.75946""","=""3s2.3p3""","=""2P*""","=""3/2""","=""3s.3p4""","=""4P""","=""1/2""",4,2,,
"=""1191.861""","=""""","=""""",,"=""25.75904""","=""36.16162""","=""3s2.3p2.(1D).3d""","=""2G""","=""7/2""","=""3s2.3p2.(3P).4p""","=""2D*""","=""5/2""",8,6,,
"=""1197.844""","=""""","=""""",,"=""4.343464""","=""14.69407""","=""3s2.3p3""","=""2P*""","=""3/2""","=""3s.3p4""","=""4P""","=""3/2""",4,4,,
"=""1205.640""","=""""","=""""",,"=""27.64303""","=""37.926717""","=""3s.3p4""","=""2P""","=""3/2""","=""3s2.3p2.(1D).4p""","=""2D*""","=""3/2""",4,4,,
"=""1211.666""","=""""","=""""",,"=""4.343464""","=""14.57600""","=""3s2.3p3""","=""2P*""","=""3/2""","=""3s.3p4""","=""4P""","=""5/2""",4,6,,
"=""1221.295""","=""""","=""""",,"=""27.77485""","=""37.926717""","=""3s.3p4""","=""2P""","=""1/2""","=""3s2.3p2.(1D).4p""","=""2D*""","=""3/2""",2,4,,
"=""1395.656""","=""""","=""""",,"=""27.77485""","=""36.65843""","=""3s.3p4""","=""2P""","=""1/2""","=""3s2.3p2.(3P).4p""","=""2P*""","=""1/2""",2,2,,
"=""1407.503""","=""""","=""""",,"=""27.86599""","=""36.67480""","=""3s2.3p2.(3P).3d""","=""2D""","=""3/2""","=""3s2.3p2.(3P).4p""","=""2P*""","=""3/2""",4,4,,
"=""1409.300""","=""""","=""""",,"=""27.374074""","=""36.171646""","=""3s2.3p2.(3P).3d""","=""4P""","=""5/2""","=""3s2.3p2.(3P).4p""","=""4S*""","=""3/2""",6,4,,
"=""1410.123""","=""""","=""""",,"=""27.86599""","=""36.65843""","=""3s2.3p2.(3P).3d""","=""2D""","=""3/2""","=""3s2.3p2.(3P).4p""","=""2P*""","=""1/2""",4,2,,
"=""1419.585""","=""""","=""""",,"=""27.43781""","=""36.171646""","=""3s2.3p2.(3P).3d""","=""4P""","=""3/2""","=""3s2.3p2.(3P).4p""","=""4S*""","=""3/2""",4,4,,
"=""1426.196""","=""""","=""""",,"=""27.47830""","=""36.171646""","=""3s2.3p2.(3P).3d""","=""4P""","=""1/2""","=""3s2.3p2.(3P).4p""","=""4S*""","=""3/2""",2,4,,
"=""1435.556""","=""""","=""""",,"=""28.03813""","=""36.67480""","=""3s2.3p2.(3P).3d""","=""2D""","=""5/2""","=""3s2.3p2.(3P).4p""","=""2P*""","=""3/2""",6,4,,
"=""1448.358""","=""""","=""""",,"=""27.374074""","=""35.934402""","=""3s2.3p2.(3P).3d""","=""4P""","=""5/2""","=""3s2.3p2.(3P).4p""","=""4P*""","=""5/2""",6,6,,
"=""1455.456""","=""""","=""""",,"=""27.64303""","=""36.16162""","=""3s.3p4""","=""2P""","=""3/2""","=""3s2.3p2.(3P).4p""","=""2D*""","=""5/2""",4,6,,
"=""1459.223""","=""""","=""""",,"=""27.43781""","=""35.934402""","=""3s2.3p2.(3P).3d""","=""4P""","=""3/2""","=""3s2.3p2.(3P).4p""","=""4P*""","=""5/2""",4,6,,
"=""1460.982""","=""""","=""""",,"=""27.374074""","=""35.860433""","=""3s2.3p2.(3P).3d""","=""4P""","=""5/2""","=""3s2.3p2.(3P).4p""","=""4P*""","=""3/2""",6,4,,
"=""1472.039""","=""""","=""""",,"=""27.43781""","=""35.860433""","=""3s2.3p2.(3P).3d""","=""4P""","=""3/2""","=""3s2.3p2.(3P).4p""","=""4P*""","=""3/2""",4,4,,
"=""1474.461""","=""""","=""""",,"=""27.43781""","=""35.84660""","=""3s2.3p2.(3P).3d""","=""4P""","=""3/2""","=""3s2.3p2.(3P).4p""","=""4P*""","=""1/2""",4,2,,
"=""1479.148""","=""""","=""""",,"=""27.47830""","=""35.860433""","=""3s2.3p2.(3P).3d""","=""4P""","=""1/2""","=""3s2.3p2.(3P).4p""","=""4P*""","=""3/2""",2,4,,
"=""1481.593""","=""""","=""""",,"=""27.47830""","=""35.84660""","=""3s2.3p2.(3P).3d""","=""4P""","=""1/2""","=""3s2.3p2.(3P).4p""","=""4P*""","=""1/2""",2,2,,
"=""1485.986""","=""""","=""""",,"=""27.64303""","=""35.98660""","=""3s.3p4""","=""2P""","=""3/2""","=""3s2.3p2.(3P).4p""","=""2D*""","=""3/2""",4,4,,
"=""1495.341""","=""""","=""""",,"=""27.64303""","=""35.934402""","=""3s.3p4""","=""2P""","=""3/2""","=""3s2.3p2.(3P).4p""","=""4P*""","=""5/2""",4,6,,
"=""1497.813""","=""""","=""""",,"=""27.374074""","=""35.65176""","=""3s2.3p2.(3P).3d""","=""4P""","=""5/2""","=""3s2.3p2.(3P).4p""","=""4D*""","=""7/2""",6,8,,
"=""1508.801""","=""""","=""""",,"=""27.64303""","=""35.860433""","=""3s.3p4""","=""2P""","=""3/2""","=""3s2.3p2.(3P).4p""","=""4P*""","=""3/2""",4,4,,
"=""1509.840""","=""""","=""""",,"=""27.77485""","=""35.98660""","=""3s.3p4""","=""2P""","=""1/2""","=""3s2.3p2.(3P).4p""","=""2D*""","=""3/2""",2,4,,
"=""1516.047""","=""""","=""""",,"=""27.374074""","=""35.552196""","=""3s2.3p2.(3P).3d""","=""4P""","=""5/2""","=""3s2.3p2.(3P).4p""","=""4D*""","=""5/2""",6,6,,
"=""1526.245""","=""""","=""""",,"=""28.03813""","=""36.16162""","=""3s2.3p2.(3P).3d""","=""2D""","=""5/2""","=""3s2.3p2.(3P).4p""","=""2D*""","=""5/2""",6,6,,
"=""1527.956""","=""""","=""""",,"=""27.43781""","=""35.552196""","=""3s2.3p2.(3P).3d""","=""4P""","=""3/2""","=""3s2.3p2.(3P).4p""","=""4D*""","=""5/2""",4,6,,
"=""1528.171""","=""""","=""""",,"=""27.374074""","=""35.487315""","=""3s2.3p2.(3P).3d""","=""4P""","=""5/2""","=""3s2.3p2.(3P).4p""","=""4D*""","=""3/2""",6,4,,
"=""1536.028""","=""""","=""""",,"=""27.77485""","=""35.84660""","=""3s.3p4""","=""2P""","=""1/2""","=""3s2.3p2.(3P).4p""","=""4P*""","=""1/2""",2,2,,
"=""1536.662""","=""""","=""""",,"=""27.86599""","=""35.934402""","=""3s2.3p2.(3P).3d""","=""2D""","=""3/2""","=""3s2.3p2.(3P).4p""","=""4P*""","=""5/2""",4,6,,
