   hvEV     ShapeJV   ShapeJVTD  ShaJVTD10  ShaJVTD10i   KappaD
 1735.444  .1028E-01  .1237E-01  .3022E-02  .3620E-02    .0041
 1735.632  .1061E-01  .1304E-01  .3360E-02  .4037E-02    .0044
 1735.821  .1134E-01  .1377E-01  .3741E-02  .4506E-02    .0046
 1736.010  .1179E-01  .1454E-01  .4172E-02  .5034E-02    .0049
 1736.198  .1231E-01  .1536E-01  .4658E-02  .5628E-02    .0051
 1736.387  .1293E-01  .1624E-01  .5207E-02  .6296E-02    .0054
 1736.576  .1336E-01  .1718E-01  .5827E-02  .7046E-02    .0058
 1736.765  .1426E-01  .1819E-01  .6527E-02  .7887E-02    .0061
 1736.954  .1515E-01  .1926E-01  .7317E-02  .8828E-02    .0064
 1737.142  .1594E-01  .2040E-01  .8209E-02  .9880E-02    .0068
 1737.331  .1722E-01  .2161E-01  .9214E-02  .1105E-01    .0072
 1737.520  .1803E-01  .2290E-01  .1034E-01  .1236E-01    .0077
 1737.709  .1911E-01  .2427E-01  .1162E-01  .1380E-01    .0081
 1737.898  .2024E-01  .2572E-01  .1304E-01  .1540E-01    .0086
 1738.087  .2149E-01  .2725E-01  .1463E-01  .1716E-01    .0091
 1738.276  .2295E-01  .2885E-01  .1641E-01  .1909E-01    .0097
 1738.465  .2424E-01  .3054E-01  .1838E-01  .2120E-01    .0102
 1738.654  .2572E-01  .3231E-01  .2057E-01  .2349E-01    .0108
 1738.843  .2762E-01  .3415E-01  .2297E-01  .2597E-01    .0114
 1739.032  .2902E-01  .3606E-01  .2561E-01  .2864E-01    .0121
 1739.221  .3160E-01  .3804E-01  .2848E-01  .3150E-01    .0127
 1739.410  .3313E-01  .4007E-01  .3160E-01  .3455E-01    .0134
 1739.599  .3528E-01  .4215E-01  .3496E-01  .3777E-01    .0141
 1739.789  .3730E-01  .4427E-01  .3855E-01  .4116E-01    .0148
 1739.978  .4000E-01  .4641E-01  .4236E-01  .4470E-01    .0155
 1740.167  .4325E-01  .4856E-01  .4637E-01  .4837E-01    .0163
 1740.356  .4536E-01  .5072E-01  .5056E-01  .5216E-01    .0170
 1740.545  .4849E-01  .5285E-01  .5489E-01  .5603E-01    .0177
 1740.735  .5256E-01  .5496E-01  .5934E-01  .5997E-01    .0184
 1740.924  .5672E-01  .5702E-01  .6384E-01  .6393E-01    .0191
 1741.113  .6095E-01  .5901E-01  .6837E-01  .6789E-01    .0198
 1741.302  .6571E-01  .6093E-01  .7287E-01  .7181E-01    .0204
 1741.492  .6953E-01  .6276E-01  .7729E-01  .7567E-01    .0210
 1741.681  .7493E-01  .6448E-01  .8158E-01  .7943E-01    .0216
 1741.870  .8091E-01  .6609E-01  .8570E-01  .8306E-01    .0221
 1742.060  .8497E-01  .6759E-01  .8959E-01  .8653E-01    .0226
 1742.249  .9029E-01  .6895E-01  .9324E-01  .8982E-01    .0231
 1742.439  .9432E-01  .7019E-01  .9660E-01  .9291E-01    .0235
 1742.628  .9961E-01  .7130E-01  .9966E-01  .9578E-01    .0239
 1742.818  .1005E+00  .7228E-01  .1024E+00  .9841E-01    .0242
 1743.007  .1005E+00  .7313E-01  .1048E+00  .1008E+00    .0245
 1743.197  .9941E-01  .7387E-01  .1069E+00  .1029E+00    .0247
 1743.386  .9476E-01  .7449E-01  .1087E+00  .1048E+00    .0249
 1743.576  .8875E-01  .7501E-01  .1102E+00  .1064E+00    .0251
 1743.765  .8034E-01  .7543E-01  .1115E+00  .1078E+00    .0252
 1743.955  .7060E-01  .7576E-01  .1125E+00  .1089E+00    .0254
 1744.144  .6353E-01  .7601E-01  .1132E+00  .1098E+00    .0254
 1744.334  .5859E-01  .7619E-01  .1137E+00  .1105E+00    .0255
 1744.524  .5368E-01  .7630E-01  .1140E+00  .1109E+00    .0255
 1744.713  .5113E-01  .7634E-01  .1142E+00  .1110E+00    .0256
 1744.903  .5236E-01  .7632E-01  .1141E+00  .1109E+00    .0255
 1745.093  .5657E-01  .7623E-01  .1139E+00  .1106E+00    .0255
 1745.283  .6174E-01  .7608E-01  .1134E+00  .1101E+00    .0255
 1745.472  .6780E-01  .7585E-01  .1127E+00  .1092E+00    .0254
 1745.662  .7617E-01  .7554E-01  .1118E+00  .1082E+00    .0253
 1745.852  .8522E-01  .7515E-01  .1107E+00  .1069E+00    .0252
 1746.042  .9289E-01  .7466E-01  .1092E+00  .1054E+00    .0250
 1746.232  .9828E-01  .7408E-01  .1075E+00  .1036E+00    .0248
 1746.421  .1004E+00  .7338E-01  .1055E+00  .1015E+00    .0246
 1746.611  .1003E+00  .7256E-01  .1032E+00  .9918E-01    .0243
 1746.801  .1010E+00  .7162E-01  .1006E+00  .9662E-01    .0240
 1746.991  .9561E-01  .7056E-01  .9760E-01  .9383E-01    .0236
 1747.181  .9169E-01  .6936E-01  .9434E-01  .9081E-01    .0232
 1747.371  .8731E-01  .6803E-01  .9078E-01  .8758E-01    .0228
 1747.561  .8196E-01  .6658E-01  .8696E-01  .8416E-01    .0223
 1747.751  .7766E-01  .6500E-01  .8290E-01  .8058E-01    .0218
 1747.941  .7058E-01  .6331E-01  .7866E-01  .7686E-01    .0212
 1748.131  .6722E-01  .6152E-01  .7428E-01  .7304E-01    .0206
 1748.321  .6231E-01  .5963E-01  .6980E-01  .6914E-01    .0200
 1748.511  .5816E-01  .5765E-01  .6528E-01  .6519E-01    .0193
 1748.701  .5405E-01  .5562E-01  .6076E-01  .6123E-01    .0186
 1748.892  .4964E-01  .5352E-01  .5629E-01  .5729E-01    .0179
 1749.082  .4648E-01  .5140E-01  .5191E-01  .5340E-01    .0172
 1749.272  .4414E-01  .4924E-01  .4767E-01  .4958E-01    .0165
 1749.462  .4107E-01  .4709E-01  .4360E-01  .4587E-01    .0158
 1749.652  .3842E-01  .4494E-01  .3972E-01  .4229E-01    .0150
 1749.843  .3565E-01  .4281E-01  .3606E-01  .3885E-01    .0143
 1750.033  .3375E-01  .4072E-01  .3262E-01  .3558E-01    .0136
 1750.223  .3206E-01  .3866E-01  .2943E-01  .3248E-01    .0129
 1750.413  .2956E-01  .3667E-01  .2647E-01  .2956E-01    .0123
 1750.604  .2803E-01  .3473E-01  .2376E-01  .2683E-01    .0116
 1750.794  .2622E-01  .3286E-01  .2127E-01  .2428E-01    .0110
 1750.984  .2466E-01  .3107E-01  .1902E-01  .2193E-01    .0104
 1751.175  .2319E-01  .2935E-01  .1698E-01  .1976E-01    .0098
 1751.365  .2168E-01  .2771E-01  .1514E-01  .1777E-01    .0093
 1751.556  .2065E-01  .2616E-01  .1349E-01  .1596E-01    .0088
 1751.746  .1931E-01  .2468E-01  .1201E-01  .1431E-01    .0083
 1751.936  .1831E-01  .2328E-01  .1069E-01  .1281E-01    .0078
 1752.127  .1745E-01  .2196E-01  .9516E-02  .1146E-01    .0074
 1752.317  .1622E-01  .2072E-01  .8472E-02  .1024E-01    .0069
 1752.508  .1531E-01  .1956E-01  .7546E-02  .9150E-02    .0065
 1752.699  .1444E-01  .1846E-01  .6725E-02  .8172E-02    .0062
 1752.889  .1350E-01  .1743E-01  .5998E-02  .7298E-02    .0058
 1753.080  .1307E-01  .1647E-01  .5354E-02  .6518E-02    .0055
 1753.270  .1236E-01  .1557E-01  .4785E-02  .5823E-02    .0052
 1753.461  .1190E-01  .1472E-01  .4280E-02  .5204E-02    .0049
 1753.652  .1137E-01  .1393E-01  .3834E-02  .4654E-02    .0047
 1753.842  .1068E-01  .1320E-01  .3439E-02  .4166E-02    .0044
 1754.033  .1031E-01  .1251E-01  .3089E-02  .3732E-02    .0042
 1754.224  .9811E-02  .1186E-01  .2778E-02  .3347E-02    .0040
 1754.414  .9276E-02  .1126E-01  .2503E-02  .3005E-02    .0038
 1754.605  .8925E-02  .1069E-01  .2258E-02  .2701E-02    .0036
 1754.796  .8528E-02  .1016E-01  .2040E-02  .2431E-02    .0034
 1754.987  .8285E-02  .9666E-02  .1846E-02  .2191E-02    .0032
 1755.177  .7767E-02  .9201E-02  .1673E-02  .1977E-02    .0031
 1755.368  .7316E-02  .8766E-02  .1518E-02  .1787E-02    .0029
 1755.559  .7040E-02  .8357E-02  .1380E-02  .1618E-02    .0028
 1755.750  .6801E-02  .7974E-02  .1256E-02  .1467E-02    .0027
 1755.941  .6601E-02  .7613E-02  .1145E-02  .1331E-02    .0025
 1756.132  .6207E-02  .7275E-02  .1046E-02  .1211E-02    .0024
 1756.323  .5896E-02  .6956E-02  .9562E-03  .1102E-02    .0023
 1756.514  .5728E-02  .6656E-02  .8756E-03  .1005E-02    .0022
 1756.705  .5527E-02  .6374E-02  .8029E-03  .9181E-03    .0021
 1756.896  .5327E-02  .6107E-02  .7372E-03  .8397E-03    .0020
 1757.087  .5087E-02  .5856E-02  .6778E-03  .7691E-03    .0020
 1757.278  .4882E-02  .5619E-02  .6241E-03  .7054E-03    .0019
 1757.469  .4671E-02  .5395E-02  .5753E-03  .6479E-03    .0018
 1757.660  .4583E-02  .5183E-02  .5310E-03  .5960E-03    .0017
 1757.851  .4479E-02  .4983E-02  .4907E-03  .5489E-03    .0017
 1758.042  .4342E-02  .4793E-02  .4541E-03  .5062E-03    .0016
 1758.233  .4183E-02  .4613E-02  .4206E-03  .4674E-03    .0015
 1758.424  .4053E-02  .4442E-02  .3901E-03  .4321E-03    .0015
 1758.616  .3912E-02  .4280E-02  .3621E-03  .4000E-03    .0014
 1758.807  .3759E-02  .4126E-02  .3366E-03  .3707E-03    .0014
 1758.998  .3652E-02  .3980E-02  .3131E-03  .3439E-03    .0013
 1759.189  .3550E-02  .3840E-02  .2916E-03  .3194E-03    .0013
 1759.381  .3383E-02  .3708E-02  .2718E-03  .2970E-03    .0012
 1759.572  .3238E-02  .3582E-02  .2536E-03  .2765E-03    .0012
 1759.763  .3132E-02  .3461E-02  .2369E-03  .2576E-03    .0012
 1759.955  .3054E-02  .3346E-02  .2214E-03  .2402E-03    .0011
 1760.146  .2987E-02  .3237E-02  .2071E-03  .2243E-03    .0011
 1760.337  .2880E-02  .3132E-02  .1940E-03  .2096E-03    .0010
 1760.529  .2737E-02  .3032E-02  .1818E-03  .1960E-03    .0010
 1760.720  .2680E-02  .2936E-02  .1705E-03  .1835E-03    .0010
 1760.912  .2618E-02  .2845E-02  .1600E-03  .1720E-03    .0010
 1761.103  .2530E-02  .2757E-02  .1503E-03  .1613E-03    .0009
 1761.294  .2482E-02  .2674E-02  .1413E-03  .1514E-03    .0009
 1761.486  .2423E-02  .2593E-02  .1330E-03  .1422E-03    .0009
 1761.678  .2346E-02  .2517E-02  .1252E-03  .1336E-03    .0008
 1761.869  .2257E-02  .2443E-02  .1180E-03  .1257E-03    .0008
 1762.061  .2227E-02  .2372E-02  .1113E-03  .1184E-03    .0008
 1762.252  .2154E-02  .2304E-02  .1050E-03  .1115E-03    .0008
