---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Mult. |           Configurations            |     Terms    |         Observed   |           |           Ritz     |           |          |        Ei           Ek        |  gi   gk  |    Aki     |    fik    | Acc. |Type|        TP  |    Line  |
  No.  |                                     |              |        Wavelength/ |   Uncert. |        Wavelength/ |   Uncert. |   Unit   |       (eV)         (eV)       |           |   (s^-1)   |           |      |    |       Ref. |    Ref.  |
       |                                     |              |        Wavenumber  |           |        Wavenumber  |           |          |                               |           |            |           |      |    |            |          |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       |                                     |              |                    |           |                    |           |          |                               |           |            |           |      |    |            |          |
       |                                     |              |         143.4070   |  0.0020   |         143.407910 |  0.000007 | nm (vac) |  19.4550447   -   28.10060677 |   7 - 9   |            |           |      |    |            |   L9366  |
       |                                     |              |         143.7020   |  0.0020   |         143.701611 |  0.000007 | nm (vac) |  19.4550447   -   28.08293673 |   7 - 7   |            |           |      |    |            |   L9366  |
       |                                     |              |         143.7170   |  0.0020   |         143.716148 |  0.000013 | nm (vac) |  19.4559174   -   28.08293673 |   5 - 7   |            |           |      |    |            |   L9366  |
       |                                     |              |         144.0070   |  0.0020   |         144.006125 |  0.000007 | nm (vac) |  19.4550447   -   28.06469227 |   7 - 5   |            |           |      |    |            |   L9366  |
       |                                     |              |         144.0210   |  0.0020   |         144.020724 |  0.000013 | nm (vac) |  19.4559174   -   28.06469227 |   5 - 5   |            |           |      |    |            |   L9366  |
       |                                     |              |         144.2440   |  0.0020   |         144.24354  |  0.00003  | nm (vac) |  19.4692154   -   28.06469227 |   3 - 5   |            |           |      |    |            |   L9366  |
       |                                     |              |                    |           |                    |           |          |                               |           |            |           |      |    |            |          |
    17 |                                     |   3D* - 1F   |                    |           |                    |           |          |                               |           |            |           |      |    |            |          |
       |                                     |              |                    |           |                    |           |          |                               |           |            |           |      |    |            |          |
       |                                     |              |         142.2000   |  0.0020   |         142.203789 |  0.000013 | nm (vac) |  19.4559174   -   28.17468645 |   5 - 7   |            |           |      |    |            |   L9366  |
