 ====================================================================
      i NZ NE iSLP iLV iCONF                 E(RYD)      TE(RYD)   gi
 ====================================================================
    188  6  6  330   6 2s2 2p 9f       -1.23921E-02  8.34069E-01 21.0
    189  6  6  341   5 2s2 2p 9g       -1.23577E-02  8.34103E-01 27.0
    190  6  6  141   5 2s2 2p 9g       -1.23577E-02  8.34103E-01  9.0
    191  6  6  311  16 2s2 2p 9d       -1.23562E-02  8.34105E-01  9.0
    192  6  6  340   9 2s2 2p 9f       -1.23540E-02  8.34107E-01 27.0
    193  6  6  140   9 2s2 2p 9f       -1.23529E-02  8.34108E-01  9.0
    194  6  6  350   4 2s2 2p 9h       -1.23469E-02  8.34114E-01 33.0
    195  6  6  150   4 2s2 2p 9h       -1.23469E-02  8.34114E-01 11.0
    196  6  6  151   8 2s2 2p 9g       -1.23461E-02  8.34115E-01 11.0
    197  6  6  151   7 2s2 2p 9i       -1.23461E-02  8.34115E-01 11.0
    198  6  6  351   8 2s2 2p 9i       -1.23461E-02  8.34115E-01 33.0
    199  6  6  351   7 2s2 2p 9g       -1.23461E-02  8.34115E-01 33.0
    200  6  6  361   3 2s2 2p 9i       -1.23457E-02  8.34115E-01 39.0
    201  6  6  360   6 2s2 2p 9k       -1.23457E-02  8.34115E-01 39.0
    202  6  6  360   5 2s2 2p 9h       -1.23457E-02  8.34115E-01 39.0
    203  6  6  160   6 2s2 2p 9k       -1.23457E-02  8.34115E-01 13.0
    204  6  6  160   5 2s2 2p 9h       -1.23457E-02  8.34115E-01 13.0
    205  6  6  161   3 2s2 2p 9i       -1.23457E-02  8.34115E-01 13.0
    206  6  6  340  10 2s2 2p 9h       -1.23428E-02  8.34118E-01 27.0
    207  6  6  140  10 2s2 2p 9h       -1.23424E-02  8.34119E-01  9.0
    208  6  6  331  12 2s2 2p 9g       -1.23417E-02  8.34119E-01 21.0
    209  6  6  131  12 2s2 2p 9g       -1.23416E-02  8.34119E-01  7.0
    210  6  6  320  13 2s2 2p 9f       -1.23361E-02  8.34125E-01 15.0
    211  6  6  120  14 2s2 2p 9f       -1.23354E-02  8.34126E-01  5.0
    212  6  6  111  15 2s2 2p 9d       -1.23347E-02  8.34126E-01  3.0
    213  6  6  110   8 2s2 2p10p       -1.16381E-02  8.34823E-01  3.0
    214  6  6  320  14 2s2 2p10p       -1.15555E-02  8.34906E-01 15.0
    215  6  6  300   8 2s2 2p10p       -1.14581E-02  8.35003E-01  3.0
    216  6  6  310   9 2s2 2p10p       -1.13789E-02  8.35082E-01  9.0
    217  6  6  120  15 2s2 2p10p       -1.11735E-02  8.35288E-01  5.0
    218  6  6  100   9 2s2 2p10p       -1.09466E-02  8.35514E-01  1.0
    219  6  6  121   8 2s2 2p10d       -1.04558E-02  8.36005E-01  5.0
    220  6  6  331  13 2s2 2p10d       -1.02095E-02  8.36251E-01 21.0
