Configuration,Term,J,Level (eV),Uncertainty (eV),Lande,Leading percentages
"=""2s2.2p.(2P*<3/2>).4f""","=""2[7/2]""","=""3""","="" 10.41296443""","=""0.00000003""","=""""","=""  83         :    17  2s2.2p.(2P*<1/2>).4f  2[7/2]  """,
"=""2s2.2p.(2P*<3/2>).4f""","=""2[7/2]""","=""4""","="" 10.41299796""","=""0.00000006""","=""""","=""  83         :    17  2s2.2p.(2P*<1/2>).4f  2[7/2]  """,
"=""2s2.2p.(2P*<3/2>).4f""","=""2[5/2]""","=""3""","="" 10.416318591""","=""0.000000015""","=""""","=""  82         :    17  2s2.2p.(2P*<1/2>).4f  2[5/2]  """,
"=""2s2.2p.(2P*<3/2>).4f""","=""2[5/2]""","=""2""","="" 10.41633791""","=""0.00000004""","=""""","=""  82         :    18  2s2.2p.(2P*<1/2>).4f  2[5/2]  """,
"=""2s2.2p.(2P*<3/2>).4f""","=""2[9/2]""","=""5""","="" 10.416641283""","=""0.000000022""","=""""","="" 100                                                """,
"=""2s2.2p.(2P*<3/2>).4f""","=""2[9/2]""","=""4""","="" 10.41669049""","=""0.00000006""","=""""","="" 100                                                """,
"=""2s2.2p.4d""","=""1P*""","=""1""","="" 10.41865840""","=""0.00000009""","=""""","=""  67         :    30  2s2.2p.5s             1P*     """,
"=""2s2.2p.(2P*<3/2>).4f""","=""2[3/2]""","=""1""","="" 10.41917726""","=""0.00000007""","=""""","="" 100                                                """,
"=""2s2.2p.(2P*<3/2>).4f""","=""2[3/2]""","=""2""","="" 10.41919132""","=""0.00000006""","=""""","="" 100                                                """,
"=""2s2.2p.4d""","=""3P*""","=""2""","="" 10.42745839""","=""0.00000005""","=""""","=""  87         :     9  2s2.2p.5s             3P*     """,
"=""2s2.2p.4d""","=""3P*""","=""1""","="" 10.42906912""","=""0.00000006""","=""""","=""  89         :     6  2s2.2p.5s             3P*     """,
"=""2s2.2p.4d""","=""3P*""","=""0""","="" 10.42970278""","=""0.00000022""","=""""","=""  91         :     6  2s2.2p.5s             3P*     """,
"=""2s2.2p.5p""","=""1P""","=""1""","="" 10.52024138""","=""0.00000020""","=""""","=""  90         :     6  2s2.2p.5p             3D      """,
"=""2s2.2p.5p""","=""3D""","=""1""","="" 10.5306428""","=""0.0000025""","=""""","=""  91         :     6  2s2.2p.5p             1P      """,
"=""2s2.2p.5p""","=""3D""","=""2""","="" 10.532508""","=""0.000004""","=""""","=""  97                                                """,
"=""2s2.2p.5p""","=""3D""","=""3""","="" 10.53679751""","=""0.00000025""","=""""","=""  98                                                """,
"=""2s2.2p.5p""","=""3P""","=""0""","="" 10.559692""","=""0.000004""","=""""","=""  98                                                """,
"=""2s2.2p.5p""","=""3P""","=""1""","="" 10.56208579""","=""0.00000005""","=""""","=""  68         :    30  2s2.2p.5p             3S      """,
"=""2s2.2p.5p""","=""3P""","=""2""","="" 10.56390942""","=""0.00000004""","=""""","=""  97                                                """,
"=""2s2.2p.5p""","=""1D""","=""2""","="" 10.5882298""","=""0.0000014""","=""""","=""  90         :     5  2s2.2p.6p             1D      """,
"=""2s2.2p.5p""","=""1S""","=""0""","="" 10.6161705""","=""0.0000005""","=""""","=""  72         :    17  2s2.2p.6p             1S      """,
"=""2s2.2p.5d""","=""1D*""","=""2""","="" 10.68560706""","=""0.00000009""","=""""","=""  94         :     4  2s2.2p.5d             3F*     """,
"=""2s2.2p.5d""","=""3F*""","=""2""","="" 10.702030""","=""0.000006""","=""""","=""  78         :    19  2s2.2p.5d             3D*     """,
"=""2s2.2p.5d""","=""3F*""","=""3""","="" 10.70320700""","=""0.00000017""","=""""","=""  71         :    22  2s2.2p.5d             3D*     """,
"=""2s2.2p.5d""","=""3F*""","=""4""","="" 10.7084390""","=""0.0000006""","=""""","="" 100                                                """,
"=""2s2.2p.6s""","=""3P*""","=""0""","="" 10.702560""","=""0.000004""","=""""","=""  95         :     5  2s2.2p.5d             3P*     """,
"=""2s2.2p.6s""","=""3P*""","=""1""","="" 10.7037605""","=""0.0000021""","=""""","=""  79         :     7  2s2.2p.6s             1P*     """,
"=""2s2.2p.6s""","=""3P*""","=""2""","="" 10.708468""","=""0.000003""","=""""","=""  73         :    17  2s2.2p.5d             3D*     """,
"=""2s2.2p.5d""","=""3D*""","=""1""","="" 10.707590""","=""0.000004""","=""""","=""  81         :     9  2s2.2p.5d             1P*     """,
"=""2s2.2p.5d""","=""3D*""","=""2""","="" 10.710924""","=""0.000003""","=""""","=""  61         :    17  2s2.2p.5d             3F*     """,
"=""2s2.2p.5d""","=""3D*""","=""3""","="" 10.711966""","=""0.000005""","=""""","=""  75         :    25  2s2.2p.5d             3F*     """,
"=""2s2.2p.(2P*<1/2>).5f""","=""2[5/2]""","=""3""","="" 10.71372629""","=""0.00000022""","=""""","=""  93         :     7  2s2.2p.(2P*<3/2>).5f  2[5/2]  """,
"=""2s2.2p.(2P*<1/2>).5f""","=""2[5/2]""","=""2""","="" 10.71373880""","=""0.00000020""","=""""","=""  93         :     7  2s2.2p.(2P*<3/2>).5f  2[5/2]  """,
"=""2s2.2p.(2P*<1/2>).5f""","=""2[7/2]""","=""3""","="" 10.71404072""","=""0.00000025""","=""""","=""  96                                                """,
"=""2s2.2p.(2P*<1/2>).5f""","=""2[7/2]""","=""4""","="" 10.71406552""","=""0.00000011""","=""""","=""  96                                                """,
"=""2s2.2p.6s""","=""1P*""","=""1""","="" 10.7142898""","=""0.0000022""","=""""","=""  48         :    34  2s2.2p.5d             1P*     """,
"=""2s2.2p.(2P*<1/2>).5g""","=""2[7/2]*""","=""3""","="" 10.71555641""","=""0.00000007""","=""""","=""  99                                                """,
"=""2s2.2p.(2P*<1/2>).5g""","=""2[7/2]*""","=""4""","="" 10.71555649""","=""0.00000007""","=""""","=""  99                                                """,
"=""2s2.2p.(2P*<1/2>).5g""","=""2[9/2]*""","=""5""","="" 10.71561401""","=""0.00000004""","=""""","=""  99                                                """,
"=""2s2.2p.(2P*<1/2>).5g""","=""2[9/2]*""","=""4""","="" 10.71561406""","=""0.00000005""","=""""","=""  99                                                """,
"=""2s2.2p.5d""","=""1F*""","=""3""","="" 10.718336""","=""0.000003""","=""""","=""  92         :     4  2s2.2p.5d             3F*     """,
"=""2s2.2p.(2P*<3/2>).5f""","=""2[7/2]""","=""3""","="" 10.7208571""","=""0.0000003""","=""""","=""  96                                                """,
"=""2s2.2p.(2P*<3/2>).5f""","=""2[7/2]""","=""4""","="" 10.72087957""","=""0.00000019""","=""""","=""  95         :     4  2s2.2p.(2P*<1/2>).5f  2[7/2]  """,
"=""2s2.2p.(2P*<3/2>).5f""","=""2[5/2]""","=""3""","="" 10.72248485""","=""0.00000019""","=""""","=""  93         :     7  2s2.2p.(2P*<1/2>).5f  2[5/2]  """,
"=""2s2.2p.(2P*<3/2>).5f""","=""2[5/2]""","=""2""","="" 10.7224999""","=""0.0000005""","=""""","=""  93         :     7  2s2.2p.(2P*<1/2>).5f  2[5/2]  """,
"=""2s2.2p.(2P*<3/2>).5g""","=""2[9/2]*""","=""4""","="" 10.72284670""","=""0.00000005""","=""""","=""  99                                                """,
"=""2s2.2p.(2P*<3/2>).5g""","=""2[9/2]*""","=""5""","="" 10.72284691""","=""0.00000007""","=""""","=""  99                                                """,
"=""2s2.2p.(2P*<3/2>).5f""","=""2[9/2]""","=""5""","="" 10.72314833""","=""0.00000007""","=""""","="" 100                                                """,
"=""2s2.2p.(2P*<3/2>).5f""","=""2[9/2]""","=""4""","="" 10.72318948""","=""0.00000011""","=""""","="" 100                                                """,
"=""2s2.2p.(2P*<3/2>).5g""","=""2[7/2]*""","=""3""","="" 10.72334742""","=""0.00000006""","=""""","=""  99                                                """,
"=""2s2.2p.(2P*<3/2>).5g""","=""2[7/2]*""","=""4""","="" 10.72334747""","=""0.00000007""","=""""","=""  99                                                """,
"=""2s2.2p.5d""","=""1P*""","=""1""","="" 10.7235720""","=""0.0000019""","=""""","=""  52         :    41  2s2.2p.6s             1P*     """,
"=""2s2.2p.(2P*<3/2>).5g""","=""2[11/2]*""","=""5""","="" 10.72399473""","=""0.00000006""","=""""","="" 100                                                """,
"=""2s2.2p.(2P*<3/2>).5g""","=""2[11/2]*""","=""6""","="" 10.72399516""","=""0.00000004""","=""""","="" 100                                                """,
"=""2s2.2p.(2P*<3/2>).5g""","=""2[5/2]*""","=""2""","="" 10.72443720""","=""0.00000015""","=""""","="" 100                                                """,
"=""2s2.2p.(2P*<3/2>).5g""","=""2[5/2]*""","=""3""","="" 10.72443729""","=""0.00000012""","=""""","="" 100                                                """,
"=""2s2.2p.(2P*<3/2>).5f""","=""2[3/2]""","=""1""","="" 10.7244500""","=""0.0000021""","=""""","="" 100                                                """,
"=""2s2.2p.(2P*<3/2>).5f""","=""2[3/2]""","=""2""","="" 10.7244786""","=""0.0000010""","=""""","="" 100                                                """,
"=""2s2.2p.5d""","=""3P*""","=""2""","="" 10.72546557""","=""0.00000025""","=""""","=""  80         :    15  2s2.2p.6s             3P*     """,
"=""2s2.2p.5d""","=""3P*""","=""1""","="" 10.7270516""","=""0.0000024""","=""""","=""  87         :     7  2s2.2p.6s             3P*     """,
"=""2s2.2p.5d""","=""3P*""","=""0""","="" 10.727508""","=""0.000004""","=""""","=""  93         :     5  2s2.2p.6s             3P*     """,
"=""2s2.2p.6p""","=""1P""","=""1""","="" 10.775825""","=""0.000004""","=""""","=""  71         :    25  2s2.2p.6p             3D      """,
"=""2s2.2p.6p""","=""3D""","=""1""","="" 10.781192""","=""0.000003""","=""""","=""  71         :    21  2s2.2p.6p             1P      """,
"=""2s2.2p.6p""","=""3D""","=""2""","="" 10.782347""","=""0.000003""","=""""","=""  95                                                """,
"=""2s2.2p.6p""","=""3D""","=""3""","="" 10.786912""","=""0.000004""","=""""","=""  98                                                """,
"=""2s2.2p.6p""","=""3P""","=""0""","="" 10.796222""","=""0.000003""","=""""","=""  98                                                """,
"=""2s2.2p.6p""","=""3P""","=""1""","="" 10.7994123""","=""0.0000024""","=""""","=""  54         :    44  2s2.2p.6p             3S      """,
"=""2s2.2p.6p""","=""3P""","=""2""","="" 10.800665""","=""0.000003""","=""""","=""  95                                                """,
"=""2s2.2p.6p""","=""1D""","=""2""","="" 10.8136879""","=""0.0000007""","=""""","=""  88         :     6  2s2.2p.7p             1D      """,
"=""2s2.2p.6p""","=""1S""","=""0""","="" 10.828910""","=""0.000004""","=""""","=""  65         :    22  2s2.2p.7p             1S      """,
"=""2s2.2p.6d""","=""1D*""","=""2""","="" 10.865203""","=""0.000004""","=""""","=""  84         :    12  2s2.2p.6d             3F*     """,
"=""2s2.2p.6d""","=""3F*""","=""2""","="" 10.874433""","=""0.000006""","=""""","=""  64         :    27  2s2.2p.6d             3D*     """,
"=""2s2.2p.6d""","=""3F*""","=""3""","="" 10.875078""","=""0.000006""","=""""","=""  64         :    24  2s2.2p.6d             3D*     """,
"=""2s2.2p.6d""","=""3F*""","=""4""","="" 10.880931""","=""0.000006""","=""""","="" 100                                                """,
"=""2s2.2p.7s""","=""3P*""","=""0""","="" 10.874826""","=""0.000004""","=""""","=""  96                                                """,
"=""2s2.2p.7s""","=""3P*""","=""1""","="" 10.8757182""","=""0.0000020""","=""""","=""  65         :    16  2s2.2p.7s             1P*     """,
"=""2s2.2p.7s""","=""3P*""","=""2""","="" 10.880080""","=""0.000003""","=""""","=""  71         :    15  2s2.2p.6d             3P*     """,
"=""2s2.2p.6d""","=""3D*""","=""1""","="" 10.877795""","=""0.000016""","=""""","=""  66         :    15  2s2.2p.7s             3P*     """,
"=""2s2.2p.6d""","=""3D*""","=""2""","="" 10.882479""","=""0.000003""","=""""","=""  53         :    24  2s2.2p.6d             3F*     """,
"=""2s2.2p.6d""","=""3D*""","=""3""","="" 10.882983""","=""0.000004""","=""""","=""  70         :    29  2s2.2p.6d             3F*     """,
"=""2s2.2p.(2P*<1/2>).6f""","=""2[5/2]""","=""3""","="" 10.881120""","=""0.000006""","=""""","=""  97                                                """,
"=""2s2.2p.(2P*<1/2>).6f""","=""2[5/2]""","=""2""","="" 10.881130""","=""0.000004""","=""""","=""  97                                                """,
"=""2s2.2p.(2P*<1/2>).6f""","=""2[7/2]""","=""4""","="" 10.881243""","=""0.000010""","=""""","=""  99                                                """,
"=""2s2.2p.(2P*<1/2>).6f""","=""2[7/2]""","=""3""","="" 10.881251""","=""0.000009""","=""""","=""  99                                                """,
"=""2s2.2p.(2P*<1/2>).6g""","=""2[7/2]*""","=""4""","="" 10.8820881""","=""0.0000005""","=""""","=""  99                                                """,
"=""2s2.2p.(2P*<1/2>).6g""","=""2[7/2]*""","=""3""","="" 10.8820885""","=""0.0000006""","=""""","=""  99                                                """,
"=""2s2.2p.(2P*<1/2>).6g""","=""2[9/2]*""","=""4""","="" 10.88212892""","=""0.00000007""","=""""","="" 100                                                """,
"=""2s2.2p.(2P*<1/2>).6g""","=""2[9/2]*""","=""5""","="" 10.88212892""","=""0.00000007""","=""""","="" 100                                                """,
"=""2s2.2p.(2P*<1/2>).6h""","=""2[9/2]""","=""4""","="" 10.8822615""","=""0.0000010""","=""""","="" 100                                                """,
"=""2s2.2p.(2P*<1/2>).6h""","=""2[9/2]""","=""5""","="" 10.8822616""","=""0.0000011""","=""""","="" 100                                                """,
"=""2s2.2p.(2P*<1/2>).6h""","=""2[11/2]""","=""6""","="" 10.8822625""","=""0.0000017""","=""""","="" 100                                                """,
"=""2s2.2p.(2P*<1/2>).6h""","=""2[11/2]""","=""5""","="" 10.8822625""","=""0.0000017""","=""""","="" 100                                                """,
"=""2s2.2p.7s""","=""1P*""","=""1""","="" 10.884529""","=""0.000003""","=""""","=""  51         :    38  2s2.2p.6d             1P*     """,
"=""2s2.2p.6d""","=""1F*""","=""3""","="" 10.886674""","=""0.000004""","=""""","=""  87         :     7  2s2.2p.6d             3F*     """,
"=""2s2.2p.(2P*<3/2>).6f""","=""2[7/2]""","=""3""","="" 10.888287""","=""0.000004""","=""""","=""  99                                                """,
"=""2s2.2p.(2P*<3/2>).6f""","=""2[7/2]""","=""4""","="" 10.888299""","=""0.000010""","=""""","=""  99                                                """,
"=""2s2.2p.(2P*<3/2>).6f""","=""2[5/2]""","=""3""","="" 10.889159""","=""0.000005""","=""""","=""  98                                                """,
"=""2s2.2p.(2P*<3/2>).6f""","=""2[5/2]""","=""2""","="" 10.889166""","=""0.000003""","=""""","=""  97                                                """,
"=""2s2.2p.(2P*<3/2>).6g""","=""2[9/2]*""","=""4""","="" 10.8894649""","=""0.0000021""","=""""","="" 100                                                """,
"=""2s2.2p.(2P*<3/2>).6g""","=""2[9/2]*""","=""5""","="" 10.8894664""","=""0.0000005""","=""""","="" 100                                                """,
"=""2s2.2p.6d""","=""1P*""","=""1""","="" 10.889554""","=""0.000004""","=""""","=""  40         :    31  2s2.2p.7s             1P*     """,
"=""2s2.2p.(2P*<3/2>).6f""","=""2[9/2]""","=""5""","=""[10.88969]""","=""0.00005""","=""""","="" 100                                                """,
"=""2s2.2p.(2P*<3/2>).6f""","=""2[9/2]""","=""4""","=""[10.88972]""","=""0.00005""","=""""","="" 100                                                """,
"=""2s2.2p.(2P*<3/2>).6g""","=""2[7/2]*""","=""3""","="" 10.8898224""","=""0.0000016""","=""""","="" 100                                                """,
"=""2s2.2p.(2P*<3/2>).6g""","=""2[7/2]*""","=""4""","="" 10.8898233""","=""0.0000005""","=""""","="" 100                                                """,
"=""2s2.2p.6d""","=""3P*""","=""2""","="" 10.889851""","=""0.000003""","=""""","=""  68         :    24  2s2.2p.7s             3P*     """,
"=""2s2.2p.6d""","=""3P*""","=""1""","="" 10.891259""","=""0.000004""","=""""","=""  85         :     7  2s2.2p.7s             3P*     """,
"=""2s2.2p.6d""","=""3P*""","=""0""","="" 10.89140""","=""0.00020""","=""""","=""  95         :     4  2s2.2p.7s             3P*     """,
"=""2s2.2p.(2P*<3/2>).6h""","=""2[11/2]""","=""5""","="" 10.8899154""","=""0.0000017""","=""""","="" 100                                                """,
"=""2s2.2p.(2P*<3/2>).6h""","=""2[11/2]""","=""6""","="" 10.8899156""","=""0.0000017""","=""""","="" 100                                                """,
"=""2s2.2p.(2P*<3/2>).6h""","=""2[9/2]""","=""5""","="" 10.8900234""","=""0.0000007""","=""""","="" 100                                                """,
"=""2s2.2p.(2P*<3/2>).6h""","=""2[9/2]""","=""4""","="" 10.8900234""","=""0.0000007""","=""""","="" 100                                                """,
"=""2s2.2p.(2P*<3/2>).6g""","=""2[11/2]*""","=""6""","="" 10.89023131""","=""0.00000010""","=""""","="" 100                                                """,
"=""2s2.2p.(2P*<3/2>).6g""","=""2[11/2]*""","=""5""","="" 10.8902317""","=""0.0000005""","=""""","="" 100                                                """,
"=""2s2.2p.(2P*<3/2>).6h""","=""2[13/2]""","=""6""","="" 10.8902823""","=""0.0000010""","=""""","="" 100                                                """,
"=""2s2.2p.(2P*<3/2>).6h""","=""2[13/2]""","=""7""","="" 10.8902826""","=""0.0000010""","=""""","="" 100                                                """,
"=""2s2.2p.(2P*<3/2>).6h""","=""2[7/2]""","=""3""","="" 10.8904168""","=""0.0000011""","=""""","="" 100                                                """,
"=""2s2.2p.(2P*<3/2>).6h""","=""2[7/2]""","=""4""","="" 10.8904169""","=""0.0000011""","=""""","="" 100                                                """,
"=""2s2.2p.(2P*<3/2>).6f""","=""2[3/2]""","=""2""","="" 10.890494""","=""0.000006""","=""""","="" 100                                                """,
"=""2s2.2p.(2P*<3/2>).6f""","=""2[3/2]""","=""1""","="" 10.890494""","=""0.000006""","=""""","="" 100                                                """,
"=""2s2.2p.(2P*<3/2>).6g""","=""2[5/2]*""","=""2""","="" 10.8905002""","=""0.0000024""","=""""","="" 100                                                """,
"=""2s2.2p.(2P*<3/2>).6g""","=""2[5/2]*""","=""3""","="" 10.8905002""","=""0.0000024""","=""""","="" 100                                                """,
"=""2s2.2p.7p""","=""1P""","=""1""","="" 10.918215""","=""0.000005""","=""""","=""  49         :    46  2s2.2p.7p             3D      """,
"=""2s2.2p.7p""","=""3D""","=""1""","="" 10.922016""","=""0.000005""","=""""","=""  44         :    30  2s2.2p.7p             1P      """,
"=""2s2.2p.7p""","=""3D""","=""2""","="" 10.922519""","=""0.000006""","=""""","=""  91         :     6  2s2.2p.7p             3P      """,
"=""2s2.2p.7p""","=""3D""","=""3""","="" 10.927451""","=""0.000005""","=""""","=""  98                                                """,
"=""2s2.2p.7p""","=""3P""","=""0""","="" 10.930438""","=""0.000004""","=""""","=""  98                                                """,
