Configuration,Term,J,Level (eV),Uncertainty (eV),Lande,Leading percentages
"=""2s2.2p.(2P*<1/2>).15d""","=""2[5/2]*""","=""3""","="" 11.199453""","=""0.000025""","=""""","=""  58         :    38  2s2.2p.(2P*<3/2>).14d 2[7/2]* """,
"=""2s2.2p.(2P*<1/2>).15d""","=""2[3/2]*""","=""2""","="" 11.19985""","=""0.00014""","=""""","=""  57         :    32  2s2.2p.(2P*<3/2>).14d 2[3/2]* """,
"=""2s2.2p.(2P*<1/2>).16d""","=""2[5/2]*""","=""3""","="" 11.20681""","=""0.00007""","=""""","=""  98                                                """,
"=""2s2.2p.(2P*<1/2>).17s""","=""2[1/2]*""","=""0""","="" 11.20696""","=""0.00021""","=""""","=""  98                                                """,
"=""2s2.2p.(2P*<1/2>).16d""","=""2[3/2]*""","=""2""","="" 11.20708""","=""0.00005""","=""""","=""  71         :    23  2s2.2p.(2P*<1/2>).16d 2[5/2]* """,
"=""2s2.2p.(2P*<3/2>).15d""","=""2[5/2]*""","=""3""","="" 11.20740""","=""0.00021""","=""""","=""  82         :    18  2s2.2p.(2P*<3/2>).15d 2[7/2]* """,
"=""2s2.2p.(2P*<3/2>).15d""","=""2[5/2]*""","=""2""","="" 11.20740""","=""0.00021""","=""""","=""  86         :     6  2s2.2p.(2P*<3/2>).15d 2[3/2]* """,
"=""2s2.2p.(2P*<3/2>).15d""","=""2[7/2]*""","=""3""","="" 11.207419""","=""0.000024""","=""""","=""  80         :    18  2s2.2p.(2P*<3/2>).15d 2[5/2]* """,
"=""2s2.2p.(2P*<3/2>).15d""","=""2[3/2]*""","=""1""","="" 11.20760""","=""0.00003""","=""""","=""  80         :    17  2s2.2p.(2P*<3/2>).16s 2[3/2]* """,
"=""2s2.2p.(2P*<3/2>).15d""","=""2[3/2]*""","=""2""","="" 11.2077""","=""0.0003""","=""""","=""  48         :    43  2s2.2p.(2P*<3/2>).16s 2[3/2]* """,
"=""2s2.2p.(2P*<3/2>).15d""","=""2[1/2]*""","=""0""","="" 11.2077""","=""0.0003""","=""""","=""  97                                                """,
"=""2s2.2p.(2P*<3/2>).15d""","=""2[1/2]*""","=""1""","="" 11.2077""","=""0.0003""","=""""","=""  79         :    18  2s2.2p.(2P*<3/2>).16s 2[3/2]* """,
"=""2s2.2p.(2P*<1/2>).17d""","=""2[5/2]*""","=""3""","="" 11.212923""","=""0.000024""","=""""","=""  99                                                """,
"=""2s2.2p.(2P*<3/2>).16d""","=""2[5/2]*""","=""3""","="" 11.21474""","=""0.00021""","=""""","=""  80         :    20  2s2.2p.(2P*<3/2>).16d 2[7/2]* """,
"=""2s2.2p.(2P*<3/2>).16d""","=""2[5/2]*""","=""2""","="" 11.21474""","=""0.00021""","=""""","=""  86         :    10  2s2.2p.(2P*<3/2>).16d 2[3/2]* """,
"=""2s2.2p.(2P*<3/2>).16d""","=""2[7/2]*""","=""3""","="" 11.214761""","=""0.000024""","=""""","=""  79         :    20  2s2.2p.(2P*<3/2>).16d 2[5/2]* """,
"=""2s2.2p.(2P*<3/2>).16d""","=""2[3/2]*""","=""1""","="" 11.214940""","=""0.000021""","=""""","=""  80         :    18  2s2.2p.(2P*<3/2>).17s 2[3/2]* """,
"=""2s2.2p.(2P*<1/2>).18d""","=""2[5/2]*""","=""3""","="" 11.218044""","=""0.000024""","=""""","=""  99                                                """,
"=""2s2.2p.(2P*<3/2>).17d""","=""2[5/2]*""","=""2""","="" 11.22067""","=""0.00006""","=""""","=""  82         :    13  2s2.2p.(2P*<3/2>).17d 2[3/2]* """,
"=""2s2.2p.(2P*<3/2>).17d""","=""2[5/2]*""","=""3""","="" 11.22094""","=""0.00021""","=""""","=""  77         :    23  2s2.2p.(2P*<3/2>).17d 2[7/2]* """,
"=""2s2.2p.(2P*<3/2>).17d""","=""2[7/2]*""","=""3""","="" 11.220907""","=""0.000024""","=""""","=""  73         :    23  2s2.2p.(2P*<3/2>).17d 2[5/2]* """,
"=""2s2.2p.(2P*<3/2>).17d""","=""2[3/2]*""","=""1""","="" 11.220957""","=""0.000017""","=""""","=""  82         :    16  2s2.2p.(2P*<3/2>).18s 2[3/2]* """,
"=""2s2.2p.(2P*<1/2>).19d""","=""2[5/2]*""","=""3""","="" 11.22233""","=""0.00004""","=""""","=""  96                                                """,
"=""2s2.2p.(2P*<3/2>).18d""","=""2[5/2]*""","=""3""","="" 11.22593""","=""0.00021""","=""""","=""  83         :    17  2s2.2p.(2P*<3/2>).18d 2[7/2]* """,
"=""2s2.2p.(2P*<3/2>).18d""","=""2[5/2]*""","=""2""","="" 11.22593""","=""0.00021""","=""""","=""  86         :     7  2s2.2p.(2P*<1/2>).20d 2[3/2]* """,
"=""2s2.2p.(2P*<3/2>).18d""","=""2[7/2]*""","=""3""","="" 11.22601""","=""0.00007""","=""""","=""  80         :    17  2s2.2p.(2P*<3/2>).18d 2[5/2]* """,
"=""2s2.2p.(2P*<3/2>).18d""","=""2[3/2]*""","=""1""","="" 11.226134""","=""0.000017""","=""""","=""  78         :    19  2s2.2p.(2P*<3/2>).19s 2[3/2]* """,
"=""2s2.2p.(2P*<1/2>).20d""","=""2[5/2]*""","=""3""","="" 11.22622""","=""0.00009""","=""""","=""  97                                                """,
"=""2s2.2p.(2P*<1/2>).21d""","=""2[5/2]*""","=""3""","="" 11.229286""","=""0.000024""","=""""","=""  99                                                """,
"=""2s2.2p.(2P*<3/2>).19d""","=""2[5/2]*""","=""2""","="" 11.2298""","=""0.0003""","=""""","=""  90         :     8  2s2.2p.(2P*<3/2>).19d 2[3/2]* """,
"=""2s2.2p.(2P*<3/2>).19d""","=""2[5/2]*""","=""3""","="" 11.2298""","=""0.0003""","=""""","=""  82         :    18  2s2.2p.(2P*<3/2>).19d 2[7/2]* """,
"=""2s2.2p.(2P*<3/2>).19d""","=""2[7/2]*""","=""3""","="" 11.230324""","=""0.000024""","=""""","=""  81         :    18  2s2.2p.(2P*<3/2>).19d 2[5/2]* """,
"=""2s2.2p.(2P*<3/2>).19d""","=""2[3/2]*""","=""1""","=""[11.23036]""","=""0.00025""","=""""","=""  74         :    23  2s2.2p.(2P*<3/2>).20s 2[3/2]* """,
"=""2s2.2p.(2P*<1/2>).22d""","=""2[5/2]*""","=""3""","="" 11.232035""","=""0.000024""","=""""","=""                                                    """,
"=""2s2.2p.(2P*<3/2>).20d""","=""2[5/2]*""","=""2""","="" 11.2336""","=""0.0003""","=""""","=""  88         :    10  2s2.2p.(2P*<3/2>).20d 2[3/2]* """,
"=""2s2.2p.(2P*<3/2>).20d""","=""2[5/2]*""","=""3""","="" 11.2336""","=""0.0003""","=""""","=""  80         :    20  2s2.2p.(2P*<3/2>).20d 2[7/2]* """,
"=""2s2.2p.(2P*<3/2>).20d""","=""2[7/2]*""","=""3""","="" 11.23416""","=""0.00004""","=""""","=""  80         :    20  2s2.2p.(2P*<3/2>).20d 2[5/2]* """,
"=""2s2.2p.(2P*<3/2>).20d""","=""2[3/2]*""","=""1""","="" 11.23422""","=""0.00005""","=""""","=""  76         :    23  2s2.2p.(2P*<3/2>).21s 2[3/2]* """,
"=""2s2.2p.(2P*<3/2>).21d""","=""2[7/2]*""","=""3""","="" 11.23725""","=""0.00009""","=""""","=""  80         :    20  2s2.2p.(2P*<3/2>).21d 2[5/2]* """,
"=""2s2.2p.(2P*<3/2>).22d""","=""2[7/2]*""","=""3""","="" 11.23991""","=""0.00010""","=""""","=""                                                    """,
"=""2s2.2p.(2P*<3/2>).23d""","=""2[7/2]*""","=""3""","=""[11.24237]""","=""0.00005""","=""""","=""                                                    """,
"=""2s2.2p.(2P*<3/2>).24d""","=""2[7/2]*""","=""3""","="" 11.244432""","=""0.000024""","=""""","=""                                                    """,
"=""2s2.2p.(2P*<3/2>).25d""","=""2[7/2]*""","=""3""","=""[11.24633]""","=""0.00005""","=""""","=""                                                    """,
"=""2s2.2p.(2P*<3/2>).26d""","=""2[7/2]*""","=""3""","=""[11.24798]""","=""0.00005""","=""""","=""                                                    """,
"=""2s2.2p.(2P*<3/2>).27d""","=""2[7/2]*""","=""3""","="" 11.249448""","=""0.000024""","=""""","=""                                                    """,
"=""2s2.2p.(2P*<3/2>).28d""","=""2[7/2]*""","=""3""","="" 11.250807""","=""0.000024""","=""""","=""                                                    """,
"=""2s2.2p.(2P*<3/2>).29d""","=""2[7/2]*""","=""3""","="" 11.25204""","=""0.00004""","=""""","=""                                                    """,
"=""C II (2s2.2p 2P*<1/2>)""","=""Limit""","=""---""","="" 11.2602880""","=""0.0000011""","=""""","=""                                                    """,
"=""C II (2s2.2p 2P*<3/2>)""","=""Limit""","=""---""","="" 11.2681480""","=""0.0000011""","=""""","=""                                                    """,
"=""2s.2p2.(4P).3s""","=""5P""","=""1""","="" 12.83753""","=""0.00003""","=""""","="" 100                                                """,
"=""2s.2p2.(4P).3s""","=""5P""","=""2""","="" 12.840090""","=""0.000012""","=""""","="" 100                                                """,
"=""2s.2p2.(4P).3s""","=""5P""","=""3""","="" 12.843173""","=""0.000019""","=""""","="" 100                                                """,
"=""2s.2p3""","=""1D*""","=""2""","=""[12.8648]""","=""0.0024""","=""""","=""  95                                                """,
"=""2s.2p3""","=""3S*""","=""1""","="" 13.1174190""","=""0.0000005""","=""""","=""  51         :    47  2s.2p2.(4P).3p        3S*     """,
"=""2s.2p2.(4P).3p""","=""3D*""","=""1""","="" 14.266""","=""0.005""","=""""","=""  97                                                """,
"=""2s.2p2.(4P).3p""","=""3D*""","=""2""","="" 14.267""","=""0.006""","=""""","=""  97                                                """,
"=""2s.2p2.(4P).3p""","=""3D*""","=""3""","="" 14.268""","=""0.007""","=""""","=""  97                                                """,
"=""2s.2p3""","=""1P*""","=""1""","=""[14.2841]""","=""0.0024""","=""""","=""  95                                                """,
"=""2s.2p2.(4P).4p""","=""3D*""","=""1""","="" 15.43751""","=""0.00020""","=""""","=""  97                                                """,
"=""2s.2p2.(4P).4p""","=""3D*""","=""2""","="" 15.44567""","=""0.00017""","=""""","=""  97                                                """,
"=""2s.2p2.(4P).4p""","=""3D*""","=""3""","="" 15.45108""","=""0.00020""","=""""","=""  97                                                """,
"=""2s.2p2.(4P).5p""","=""3D*""","=""1""","="" 15.89265""","=""0.00012""","=""""","=""  98                                                """,
"=""2s.2p2.(4P).5p""","=""3D*""","=""2""","="" 15.90221""","=""0.00020""","=""""","=""  98                                                """,
"=""2s.2p2.(4P).5p""","=""3D*""","=""3""","="" 15.90732""","=""0.00020""","=""""","=""  98                                                """,
"=""2s.2p2.(4P).6p""","=""3D*""","=""1""","="" 16.12639""","=""0.00016""","=""""","=""                                                    """,
"=""2s.2p2.(4P).6p""","=""3D*""","=""3""","="" 16.13719""","=""0.00021""","=""""","=""                                                    """,
"=""2s.2p2.(4P).7p""","=""3D*""","=""1""","="" 16.26169""","=""0.00019""","=""""","=""                                                    """,
"=""2s.2p2.(4P).7p""","=""3D*""","=""3""","="" 16.26881""","=""0.00021""","=""""","=""                                                    """,
"=""2s.2p2.(4P).8p""","=""3D*""","=""1""","="" 16.3454""","=""0.0003""","=""""","=""                                                    """,
"=""2s.2p2.(4P).8p""","=""3D*""","=""3""","="" 16.35114""","=""0.00021""","=""""","=""                                                    """,
"=""2s.2p2.(4P).9p""","=""3D*""","=""1""","="" 16.39853""","=""0.00019""","=""""","=""                                                    """,
"=""2s.2p2.(4P).9p""","=""3D*""","=""3""","="" 16.40627""","=""0.00021""","=""""","=""                                                    """,
"=""2s.2p2.(4P).10p""","=""3D*""","=""1""","="" 16.43706""","=""0.00022""","=""""","=""                                                    """,
"=""2s.2p2.(4P).10p""","=""3D*""","=""3""","="" 16.44433""","=""0.00022""","=""""","=""                                                    """,
"=""2s.2p2.(4P).11p""","=""3D*""","=""1""","="" 16.46565""","=""0.00022""","=""""","=""                                                    """,
"=""2s.2p2.(4P).11p""","=""3D*""","=""3""","="" 16.47228""","=""0.00022""","=""""","=""                                                    """,
"=""2s.2p2.(4P).12p""","=""3D*""","=""1""","="" 16.48645""","=""0.00022""","=""""","=""                                                    """,
"=""2s.2p2.(4P).12p""","=""3D*""","=""3""","="" 16.49286""","=""0.00022""","=""""","=""                                                    """,
"=""2s.2p2.(4P).13p""","=""3D*""","=""1""","="" 16.50202""","=""0.00022""","=""""","=""                                                    """,
"=""2s.2p2.(4P).13p""","=""3D*""","=""3""","="" 16.50933""","=""0.00022""","=""""","=""                                                    """,
"=""2s.2p2.(4P).14p""","=""3D*""","=""3""","="" 16.52164""","=""0.00022""","=""""","=""                                                    """,
