    222.91          S VIII  E1 2s2.2p4.(3P).3s-2s.2p5.(3Po).3s  4P-4Po  4 - 2  1.917e+10 7.139e-02     3 194.061200 - 249.683000 063
    224.58          S VIII  E1 2s2.2p4.(3P).3s-2s.2p5.(3Po).3s  4P-4Po  6 - 6  1.574e+10 1.190e-01     3 193.327300 - 248.535000 063
    224.73          S VIII  E1 2s2.2p4.(3P).3s-2s.2p5.(3Po).3s  4P-4Po  2 - 2  3.741e+09 2.832e-02     3 194.512500 - 249.683000 063
    224.79          S VIII  E1 2s2.2p4.(3P).3s-2s.2p5.(3Po).3s  4P-4Po  4 - 4  2.990e+09 2.265e-02     3 194.061200 - 249.217000 063
    226.64          S VIII  E1 2s2.2p4.(3P).3s-2s.2p5.(3Po).3s  4P-4Po  2 - 4  9.117e+09 1.404e-01     3 194.512500 - 249.217000 063
    227.60          S VIII  E1 2s2.2p4.(3P).3s-2s.2p5.(3Po).3s  4P-4Po  4 - 6  6.482e+09 7.551e-02     3 194.061200 - 248.535000 063
    227.89?         S VIII  E1 2s2.2p4.(1D).3p-2s2.2p4.(3P).4d 2Po-2D   4 - 6  4.146e+09 4.842e-02     3 219.338300 - 273.74500? 063,ASD
    237.22          S VIII  E1 2s2.2p4.(1D).3s-2s.2p5.(3Po).3s  2D-2Po  4 - 2  8.413e+08 3.549e-03     3 201.294200 - 253.561000 063
    240.55?         S VIII  E1 2s2.2p4.(3P).3p-2s2.2p4.(3P).4s 2Do-2P   6 - 4  1.508e+10 8.723e-02     3 209.373500 - 260.91500? 063,ASD
    240.58?         S VIII  E1 2s2.2p4.(3P).3p-2s2.2p4.(3P).4s 2Po-2P   2 - 4  1.224e+09 2.125e-02     3 209.380000 - 260.91500? 063,ASD
    240.85          S VIII  E1 2s2.2p4.(1D).3s-2s.2p5.(3Po).3s  2D-2Po  6 - 4  7.234e+08 4.194e-03     3 201.275600 - 252.754000 063
    240.93          S VIII  E1 2s2.2p4.(1D).3s-2s.2p5.(3Po).3s  2D-2Po  4 - 4  8.029e+07 6.988e-04     3 201.294200 - 252.754000 063
    242.37?         S VIII  E1 2s2.2p4.(3P).3p-2s2.2p4.(3P).4s 2Do-2P   4 - 4  1.638e+09 1.443e-02     3 209.761000 - 260.91500? 063,ASD
    244.90?         S VIII  E1 2s2.2p4.(3P).3p-2s2.2p4.(3P).4s 2Po-2P   4 - 4  5.804e+09 5.219e-02     3 210.289000 - 260.91500? 063,ASD
    247.04?         S VIII  E1 2s2.2p4.(3P).3p-2s2.2p4.(3P).4s 2So-2P   2 - 4  1.355e+09 2.479e-02     3 210.728000 - 260.91500? 063,ASD
    248.61?         S VIII  E1 2s2.2p4.(1S).3p-2s2.2p4.(3P).4d 2Po-2D   4 - 6  1.037e+08 1.442e-03     3 223.873000 - 273.74500? 063,ASD
    277.26          S VIII  E1 2s2.2p4.(3P).3d-2s.2p5.(1Po).3s  2P-2Po  2 - 2  4.507e+06 5.194e-05     3 228.150000 - 272.867000 063
    277.77          S VIII  E1 2s2.2p4.(3P).3d-2s.2p5.(1Po).3s  2P-2Po  2 - 4  1.121e+06 2.592e-05     3 228.150000 - 272.786000 063
    279.28          S VIII  E1 2s2.2p4.(3P).3d-2s.2p5.(1Po).3s  2D-2Po  4 - 2  1.177e+08 6.881e-04     3 228.472000 - 272.867000 063
