 ====================================================================
      i NZ NE iSLP iLV iCONF                 E(RYD)      TE(RYD)   gi
 ====================================================================
    136 26 21  231  12 3d2(1DE) 5p     -2.09694E+00  5.07357E+00 14.0
    137 26 21  201   4 3d2(3PE) 5p     -2.09511E+00  5.07540E+00  2.0
    138 26 21  221  12 3d2(1DE) 5p     -2.08749E+00  5.08302E+00 10.0
    139 26 21  241  11 3d2(1GE) 4f     -2.07336E+00  5.09715E+00 18.0
    140 26 21  421  10 3d2(3PE) 5p     -2.07103E+00  5.09948E+00 20.0
    141 26 21  221  13 3d2(3PE) 5p     -2.06206E+00  5.10845E+00 10.0
    142 26 21  231  13 3d2(1GE) 4f     -2.06040E+00  5.11011E+00 14.0
    143 26 21  411   6 3d2(3PE) 5p     -2.05639E+00  5.11412E+00 12.0
    144 26 21  211  10 3d2(3PE) 5p     -2.03741E+00  5.13310E+00  6.0
    145 26 21  221  14 3d2(1GE) 4f     -2.02381E+00  5.14670E+00 10.0
    146 26 21  241  12 3d2(1GE) 5p     -2.01233E+00  5.15818E+00 18.0
    147 26 21  421  11 3d2(3PE) 4f     -2.00664E+00  5.16387E+00 20.0
    148 26 21  211  11 3d2(1GE) 4f     -2.00571E+00  5.16480E+00  6.0
    149 26 21  251   8 3p5 3d4(1I4)    -1.98931E+00  5.18120E+00 22.0
    150 26 21  231  14 3p5 3d4(1G2):   -1.98467E+00  5.18584E+00 14.0
    151 26 21  251   9 3d2(1GE) 5p     -1.98421E+00  5.18630E+00 22.0
    152 26 21  231  15 3d2(1GE) 5p     -1.96472E+00  5.20579E+00 14.0
    153 26 21  431   9 3p5 3d4(3F4)    -1.94575E+00  5.22476E+00 28.0
    154 26 21  200   3 3d2(1SE) 5s     -1.93138E+00  5.23913E+00  2.0
    155 26 21  401   5 3p5 3d4(3P2)    -1.92985E+00  5.24066E+00  4.0
    156 26 21  221  15 3p5 3d4(1F4)    -1.92081E+00  5.24970E+00 10.0
    157 26 21  241  13 3p5 3d4(1G2):   -1.83731E+00  5.33320E+00 18.0
    158 26 21  440   2 3d2(3FE) 5d     -1.83684E+00  5.33367E+00 36.0
