 ====================================================================
      i NZ NE iSLP iLV iCONF                 E(RYD)      TE(RYD)   gi
 ====================================================================
    108 26 24  520   3 3d5(6S5) 4d     -8.56158E-01  1.28094E+00 25.0
    109 26 24  321   6 3d5(2F5) 4p     -8.55849E-01  1.28125E+00 15.0
    110 26 24  341   6 3d5(2F5) 4p     -8.51209E-01  1.28589E+00 27.0
    111 26 24  120   5 3d5(2D1) 4s     -8.48900E-01  1.28820E+00  5.0
    112 26 24  500   2 3d5(6S5) 5s     -8.45833E-01  1.29127E+00  5.0
    113 26 24  311   4 3d5(2S5) 4p     -8.35976E-01  1.30112E+00  9.0
    114 26 24  141   4 3d5(2H3) 4p:    -8.34664E-01  1.30244E+00  9.0
    115 26 24  131   4 3d5(2F5) 4p     -8.20586E-01  1.31651E+00  7.0
    116 26 24  111   2 3d5(2S5) 4p     -8.09222E-01  1.32788E+00  3.0
    117 26 24  321   7 3d5(2D3) 4p     -7.51068E-01  1.38603E+00 15.0
    118 26 24  331   8 3d5(2D3) 4p     -7.48021E-01  1.38908E+00 21.0
    119 26 24  131   5 3d5(2D3) 4p     -7.37607E-01  1.39949E+00  7.0
    120 26 24  311   5 3d5(2D3) 4p     -7.29628E-01  1.40747E+00  9.0
    121 26 24  711   2 3d5(6S5) 5p     -7.21852E-01  1.41525E+00 21.0
    122 26 24  111   3 3d5(2D3) 4p     -7.21647E-01  1.41545E+00  3.0
    123 26 24  121   4 3d5(2D3) 4p     -7.19768E-01  1.41733E+00  5.0
    124 26 24  511   4 3d5(6S5) 5p     -7.01925E-01  1.43517E+00 15.0
    125 26 24  351   5 3d5(2G3) 4p     -6.75598E-01  1.46150E+00 33.0
    126 26 24  331   9 3d5(2G3) 4p     -6.73025E-01  1.46407E+00 21.0
    127 26 24  341   7 3d5(2G3) 4p     -6.66104E-01  1.47100E+00 27.0
    128 26 24  151   4 3d5(2G3) 4p     -6.51425E-01  1.48567E+00 11.0
    129 26 24  141   5 3d5(2G3) 4p     -6.47809E-01  1.48929E+00  9.0
    130 26 24  131   6 3d5(2G3) 4p     -6.42542E-01  1.49456E+00  7.0
    131 26 24  550   1 3d5(4G5) 4d     -6.01747E-01  1.53535E+00 55.0
    132 26 24  560   1 3d5(4G5) 4d     -5.98090E-01  1.53901E+00 65.0
    133 26 24  530   2 3d5(4G5) 4d     -5.97847E-01  1.53925E+00 35.0
    134 26 24  540   2 3d5(4G5) 4d     -5.97065E-01  1.54004E+00 45.0
    135 26 24  360   2 3d5(4G5) 4d     -5.88928E-01  1.54817E+00 39.0
    136 26 24  320   6 3d5(4G5) 4d     -5.87614E-01  1.54949E+00 15.0
    137 26 24  520   4 3d5(4G5) 4d     -5.80938E-01  1.55616E+00 25.0
    138 26 24  340   5 3d5(4G5) 4d     -5.76035E-01  1.56106E+00 27.0
    139 26 24  510   2 3d5(4P3) 4d     -5.74157E-01  1.56294E+00 15.0
    140 26 24  530   3 3d5(4P3) 4d     -5.72976E-01  1.56412E+00 35.0
    141 26 24  540   3 3d5(4G5) 5s     -5.71229E-01  1.56587E+00 45.0
    142 26 24  330   6 3d5(4G5) 4d     -5.70192E-01  1.56691E+00 21.0
    143 26 24  731   1 3d5(6S5) 4f     -5.66085E-01  1.57102E+00 49.0
    144 26 24  531   4 3d5(6S5) 4f     -5.63511E-01  1.57359E+00 35.0
    145 26 24  320   7 3d5(4P3) 4d     -5.60822E-01  1.57628E+00 15.0
    146 26 24  350   3 3d5(4G5) 4d     -5.60675E-01  1.57642E+00 33.0
    147 26 24  311   6 3d5(2P3) 4p     -5.57914E-01  1.57919E+00  9.0
    148 26 24  520   5 3d5(4P3) 4d     -5.57816E-01  1.57928E+00 25.0
    149 26 24  340   6 3d5(4G5) 5s     -5.55410E-01  1.58169E+00 27.0
    150 26 24  510   3 3d5(4P3) 5s     -5.45161E-01  1.59194E+00 15.0
    151 26 24  330   7 3d5(4P3) 4d     -5.41815E-01  1.59528E+00 21.0
    152 26 24  540   4 3d5(4D5) 4d     -5.40290E-01  1.59681E+00 45.0
    153 26 24  310   5 3d5(4P3) 4d     -5.37414E-01  1.59969E+00  9.0
    154 26 24  510   4 3d5(4D5) 4d     -5.34783E-01  1.60232E+00 15.0
    155 26 24  530   4 3d5(4D5) 4d     -5.34575E-01  1.60252E+00 35.0
    156 26 24  500   3 3d5(4D5) 4d     -5.34164E-01  1.60294E+00  5.0
    157 26 24  101   1 3d5(2P3) 4p     -5.30682E-01  1.60642E+00  1.0
    158 26 24  300   2 3d5(4D5) 4d     -5.27418E-01  1.60968E+00  3.0
    159 26 24  310   6 3d5(4P3) 5s     -5.27003E-01  1.61010E+00  9.0
    160 26 24  520   6 3d5(4D5) 4d     -5.21868E-01  1.61523E+00 25.0
    161 26 24  321   8 3d5(2P3) 4p     -5.20091E-01  1.61701E+00 15.0
    162 26 24  121   5 3d5(2P3) 4p     -5.14793E-01  1.62231E+00  5.0
    163 26 24  340   7 3d5(4D5) 4d     -5.14737E-01  1.62236E+00 27.0
    164 26 24  330   8 3d5(4D5) 4d     -5.14196E-01  1.62290E+00 21.0
    165 26 24  720   2 3d5(6S5) 5d     -5.11352E-01  1.62575E+00 35.0
    166 26 24  520   7 3d5(4D5) 5s     -5.10664E-01  1.62644E+00 25.0
    167 26 24  700   3 3d5(6S5) 6s     -5.03117E-01  1.63398E+00  7.0
    168 26 24  310   7 3d5(4D5) 4d     -5.01248E-01  1.63585E+00  9.0
    169 26 24  111   4 3d5(2P3) 4p     -5.00942E-01  1.63616E+00  3.0
    170 26 24  301   2 3d5(2P3) 4p     -4.99868E-01  1.63723E+00  3.0
    171 26 24  320   8 3d5(4D5) 4d     -4.98188E-01  1.63891E+00 15.0
    172 26 24  320   9 3d5(4D5) 5s     -4.95758E-01  1.64134E+00 15.0
