 ====================================================================
      i NZ NE iSLP iLV iCONF                 E(RYD)      TE(RYD)   gi
 ====================================================================
    109 26 22  330   8 3d3(2P3) 4d     -1.95758E+00  3.48225E+00 21.0
    110 26 22  310   7 3d3(2P3) 4d     -1.95358E+00  3.48625E+00  9.0
    111 26 22  140   5 3d3(2H3) 4d     -1.95015E+00  3.48968E+00  9.0
    112 26 22  130   5 3d3(2H3) 4d     -1.94760E+00  3.49223E+00  7.0
    113 26 22  120   6 3d3(2D3) 4d     -1.94570E+00  3.49413E+00  5.0
    114 26 22  530   4 3d3(4F3) 5s     -1.91239E+00  3.52744E+00 35.0
    115 26 22  330   9 3d3(2H3) 4d     -1.90947E+00  3.53036E+00 21.0
    116 26 22  340   6 3d3(2H3) 4d     -1.90808E+00  3.53175E+00 27.0
    117 26 22  330  10 3d3(2D3) 4d     -1.89797E+00  3.54186E+00 21.0
    118 26 22  350   5 3d3(2H3) 4d     -1.89029E+00  3.54954E+00 33.0
    119 26 22  330  11 3d3(4F3) 5s     -1.87692E+00  3.56291E+00 21.0
    120 26 22  310   8 3d3(2D3) 4d     -1.87279E+00  3.56704E+00  9.0
    121 26 22  320   8 3d3(2D3) 4d     -1.87172E+00  3.56811E+00 15.0
    122 26 22  130   6 3d3(2D3) 4d     -1.85787E+00  3.58196E+00  7.0
    123 26 22  120   7 3d3(2P3) 4d     -1.84904E+00  3.59079E+00  5.0
    124 26 22  140   6 3d3(2D3) 4d     -1.83792E+00  3.60191E+00  9.0
    125 26 22  100   3 3d3(2D3) 4d     -1.79407E+00  3.64576E+00  1.0
    126 26 22  110   4 3d3(2F3) 4d     -1.79086E+00  3.64897E+00  3.0
    127 26 22  150   4 3d3(2F3) 4d     -1.78689E+00  3.65294E+00 11.0
    128 26 22  350   6 3d3(2F3) 4d     -1.78183E+00  3.65800E+00 33.0
    129 26 22  340   7 3d3(2F3) 4d     -1.77562E+00  3.66421E+00 27.0
    130 26 22  320   9 3d3(2F3) 4d     -1.76906E+00  3.67077E+00 15.0
    131 26 22  330  12 3d3(2F3) 4d     -1.75995E+00  3.67988E+00 21.0
    132 26 22  510   4 3d3(4P3) 5s     -1.74920E+00  3.69063E+00 15.0
    133 26 22  310   9 3d3(4P3) 5s     -1.72806E+00  3.71177E+00  9.0
    134 26 22  130   7 3d3(2F3) 4d     -1.72764E+00  3.71219E+00  7.0
    135 26 22  340   8 3d3(2G3) 5s     -1.72691E+00  3.71292E+00 27.0
    136 26 22  140   7 3d3(2G3) 5s     -1.71628E+00  3.72355E+00  9.0
    137 26 22  120   8 3d3(2F3) 4d     -1.69116E+00  3.74867E+00  5.0
    138 26 22  310  10 3d3(2F3) 4d     -1.68439E+00  3.75544E+00  9.0
    139 26 22  310  11 3d3(2P3) 5s     -1.67815E+00  3.76168E+00  9.0
    140 26 22  541   2 3d3(4F3) 5p     -1.67577E+00  3.76406E+00 45.0
    141 26 22  521   3 3d3(4F3) 5p     -1.66791E+00  3.77192E+00 25.0
    142 26 22  140   8 3d3(2F3) 4d     -1.66765E+00  3.77218E+00  9.0
    143 26 22  110   5 3d3(2P3) 5s     -1.66755E+00  3.77228E+00  3.0
    144 26 22  531   2 3d3(4F3) 5p     -1.66394E+00  3.77589E+00 35.0
    145 26 22  321   7 3d3(4F3) 5p     -1.66088E+00  3.77895E+00 15.0
    146 26 22  350   7 3d3(2H3) 5s     -1.65907E+00  3.78076E+00 33.0
    147 26 22  320  10 3d3(2D3) 5s     -1.65510E+00  3.78473E+00 15.0
    148 26 22  341   5 3d3(4F3) 5p     -1.65286E+00  3.78697E+00 27.0
    149 26 22  150   5 3d3(2H3) 5s     -1.64674E+00  3.79309E+00 11.0
    150 26 22  331   6 3d3(4F3) 5p     -1.64395E+00  3.79588E+00 21.0
    151 26 22  120   9 3d3(2D3) 5s     -1.64246E+00  3.79737E+00  5.0
    152 26 22  501   2 3d3(4F3) 4f     -1.60404E+00  3.83579E+00  5.0
    153 26 22  551   1 3d3(4F3) 4f     -1.59515E+00  3.84468E+00 55.0
    154 26 22  541   3 3d3(4F3) 4f     -1.59377E+00  3.84606E+00 45.0
    155 26 22  321   8 3d3(4F3) 4f     -1.59130E+00  3.84853E+00 15.0
    156 26 22  511   2 3d3(4F3) 4f     -1.59071E+00  3.84912E+00 15.0
    157 26 22  311   5 3d3(4F3) 4f     -1.58654E+00  3.85329E+00  9.0
    158 26 22  331   7 3d3(4F3) 4f     -1.58445E+00  3.85538E+00 21.0
    159 26 22  531   3 3d3(4F3) 4f     -1.58135E+00  3.85848E+00 35.0
    160 26 22  521   4 3d3(4F3) 4f     -1.57990E+00  3.85993E+00 25.0
    161 26 22  351   3 3d3(4F3) 4f     -1.57628E+00  3.86355E+00 33.0
    162 26 22  301   3 3d3(4F3) 4f     -1.57623E+00  3.86360E+00  3.0
    163 26 22  341   6 3d3(4F3) 4f     -1.56938E+00  3.87045E+00 27.0
    164 26 22  130   8 3d3(2D1) 4d     -1.56291E+00  3.87692E+00  7.0
    165 26 22  320  11 3d3(2D1) 4d     -1.55746E+00  3.88237E+00 15.0
    166 26 22  340   9 3d3(2D1) 4d     -1.53908E+00  3.90075E+00 27.0
    167 26 22  110   6 3d3(2D1) 4d     -1.52435E+00  3.91548E+00  3.0
