2,1,7,24.911,.49772,1.45(−01),3.15(−01),3.15(−01),8.9276(−01),A’379-D’357,37
2,1,7,24.913,.49767,1.21(−01),3.15(−01),2.63(−01),5.7971(−01),A’377-D’355,38
2,1,7,24.915,.49763,1.16(−01),3.04(−01),2.58(−01),3.9166(−01),A’375-D’353,39
2,1,7,24.977,.49640,1.09(−01),4.57(−04),7.55(−01),2.4170(−03),F’357-P’335,40
2,1,7,24.979,.49636,8.15(−02),1.28(−03),5.57(−01),3.5536(−03),F’355-P’333,41
2,1,7,24.980,.49635,2.84(−02),1.28(−03),1.94(−01),1.2373(−03),F’355-P’335,42
2,1,7,24.981,.49632,5.91(−02),2.36(−04),4.01(−01),2.8417(−04),F’353-P’331,43
2,1,7,24.981,.49632,4.54(−02),2.36(−04),3.08(−01),2.1821(−04),F’353-P’333,44
2,1,7,25.003,.49589,2.27(−02),4.91(−03),1.78(−01),4.3632(−03),B’335-D’357,45
2,1,7,25.004,.49586,2.01(−02),1.51(−02),1.52(−01),6.8884(−03),B’333-D’355,46
2,1,7,25.005,.49584,2.83(−02),2.16(−02),2.09(−01),4.5078(−03),B’331-D’353,47
2,1,7,25.032,.49531,1.29(−01),2.81(−05),6.93(−01),5.8364(−05),F’133-P’133,48
2,1,7,25.078,.49440,6.77(−02),5.65(−02),4.43(−01),7.4982(−02),C’133-S’111,49
2,1,7,25.117,.49363,2.46(−02),5.45(−02),2.20(−01),3.5923(−02),E’313-P’335,50
2,1,8,18.885,.65652,2.01(−01),2.43(−01),4.25(−01),1.0346(−01),F’111-P’133,3
2,1,8,18.894,.65623,2.19(−01),4.58(−01),3.09(−01),4.2394(−01),A’133-D’155,4
2,1,8,18.936,.65475,2.48(−01),1.69(+00),1.25(−01),1.4774(+00),A’177-D’155,5
2,1,8,18.951,.65425,1.97(−01),7.27(−04),8.50(−01),6.1865(−04),A’331-D’353,6
2,1,8,18.951,.65423,5.43(−02),2.88(−03),2.32(−01),2.0084(−03),A’333-D’353,7
2,1,8,18.951,.65423,1.38(−01),2.88(−03),5.88(−01),5.0867(−03),A’333-D’355,8
2,1,8,18.952,.65419,1.58(−01),8.06(−04),6.84(−01),2.7587(−03),A’335-D’357,9
2,1,8,18.962,.65386,1.06(−01),5.74(+00),1.82(−02),5.2110(−01),G’155-P’133,10
2,1,8,18.964,.65378,1.34(−01),7.34(+00),1.78(−02),3.9155(−01),B’133-S’111,11
2,1,8,18.986,.65304,5.98(−02),3.46(−03),2.61(−01),2.7130(−03),F’313-P’333,14
2,1,8,18.987,.65302,8.27(−02),3.46(−03),3.61(−01),3.7537(−03),F’313-P’335,15
2,1,8,18.997,.65267,4.99(−02),1.78(−01),1.83(−01),2.2788(−01),G’357-P’335,16
2,1,8,18.997,.65267,3.86(−02),1.88(−01),1.38(−01),1.2936(−01),G’355-P’333,17
2,1,8,19.000,.65254,2.22(−01),1.15(−03),7.80(−01),6.2535(−03),A’357-D’357,18
2,1,8,19.001,.65251,1.62(−01),1.93(−04),5.74(−01),5.5350(−04),A’355-D’355,19
2,1,8,19.002,.65248,1.84(−01),7.27(−02),5.19(−01),1.1305(−01),A’353-D’353,20
2,1,8,19.002,.65248,6.73(−02),7.27(−02),1.90(−01),4.1346(−02),A’353-D’355,21
2,1,8,19.012,.65214,4.90(−02),5.62(+00),8.36(−03),2.3488(−01),F’155-P’335,22
2,1,8,19.014,.65206,5.02(−02),1.92(+00),2.27(−02),2.1784(−01),F’335-P’333,23
2,1,8,19.015,.65204,1.51(−01),1.92(+00),6.83(−02),6.5554(−01),F’335-P’335,24
2,1,8,19.016,.65202,8.51(−02),8.39(−05),2.69(−01),6.7636(−05),F’333-P’331,25
2,1,8,19.016,.65201,6.20(−02),8.39(−05),1.96(−01),4.9265(−05),F’333-P’333,26
2,1,8,19.016,.65199,1.19(−01),8.39(−05),3.75(−01),9.4342(−05),F’333-P’335,27
2,1,8,19.017,.65198,2.66(−01),2.19(−03),8.34(−01),1.8256(−03),F’331-P’333,28
2,1,8,19.028,.65158,1.53(−01),2.18(−03),6.99(−01),7.6100(−03),B’335-S’313,29
2,1,8,19.030,.65152,1.31(−01),1.55(−02),6.03(−01),2.8103(−02),B’333-S’313,30
2,1,8,19.031,.65149,1.20(−01),2.53(−02),5.47(−01),1.3868(−02),B’331-S’313,31
2,1,8,19.044,.65106,8.81(−02),6.44(−01),1.13(−01),3.6325(−01),C’335-S’313,32
2,1,8,19.046,.65099,1.10(−01),6.32(−01),1.41(−01),2.6677(−01),C’333-S’313,33
2,1,8,19.047,.65096,1.22(−01),6.21(−01),1.56(−01),9.6892(−02),C’331-S’313,34
2,1,8,19.054,.65070,1.28(−01),5.62(+00),2.19(−02),6.1435(−01),F’155-P’133,35
2,1,8,19.056,.65062,2.36(−01),2.18(−02),8.37(−01),9.1068(−02),A’155-D’155,36
