 3s2.3p5.(2Po<3/2>).9s    3/2[3/2]o     3   15.471070     066
 3s2.3p5.(2Po<3/2>).7d    3/2[3/2]o     3   15.471766     066
 3s2.3p5.(2Po<3/2>).7f    3/2[3/2]      3   15.4803106    066
 3s2.3p5.(2Po<3/2>).7f    3/2[3/2]      5   15.480334     066
 3s2.3p5.(2Po<3/2>).7f    3/2[9/2]     11   15.4807401    066
 3s2.3p5.(2Po<3/2>).7f    3/2[9/2]      9   15.4807417    066
 3s2.3p5.(2Po<3/2>).7f    3/2[5/2]      7   15.4812825    066
 3s2.3p5.(2Po<3/2>).7f    3/2[5/2]      5   15.481297     066
 3s2.3p5.(2Po<3/2>).7f    3/2[7/2]      7   15.481734     066
 3s2.3p5.(2Po<3/2>).7f    3/2[7/2]      9   15.481742     066
 3s2.3p5.(2Po<3/2>).9p    3/2[1/2]      3   15.502922     066
 3s2.3p5.(2Po<3/2>).9p    3/2[5/2]      7   15.504734     066
 3s2.3p5.(2Po<3/2>).9p    3/2[5/2]      5   15.505433     066
 3s2.3p5.(2Po<1/2>).6d    1/2[3/2]o     5   15.5062597    066
 3s2.3p5.(2Po<3/2>).9p    3/2[3/2]      3   15.507028     066
 3s2.3p5.(2Po<3/2>).9p    3/2[3/2]      5   15.507339     066
 3s2.3p5.(2Po<1/2>).6d    1/2[5/2]o     5   15.5120800    066
 3s2.3p5.(2Po<3/2>).9p    3/2[1/2]      1   15.513211     066
 3s2.3p5.(2Po<3/2>).8d    3/2[1/2]o     3   15.5148641    066
 3s2.3p5.(2Po<1/2>).6d    1/2[5/2]o     7   15.5166130    066
 3s2.3p5.(2Po<3/2>).8d    3/2[1/2]o     1   15.518225     066
 3s2.3p5.(2Po<3/2>).8d    3/2[7/2]o     9   15.5252734    066
 3s2.3p5.(2Po<3/2>).8d    3/2[7/2]o     7   15.531427     066
 3s2.3p5.(2Po<3/2>).8d    3/2[3/2]o     5   15.533098     066
 3s2.3p5.(2Po<1/2>).6d    1/2[3/2]o     3   15.533515     066
 3s2.3p5.(2Po<3/2>).8d    3/2[5/2]o     5   15.534131     066
 3s2.3p5.(2Po<3/2>).8d    3/2[5/2]o     7   15.534434     066
 3s2.3p5.(2Po<3/2>).10s   3/2[3/2]o     5   15.538931     066
 3s2.3p5.(2Po<3/2>).10s   3/2[3/2]o     3   15.539166     066
 3s2.3p5.(2Po<1/2>).8s    1/2[1/2]o     1   15.539519     066
 3s2.3p5.(2Po<1/2>).8s    1/2[1/2]o     3   15.541818     066
 3s2.3p5.(2Po<3/2>).8d    3/2[3/2]o     3   15.54475      066
 3s2.3p5.(2Po<3/2>).8f    3/2[3/2]      3   15.54592      066
 3s2.3p5.(2Po<3/2>).8f    3/2[3/2]      5   15.545923     066
 3s2.3p5.(2Po<3/2>).8f    3/2[9/2]      9   15.5461       066
 3s2.3p5.(2Po<3/2>).8f    3/2[9/2]     11   15.546200     066
 3s2.3p5.(2Po<3/2>).8f    3/2[5/2]      7   15.546504     066
 3s2.3p5.(2Po<3/2>).8f    3/2[5/2]      5   15.546513     066
 3s2.3p5.(2Po<3/2>).8f    3/2[7/2]      9   15.546835     066
 3s2.3p5.(2Po<3/2>).8f    3/2[7/2]      7   15.546836     066
 3s2.3p5.(2Po<1/2>).6f    1/2[7/2]      7   15.5578631    066
 3s2.3p5.(2Po<1/2>).6f    1/2[7/2]      9   15.557868     066
 3s2.3p5.(2Po<1/2>).6f    1/2[5/2]      7   15.5579256    066
 3s2.3p5.(2Po<1/2>).6f    1/2[5/2]      5   15.5579525    066
 3s2.3p5.(2Po<3/2>).10p   3/2[1/2]      3   15.560692     066
 3s2.3p5.(2Po<3/2>).10p   3/2[5/2]      7   15.56247      066
 3s2.3p5.(2Po<3/2>).10p   3/2[5/2]      5   15.56289      066
 3s2.3p5.(2Po<3/2>).10p   3/2[3/2]      3   15.56393      066
 3s2.3p5.(2Po<3/2>).10p   3/2[3/2]      5   15.564210     066
 3s2.3p5.(2Po<3/2>).10p   3/2[1/2]      1   15.56768      066
 3s2.3p5.(2Po<3/2>).9d    3/2[1/2]o     1   15.571805     066
 3s2.3p5.(2Po<3/2>).9d    3/2[1/2]o     3   15.574034     066
 3s2.3p5.(2Po<3/2>).9d    3/2[7/2]o     9   15.576337     066
 3s2.3p5.(2Po<3/2>).9d    3/2[3/2]o     5   15.577109     066
 3s2.3p5.(2Po<3/2>).9d    3/2[7/2]o     7   15.578860     066
 3s2.3p5.(2Po<3/2>).9d    3/2[5/2]o     5   15.581276     066
 3s2.3p5.(2Po<3/2>).9d    3/2[5/2]o     7   15.582380     066
 3s2.3p5.(2Po<3/2>).9d    3/2[3/2]o     3   15.587057     066
 3s2.3p5.(2Po<3/2>).9f    3/2[3/2]      3   15.590856     066
 3s2.3p5.(2Po<3/2>).9f    3/2[3/2]      5   15.590856     066
 3s2.3p5.(2Po<3/2>).9f    3/2[9/2]      9   15.591054     066
 3s2.3p5.(2Po<3/2>).9f    3/2[9/2]     11   15.591054     066
 3s2.3p5.(2Po<3/2>).9f    3/2[5/2]      5   15.59133      066
 3s2.3p5.(2Po<3/2>).9f    3/2[5/2]      7   15.59133      066
 3s2.3p5.(2Po<3/2>).9f    3/2[7/2]      7   15.591526     066
 3s2.3p5.(2Po<3/2>).9f    3/2[7/2]      9   15.591526     066
 3s2.3p5.(2Po<1/2>).8p    1/2[1/2]      3   15.5944       066
 3s2.3p5.(2Po<1/2>).8p    1/2[3/2]      3   15.595191     066
 3s2.3p5.(2Po<1/2>).8p    1/2[3/2]      5   15.596212     066
 3s2.3p5.(2Po<1/2>).8p    1/2[1/2]      1   15.601120     066
 3s2.3p5.(2Po<3/2>).10d   3/2[1/2]o     1   15.609081     066
 3s2.3p5.(2Po<3/2>).10d   3/2[1/2]o     3   15.609433     066
 3s2.3p5.(2Po<3/2>).10d   3/2[3/2]o     5   15.610409     066
 3s2.3p5.(2Po<3/2>).10d   3/2[7/2]o     9   15.612395     066
 3s2.3p5.(2Po<3/2>).10d   3/2[7/2]o     7   15.613642     066
 3s2.3p5.(2Po<3/2>).10d   3/2[5/2]o     5   15.615271     066
 3s2.3p5.(2Po<3/2>).10d   3/2[5/2]o     7   15.616706     066
