 ====================================================================
      i NZ NE iSLP iLV iCONF                 E(RYD)      TE(RYD)   gi
 ====================================================================
    115 20 18  330   4 3s2 3p5 7f      -1.83836E-01  3.49985E+00 21.0
    116 20 18  340   6 3s2 3p5 7h      -1.83695E-01  3.49999E+00 27.0
    117 20 18  140   6 3s2 3p5 7h      -1.83693E-01  3.50000E+00  9.0
    118 20 18  151   4 3s2 3p5 7i      -1.83670E-01  3.50002E+00 11.0
    119 20 18  351   4 3s2 3p5 7i      -1.83670E-01  3.50002E+00 33.0
    120 20 18  350   2 3s2 3p5 7h      -1.83624E-01  3.50007E+00 33.0
    121 20 18  150   2 3s2 3p5 7h      -1.83624E-01  3.50007E+00 11.0
    122 20 18  341   3 3s2 3p5 7g      -1.83308E-01  3.50038E+00 27.0
    123 20 18  141   3 3s2 3p5 7g      -1.83308E-01  3.50038E+00  9.0
    124 20 18  311  11 3s2 3p5 8d      -1.63413E-01  3.52028E+00  9.0
    125 20 18  331   9 3s2 3p5 8d      -1.61917E-01  3.52177E+00 21.0
    126 20 18  131   9 3s2 3p5 8d      -1.60539E-01  3.52315E+00  7.0
    127 20 18  121   6 3s2 3p5 8d      -1.60048E-01  3.52364E+00  5.0
    128 20 18  321   6 3s2 3p5 8d      -1.60048E-01  3.52364E+00 15.0
    129 20 18  311  12 3s2 3p5 9s      -1.59308E-01  3.52438E+00  9.0
    130 20 18  111  11 3s2 3p5 9s      -1.58499E-01  3.52519E+00  3.0
    131 20 18  111  12 3s2 3p5 8d      -1.52205E-01  3.53149E+00  3.0
    132 20 18  300   6 3s2 3p5 9p      -1.50505E-01  3.53319E+00  3.0
    133 20 18  320  10 3s2 3p5 9p      -1.47449E-01  3.53624E+00 15.0
    134 20 18  120  10 3s2 3p5 9p      -1.46664E-01  3.53703E+00  5.0
    135 20 18  110   6 3s2 3p5 9p      -1.46262E-01  3.53743E+00  3.0
    136 20 18  310   6 3s2 3p5 9p      -1.46262E-01  3.53743E+00  9.0
    137 20 18  320  11 3s2 3p5 8f      -1.44337E-01  3.53935E+00 15.0
    138 20 18  100   7 3s2 3p5 9p      -1.43655E-01  3.54004E+00  1.0
    139 20 18  340   7 3s2 3p5 8f      -1.41908E-01  3.54178E+00 27.0
    140 20 18  140   7 3s2 3p5 8f      -1.41627E-01  3.54206E+00  9.0
    141 20 18  120  11 3s2 3p5 8f      -1.41362E-01  3.54233E+00  5.0
    142 20 18  331  10 3s2 3p5 8g      -1.40862E-01  3.54283E+00 21.0
    143 20 18  131  10 3s2 3p5 8g      -1.40835E-01  3.54286E+00  7.0
    144 20 18  130   5 3s2 3p5 8f      -1.40782E-01  3.54291E+00  7.0
    145 20 18  330   5 3s2 3p5 8f      -1.40782E-01  3.54291E+00 21.0
    146 20 18  351   5 3s2 3p5 8g      -1.40773E-01  3.54292E+00 33.0
    147 20 18  151   5 3s2 3p5 8g      -1.40764E-01  3.54293E+00 11.0
    148 20 18  340   8 3s2 3p5 8h      -1.40646E-01  3.54304E+00 27.0
    149 20 18  140   8 3s2 3p5 8h      -1.40645E-01  3.54305E+00  9.0
    150 20 18  151   6 3s2 3p5 8i      -1.40620E-01  3.54307E+00 11.0
    151 20 18  351   6 3s2 3p5 8i      -1.40620E-01  3.54307E+00 33.0
    152 20 18  350   3 3s2 3p5 8h      -1.40581E-01  3.54311E+00 33.0
    153 20 18  150   3 3s2 3p5 8h      -1.40581E-01  3.54311E+00 11.0
    154 20 18  341   4 3s2 3p5 8g      -1.40367E-01  3.54332E+00 27.0
    155 20 18  141   4 3s2 3p5 8g      -1.40367E-01  3.54332E+00  9.0
    156 20 18  311  13 3s2 3p5 9d      -1.26892E-01  3.55680E+00  9.0
    157 20 18  331  11 3s2 3p5 9d      -1.25843E-01  3.55785E+00 21.0
    158 20 18  131  11 3s2 3p5 9d      -1.24913E-01  3.55878E+00  7.0
    159 20 18  121   7 3s2 3p5 9d      -1.24573E-01  3.55912E+00  5.0
    160 20 18  321   7 3s2 3p5 9d      -1.24573E-01  3.55912E+00 15.0
    161 20 18  311  14 3s2 3p510s      -1.24057E-01  3.55963E+00  9.0
    162 20 18  111  13 3s2 3p510s      -1.23508E-01  3.56018E+00  3.0
    163 20 18  111  14 3s2 3p5 9d      -1.19354E-01  3.56434E+00  3.0
    164 20 18  300   7 3s2 3p510p      -1.19165E-01  3.56453E+00  3.0
    165 20 18  320  12 3s2 3p510p      -1.15846E-01  3.56784E+00 15.0
    166 20 18  120  12 3s2 3p510p      -1.15300E-01  3.56839E+00  5.0
    167 20 18  310   7 3s2 3p510p      -1.15021E-01  3.56867E+00  9.0
    168 20 18  110   7 3s2 3p510p      -1.15021E-01  3.56867E+00  3.0
    169 20 18  320  13 3s2 3p5 9f      -1.14142E-01  3.56955E+00 15.0
    170 20 18  100   8 3s2 3p510p      -1.13692E-01  3.57000E+00  1.0
    171 20 18  340   9 3s2 3p5 9f      -1.12038E-01  3.57165E+00 27.0
    172 20 18  140   9 3s2 3p5 9f      -1.11834E-01  3.57186E+00  9.0
    173 20 18  120  13 3s2 3p5 9f      -1.11639E-01  3.57205E+00  5.0
    174 20 18  331  12 3s2 3p5 9g      -1.11285E-01  3.57241E+00 21.0
    175 20 18  131  12 3s2 3p5 9g      -1.11264E-01  3.57243E+00  7.0
    176 20 18  130   6 3s2 3p5 9f      -1.11245E-01  3.57245E+00  7.0
    177 20 18  330   6 3s2 3p5 9f      -1.11245E-01  3.57245E+00 21.0
    178 20 18  351   7 3s2 3p5 9g      -1.11222E-01  3.57247E+00 33.0
    179 20 18  151   7 3s2 3p5 9g      -1.11215E-01  3.57247E+00 11.0
    180 20 18  340  10 3s2 3p5 9h      -1.11130E-01  3.57256E+00 27.0
    181 20 18  140  10 3s2 3p5 9h      -1.11128E-01  3.57256E+00  9.0
    182 20 18  151   8 3s2 3p5 9i      -1.11106E-01  3.57258E+00 11.0
    183 20 18  351   8 3s2 3p5 9i      -1.11106E-01  3.57258E+00 33.0
    184 20 18  350   4 3s2 3p5 9h      -1.11075E-01  3.57262E+00 33.0
