 ====================================================================
      i NZ NE iSLP iLV iCONF                 E(RYD)      TE(RYD)   gi
 ====================================================================
    155 10  4  110   7 2p 9p            5.50630E-01  1.57577E+01  3.0
    156 10  4  310   8 2p 9p            5.55282E-01  1.57624E+01  9.0
    157 10  4  121   7 2p 9d            5.59030E-01  1.57661E+01  5.0
    158 10  4  321   7 2p 9d            5.62297E-01  1.57694E+01 15.0
    159 10  4  130   6 2p 9f            5.63277E-01  1.57704E+01  7.0
    160 10  4  330   6 2p 9f            5.63539E-01  1.57706E+01 21.0
    161 10  4  110   8 2p10p            6.69627E-01  1.58767E+01  3.0
    162 10  4  310   9 2p10p            6.72972E-01  1.58801E+01  9.0
    163 10  4  121   8 2p10d            6.75718E-01  1.58828E+01  5.0
    164 10  4  321   8 2p10d            6.78076E-01  1.58852E+01 15.0
    165 10  4  130   7 2p10f            6.78793E-01  1.58859E+01  7.0
    166 10  4  330   7 2p10f            6.78984E-01  1.58861E+01 21.0
 ====================================================================
