 2s2.2p5.(2Po<3/2>).6d    3/2[7/2]o     9   21.1837477    024
 2s2.2p5.(2Po<3/2>).6d    3/2[7/2]o     7   21.1837980    024
 2s2.2p5.(2Po<3/2>).6d    3/2[3/2]o     5   21.1843077    024
 2s2.2p5.(2Po<3/2>).6d    3/2[3/2]o     3   21.1849238    024
 2s2.2p5.(2Po<3/2>).6d    3/2[5/2]o     5   21.1855322    024
 2s2.2p5.(2Po<3/2>).6d    3/2[5/2]o     7   21.1855780    024
 2s2.2p5.(2Po<3/2>).6f    3/2[3/2]      3   21.1858900    023
 2s2.2p5.(2Po<3/2>).6f    3/2[3/2]      5   21.1858902    023
 2s2.2p5.(2Po<3/2>).6f    3/2[9/2]      9   21.1861693    023
 2s2.2p5.(2Po<3/2>).6f    3/2[9/2]     11   21.1861696    023
 2s2.2p5.(2Po<3/2>).6g    3/2[5/2]o     5   21.1863544    023
 2s2.2p5.(2Po<3/2>).6g    3/2[5/2]o     7   21.1863544    023
 2s2.2p5.(2Po<3/2>).6g    3/2[11/2]o   11   21.1864525    023
 2s2.2p5.(2Po<3/2>).6g    3/2[11/2]o   13   21.1864525    023
 2s2.2p5.(2Po<3/2>).6f    3/2[5/2]      7   21.1865022    023
 2s2.2p5.(2Po<3/2>).6f    3/2[5/2]      5   21.1865053    023
 2s2.2p5.(2Po<3/2>).6g    3/2[7/2]o     7   21.1866370    023
 2s2.2p5.(2Po<3/2>).6g    3/2[7/2]o     9   21.1866370    023
 2s2.2p5.(2Po<3/2>).6g    3/2[9/2]o     9   21.1867398    023
 2s2.2p5.(2Po<3/2>).6g    3/2[9/2]o    11   21.1867398    023
 2s2.2p5.(2Po<3/2>).6f    3/2[7/2]      9   21.1867901    023
 2s2.2p5.(2Po<3/2>).6f    3/2[7/2]      7   21.1867912    023
 2s2.2p5.(2Po<3/2>).7p    3/2[1/2]      3   21.202454     024
 2s2.2p5.(2Po<3/2>).7p    3/2[5/2]      7   21.205361     024
 2s2.2p5.(2Po<3/2>).7p    3/2[5/2]      5   21.206713     024
 2s2.2p5.(2Po<3/2>).7p    3/2[3/2]      3   21.20847      024
