 4s2.4p5.(2Po<3/2>).8d    3/2[5/2]o    5   13.69984440   ASD
 4s2.4p5.(2Po<3/2>).8d    3/2[5/2]o    7   13.70126056   ASD
 4s2.4p5.(2Po<3/2>).8d    3/2[3/2]o    5   13.70184225   ASD
 4s2.4p5.(2Po<3/2>).8d    3/2[3/2]o    3   13.70199947   ASD
 4s2.4p5.(2Po<3/2>).10s   3/2[3/2]o    5   13.71368667   ASD
 4s2.4p5.(2Po<3/2>).10s   3/2[3/2]o    3   13.71501533   ASD
 4s2.4p5.(2Po<3/2>).7f    3/2[3/2]     3   13.719525     ASD
 4s2.4p5.(2Po<3/2>).7f    3/2[3/2]     5   13.719594     ASD
 4s2.4p5.(2Po<3/2>).7f    3/2[9/2]     9   13.720076     ASD
 4s2.4p5.(2Po<3/2>).7f    3/2[9/2]    11   13.720076     ASD
 4s2.4p5.(2Po<3/2>).7f    3/2[5/2]     7   13.720764     ASD
 4s2.4p5.(2Po<3/2>).7f    3/2[5/2]     5   13.720802     ASD
 4s2.4p5.(2Po<3/2>).7f    3/2[7/2]     7   13.721412     ASD
 4s2.4p5.(2Po<3/2>).7f    3/2[7/2]     9   13.721412     ASD
 4s2.4p5.(2Po<1/2>).5d    1/2[3/2]o    3   13.729173     ASD
 4s2.4p5.(2Po<3/2>).10p   3/2[1/2]     3   13.746427     ASD
 4s2.4p5.(2Po<3/2>).10p   3/2[3/2]     5   13.751837     ASD
 4s2.4p5.(2Po<3/2>).9d    3/2[1/2]o    1   13.75398138   ASD
 4s2.4p5.(2Po<3/2>).10p   3/2[1/2]     1   13.756818     ASD
 4s2.4p5.(2Po<3/2>).9d    3/2[1/2]o    3   13.76261395   ASD
 4s2.4p5.(2Po<1/2>).7s    1/2[1/2]o    3   13.76262      ASD
 4s2.4p5.(2Po<3/2>).9d    3/2[7/2]o    9   13.76458436   ASD
 4s2.4p5.(2Po<3/2>).9d    3/2[3/2]o    5   13.768079     ASD
 4s2.4p5.(2Po<3/2>).9d    3/2[7/2]o    7   13.76809203   ASD
 4s2.4p5.(2Po<3/2>).9d    3/2[5/2]o    5   13.771102     ASD
 4s2.4p5.(2Po<3/2>).9d    3/2[5/2]o    7   13.772046     ASD
 4s2.4p5.(2Po<3/2>).9d    3/2[3/2]o    3   13.78138      ASD
 4s2.4p5.(2Po<3/2>).8f    3/2[3/2]     3   13.785371     ASD
 4s2.4p5.(2Po<3/2>).8f    3/2[9/2]     9   13.785738     ASD
 4s2.4p5.(2Po<3/2>).8f    3/2[9/2]    11   13.785738     ASD
 4s2.4p5.(2Po<3/2>).8f    3/2[5/2]     7   13.786130     ASD
 4s2.4p5.(2Po<3/2>).8f    3/2[5/2]     5   13.786171     ASD
 4s2.4p5.(2Po<1/2>).4f    1/2[7/2]     9   13.80910      ASD
 4s2.4p5.(2Po<1/2>).4f    1/2[7/2]     7   13.809161     ASD
 4s2.4p5.(2Po<1/2>).4f    1/2[5/2]     7   13.809396     ASD
 4s2.4p5.(2Po<1/2>).4f    1/2[5/2]     5   13.809592     ASD
 4s2.4p5.(2Po<3/2>).10d   3/2[1/2]o    1   13.813379     ASD
 4s2.4p5.(2Po<3/2>).10d   3/2[1/2]o    3   13.815379     ASD
 4s2.4p5.(2Po<3/2>).10d   3/2[7/2]o    9   13.81594721   ASD
 4s2.4p5.(2Po<3/2>).10d   3/2[3/2]o    5   13.817465     ASD
