 ====================================================================
      i NZ NE iSLP iLV iCONF                 E(RYD)      TE(RYD)   gi
 ====================================================================
    235 14 14  161   4 3s2 3p10i       -1.00048E-02  5.91288E-01 13.0
    236 14 14  360   7 3s2 3p10h       -1.00019E-02  5.91291E-01 39.0
    237 14 14  160   7 3s2 3p10h       -1.00019E-02  5.91291E-01 13.0
    238 14 14  301   1 3s 3p3           1.21599E-01  7.22892E-01  3.0
    239 14 14  510   1 3s 3p2(4PE) 4s   1.27712E-01  7.29005E-01 15.0
    240 14 14  530   1 3s 3p2(4PE) 3d   2.02783E-01  8.04076E-01 35.0
    241 14 14  521   1 3s 3p2(4PE) 4p   2.07319E-01  8.08612E-01 25.0
    242 14 14  511   1 3s 3p2(4PE) 4p   2.17288E-01  8.18581E-01 15.0
    243 14 14  501   2 3s 3p2(4PE) 4p   2.22951E-01  8.24244E-01  5.0
    244 14 14  520   1 3s 3p2(4PE) 3d   2.24750E-01  8.26043E-01 25.0
    245 14 14  301   2 3s 3p2(4PE) 4p   2.34416E-01  8.35709E-01  3.0
    246 14 14  510   2 3s 3p2(4PE) 3d   2.39744E-01  8.41037E-01 15.0
    247 14 14  510   3 3s 3p2(4PE) 5s   2.64316E-01  8.65609E-01 15.0
    248 14 14  530   2 3s 3p2(4PE) 4d   2.87075E-01  8.88368E-01 35.0
    249 14 14  521   2 3s 3p2(4PE) 5p   2.88344E-01  8.89637E-01 25.0
    250 14 14  511   2 3s 3p2(4PE) 5p   2.91433E-01  8.92726E-01 15.0
    251 14 14  520   2 3s 3p2(4PE) 4d   2.92073E-01  8.93366E-01 25.0
    252 14 14  501   3 3s 3p2(4PE) 5p   2.92820E-01  8.94113E-01  5.0
    253 14 14  301   3 3s 3p2(4PE) 5p   2.93108E-01  8.94401E-01  3.0
    254 14 14  510   4 3s 3p2(4PE) 4d   2.98965E-01  9.00258E-01 15.0
    255 14 14  521   3 3s 3p2(4PE) 4f   3.05606E-01  9.06899E-01 25.0
    256 14 14  541   1 3s 3p2(4PE) 4f   3.06006E-01  9.07299E-01 45.0
    257 14 14  531   1 3s 3p2(4PE) 4f   3.07567E-01  9.08860E-01 35.0
    258 14 14  510   5 3s 3p2(4PE) 6s   3.09775E-01  9.11068E-01 15.0
    259 14 14  530   3 3s 3p2(4PE) 5d   3.19808E-01  9.21101E-01 35.0
    260 14 14  521   4 3s 3p2(4PE) 6p   3.20447E-01  9.21740E-01 25.0
    261 14 14  511   3 3s 3p2(4PE) 6p   3.21763E-01  9.23056E-01 15.0
    262 14 14  520   3 3s 3p2(4PE) 5d   3.21798E-01  9.23091E-01 25.0
    263 14 14  301   4 3s 3p2(4PE) 6p   3.22080E-01  9.23373E-01  3.0
    264 14 14  501   4 3s 3p2(4PE) 6p   3.22616E-01  9.23909E-01  5.0
    265 14 14  510   6 3s 3p2(4PE) 5d   3.25237E-01  9.26530E-01 15.0
    266 14 14  521   5 3s 3p2(4PE) 5f   3.28638E-01  9.29931E-01 25.0
    267 14 14  541   2 3s 3p2(4PE) 5f   3.28802E-01  9.30095E-01 45.0
    268 14 14  530   4 3s 3p2(4PE) 5g   3.29026E-01  9.30319E-01 35.0
    269 14 14  550   1 3s 3p2(4PE) 5g   3.29099E-01  9.30392E-01 55.0
    270 14 14  540   1 3s 3p2(4PE) 5g   3.29427E-01  9.30720E-01 45.0
    271 14 14  531   2 3s 3p2(4PE) 5f   3.29555E-01  9.30848E-01 35.0
    272 14 14  510   7 3s 3p2(4PE) 7s   3.30890E-01  9.32183E-01 15.0
    273 14 14  530   5 3s 3p2(4PE) 6d   3.36207E-01  9.37500E-01 35.0
    274 14 14  521   6 3s 3p2(4PE) 7p   3.36549E-01  9.37842E-01 25.0
    275 14 14  520   4 3s 3p2(4PE) 6d   3.37228E-01  9.38521E-01 25.0
    276 14 14  511   4 3s 3p2(4PE) 7p   3.37249E-01  9.38542E-01 15.0
    277 14 14  301   5 3s 3p2(4PE) 7p   3.37275E-01  9.38568E-01  3.0
    278 14 14  501   5 3s 3p2(4PE) 7p   3.37721E-01  9.39014E-01  5.0
    279 14 14  510   8 3s 3p2(4PE) 6d   3.39114E-01  9.40407E-01 15.0
    280 14 14  521   7 3s 3p2(4PE) 6f   3.41079E-01  9.42372E-01 25.0
    281 14 14  541   3 3s 3p2(4PE) 6f   3.41172E-01  9.42465E-01 45.0
    282 14 14  530   6 3s 3p2(4PE) 6g   3.41323E-01  9.42616E-01 35.0
    283 14 14  550   2 3s 3p2(4PE) 6g   3.41361E-01  9.42654E-01 55.0
    284 14 14  541   4 3s 3p2(4PE) 6h   3.41388E-01  9.42681E-01 45.0
    285 14 14  551   1 3s 3p2(4PE) 6h   3.41456E-01  9.42749E-01 55.0
    286 14 14  540   2 3s 3p2(4PE) 6g   3.41546E-01  9.42839E-01 45.0
    287 14 14  531   3 3s 3p2(4PE) 6f   3.41618E-01  9.42911E-01 35.0
    288 14 14  510   9 3s 3p2(4PE) 8s   3.42432E-01  9.43725E-01 15.0
    289 14 14  530   7 3s 3p2(4PE) 7d   3.45589E-01  9.46882E-01 35.0
    290 14 14  521   8 3s 3p2(4PE) 8p   3.45799E-01  9.47092E-01 25.0
